NCTId,ConditionAncestorId,ConditionAncestorTerm,ConditionBrowseBranchAbbrev,ConditionBrowseBranchName,ConditionBrowseLeafAsFound,ConditionBrowseLeafId,ConditionBrowseLeafName,ConditionBrowseLeafRelevance,ConditionMeshId,ConditionMeshTerm
NCT04349631,0,0,"['BC02', 'All']","['Viral Diseases', 'All Conditions']",0,M19074,Coronavirus Infections,low,0,0
NCT04432272,"['D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC23', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Coronavirus Infection', 'Severe Acute Respiratory Syndrome', 'Severe Acute Respiratory Syndrome']","['M19074', 'M24032', 'M14938', 'M8866', 'M4951', 'M5138', 'M22269', 'M16105', 'M13732', 'M13561', 'M13560', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Communicable Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000018352', 'D000045169']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome']"
NCT04458948,0,0,"['BC01', 'All']","['Bacterial and Fungal Diseases', 'All Conditions']",0,"['M8866', 'M4951']","['Infection', 'Communicable Diseases']","['low', 'low']",0,0
NCT04354155,"['D000016769', 'D000014652', 'D000002318']","['Embolism and Thrombosis', 'Vascular Diseases', 'Cardiovascular Diseases']","['BC01', 'All', 'BC14', 'BC02']","['Bacterial and Fungal Diseases', 'All Conditions', 'Heart and Blood Diseases', 'Viral Diseases']","['Thrombosis', 'Infection Viral', 'Thrombosis, Venous']","['M8866', 'M15269', 'M4951', 'M16105', 'M20655', 'M6367', 'M17711', 'M15983']","['Infection', 'Thrombosis', 'Communicable Diseases', 'Virus Diseases', 'Venous Thrombosis', 'Embolism', 'Embolism and Thrombosis', 'Vascular Diseases']","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'low']","['D000014777', 'D000013927', 'D000020246']","['Virus Diseases', 'Thrombosis', 'Venous Thrombosis']"
NCT04551911,"['D000003333', 'D000030341', 'D000012327', 'D000014777']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases']","['BC02', 'All', 'BC01', 'BC08', 'Rare']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Rare Diseases']",Coronavirus,"['M19074', 'M8866', 'M4951', 'M24032', 'M5138', 'M22269', 'M16105', 'M13732', 'T5197']","['Coronavirus Infections', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Severe Acute Respiratory Syndrome']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000018352,Coronavirus Infections
NCT04399980,"['D000010335', 'D000008171', 'D000012140', 'D000012141', 'D000012120']","['Pathologic Processes', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiratory Tract Infections', 'Respiration Disorders']","['BC08', 'All', 'BC23', 'BC14', 'BC01']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Heart and Blood Diseases', 'Bacterial and Fungal Diseases']","['Respiratory Failure', 'Pneumonia', 'Inflammation']","['M13551', 'M12487', 'M19143', 'M8876', 'M13102', 'M9751', 'M13560', 'M8866', 'M4951', 'M13561', 'M13540']","['Respiratory Insufficiency', 'Pneumonia', 'Disease Progression', 'Inflammation', 'Pulmonary Valve Insufficiency', 'Lung Diseases', 'Respiratory Tract Diseases', 'Infection', 'Communicable Diseases', 'Respiratory Tract Infections', 'Respiration Disorders']","['high', 'high', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000011014', 'D000012131', 'D000007249']","['Pneumonia', 'Respiratory Insufficiency', 'Inflammation']"
NCT04355728,"['D000004194', 'D000010335', 'D000008171', 'D000012140', 'D000012120', 'D000007235', 'D000007232', 'D000014777', 'D000055370', 'D000003333', 'D000030341', 'D000012327', 'D000012141']","['Disease', 'Pathologic Processes', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Virus Diseases', 'Lung Injury', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Respiratory Tract Infections']","['BC02', 'All', 'BC08', 'BC23', 'BC01', 'BC16', 'BC26', 'BXS', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Corona Virus Infection', 'Corona Virus Infection', 'Syndrome', 'Acute Respiratory Distress Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome', 'Corona Virus Infection', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome']","['M19074', 'M24032', 'M14938', 'M8866', 'M13548', 'M4951', 'M16105', 'M13547', 'M26731', 'M26730', 'M9751', 'M13560', 'M13540', 'M24456', 'M8862', 'M8859', 'M5138', 'M22269', 'M13732', 'M13561', 'T5197', 'T4937', 'T192']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Virus Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Injury', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Premature Birth', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['high', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high', 'high']","['D000018352', 'D000045169', 'D000012127', 'D000012128', 'D000055371', 'D000013577']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Newborn', 'Respiratory Distress Syndrome, Adult', 'Acute Lung Injury', 'Syndrome']"
NCT04482712,"['D000004194', 'D000010335', 'D000008171', 'D000012140', 'D000012120', 'D000007235', 'D000007232', 'D000013898', 'D000014947']","['Disease', 'Pathologic Processes', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Thoracic Injuries', 'Wounds and Injuries']","['BC08', 'All', 'BC23', 'BC16', 'BC26', 'BC14', 'BXS', 'Rare']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Heart and Blood Diseases', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Respiratory Failure', 'Syndrome', 'Acute Respiratory Distress Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome', 'Lung Injury', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome']","['M13551', 'M14938', 'M19143', 'M13548', 'M13547', 'M26731', 'M26730', 'M13102', 'M9751', 'M13560', 'M13540', 'M24456', 'M8862', 'M8859', 'M15240', 'M16268', 'T4937', 'T192']","['Respiratory Insufficiency', 'Syndrome', 'Disease Progression', 'Respiratory Distress Syndrome, Adult', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Injury', 'Pulmonary Valve Insufficiency', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Premature Birth', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Thoracic Injuries', 'Wounds and Injuries', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['high', 'high', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000012127', 'D000012128', 'D000012131', 'D000055371', 'D000055370', 'D000013577']","['Respiratory Distress Syndrome, Newborn', 'Respiratory Distress Syndrome, Adult', 'Respiratory Insufficiency', 'Acute Lung Injury', 'Lung Injury', 'Syndrome']"
NCT04379492,0,0,"['BC02', 'All', 'BC08', 'BC23', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Rare Diseases']",0,"['M19074', 'M24032', 'M14938', 'M8866', 'M4951', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome']","['low', 'low', 'low', 'low', 'low', 'low']",0,0
NCT04347226,"['D000009369', 'D000009371', 'D000006402']","['Neoplasms', 'Neoplasms by Site', 'Hematologic Diseases']","['BC02', 'All', 'BC04', 'BC15']","['Viral Diseases', 'All Conditions', 'Cancers and Other Neoplasms', 'Blood and Lymph Conditions']",Hematological Malignancies,"['M19074', 'M19898', 'M16105', 'M8073']","['Coronavirus Infections', 'Hematologic Neoplasms', 'Virus Diseases', 'Hematologic Diseases']","['low', 'high', 'low', 'low']",D000019337,Hematologic Neoplasms
NCT04565249,"['D000004194', 'D000010335', 'D000008171', 'D000012140', 'D000012120', 'D000007235', 'D000007232', 'D000055370']","['Disease', 'Pathologic Processes', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Lung Injury']","['BC23', 'All', 'BC08', 'BC16', 'BC26', 'BXS', 'Rare']","['Symptoms and General Pathology', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Syndrome', 'Acute Respiratory Distress Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome']","['M14938', 'M13548', 'M13547', 'M26731', 'M26730', 'M9751', 'M13560', 'M13540', 'M24456', 'M8862', 'M8859', 'T4937', 'T192']","['Syndrome', 'Respiratory Distress Syndrome, Adult', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Injury', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Premature Birth', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000012127', 'D000012128', 'D000055371', 'D000013577']","['Respiratory Distress Syndrome, Newborn', 'Respiratory Distress Syndrome, Adult', 'Acute Lung Injury', 'Syndrome']"
NCT04421404,"['D000003333', 'D000030341', 'D000012327', 'D000014777']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases']","['BC02', 'All', 'BC08', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Rare Diseases']",Coronavirus,"['M19074', 'M24032', 'M8866', 'M4951', 'M5138', 'M22269', 'M16105', 'M13732', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Severe Acute Respiratory Syndrome']","['high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low']",D000018352,Coronavirus Infections
NCT04365153,0,0,"['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",0,M8876,Inflammation,low,0,0
NCT04401527,"['D000008171', 'D000012140', 'D000012120', 'D000007235', 'D000007232', 'D000013898', 'D000014947']","['Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Thoracic Injuries', 'Wounds and Injuries']","['BC08', 'All', 'BC23', 'BC01', 'BC16', 'BC26', 'BC14', 'BXS', 'Rare']","['Respiratory Tract (Lung and Bronchial) Diseases', 'All Conditions', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Heart and Blood Diseases', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Respiratory Failure', 'Acute Respiratory Distress Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome', 'Lung Injury', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome']","['M13551', 'M14938', 'M8866', 'M13548', 'M4951', 'M13547', 'M26731', 'M26730', 'M13102', 'M9751', 'M13560', 'M13540', 'M24456', 'M8862', 'M8859', 'M15240', 'M16268', 'T4937', 'T192']","['Respiratory Insufficiency', 'Syndrome', 'Infection', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Injury', 'Pulmonary Valve Insufficiency', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Premature Birth', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Thoracic Injuries', 'Wounds and Injuries', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['high', 'low', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high']","['D000012127', 'D000012128', 'D000012131', 'D000055371', 'D000055370']","['Respiratory Distress Syndrome, Newborn', 'Respiratory Distress Syndrome, Adult', 'Respiratory Insufficiency', 'Acute Lung Injury', 'Lung Injury']"
NCT04334512,"['D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC01', 'BC23', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Symptoms and General Pathology', 'Rare Diseases']","['Corona Virus Infection', 'Corona Virus Infection', 'Infection', 'Infection', 'Corona Virus Infection']","['M19074', 'M24032', 'M8866', 'M4951', 'M16105', 'M14938', 'M5138', 'M22269', 'M13732', 'M13561', 'M13560', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Virus Diseases', 'Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000007239', 'D000003141', 'D000018352', 'D000045169']","['Infection', 'Communicable Diseases', 'Coronavirus Infections', 'Severe Acute Respiratory Syndrome']"
NCT04392232,"['D000003333', 'D000030341', 'D000012327', 'D000014777']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases']","['BC02', 'All', 'BC01', 'BC08', 'Rare']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Rare Diseases']","['Coronavirus', 'Infection']","['M19074', 'M8866', 'M4951', 'M24032', 'M5138', 'M22269', 'M16105', 'M13732', 'T5197']","['Coronavirus Infections', 'Infection', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low']","['D000007239', 'D000018352']","['Infection', 'Coronavirus Infections']"
NCT04532372,"['D000007239', 'D000009784']","['Infection', 'Occupational Diseases']","['BC01', 'All', 'BC24']","['Bacterial and Fungal Diseases', 'All Conditions', 'Occupational Diseases']",Infection Laboratory-,"['M8866', 'M4951', 'M9360', 'M11302']","['Infection', 'Communicable Diseases', 'Laboratory Infection', 'Occupational Diseases']","['low', 'low', 'high', 'low']","['D000007757', 'D000009369']","['Laboratory Infection', 'Neoplasms']"
NCT04364763,"['D000020969', 'D000010335']","['Disease Attributes', 'Pathologic Processes']","['BC23', 'All']","['Symptoms and General Pathology', 'All Conditions']",Progression,"['M19143', 'M21284']","['Disease Progression', 'Disease Attributes']","['high', 'low']",D000018450,Disease Progression
NCT04366791,"['D000008171', 'D000012140', 'D000012141', 'D000003333', 'D000030341', 'D000012327', 'D000014777']","['Lung Diseases', 'Respiratory Tract Diseases', 'Respiratory Tract Infections', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases']","['BC02', 'All', 'BC08', 'BC23', 'BC01', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Rare Diseases']","['Coronavirus Infection', 'Severe Acute Respiratory Syndrome', 'Pneumonia', 'Severe Acute Respiratory Syndrome']","['M19074', 'M24032', 'M12487', 'M14938', 'M8866', 'M4951', 'M6240', 'M9751', 'M13560', 'M13561', 'M5138', 'M22269', 'M16105', 'M13732', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Pneumonia', 'Syndrome', 'Infection', 'Communicable Diseases', 'Edema', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiratory Tract Infections', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000018352', 'D000045169', 'D000011014']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Pneumonia']"
NCT04455958,"['D000007239', 'D000009784']","['Infection', 'Occupational Diseases']","['BC01', 'All', 'BC24']","['Bacterial and Fungal Diseases', 'All Conditions', 'Occupational Diseases']",Infection Laboratory-,"['M8866', 'M4951', 'M9360', 'M11302']","['Infection', 'Communicable Diseases', 'Laboratory Infection', 'Occupational Diseases']","['low', 'low', 'high', 'low']","['D000007757', 'D000009369']","['Laboratory Infection', 'Neoplasms']"
NCT04346615,0,0,"['BC02', 'All', 'BC01']","['Viral Diseases', 'All Conditions', 'Bacterial and Fungal Diseases']",0,"['M19074', 'M8866', 'M4951']","['Coronavirus Infections', 'Infection', 'Communicable Diseases']","['low', 'low', 'low']",0,0
NCT04357782,"['D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000012818', 'D000012141', 'D000012140']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Signs and Symptoms, Respiratory', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC23', 'BC01', 'BC16', 'BC26', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Rare Diseases']","['Coronavirus Infection', 'Coronavirus Infection', 'Hypoxia', 'Coronavirus Infection']","['M19074', 'M24032', 'M14938', 'M8866', 'M2766', 'M13548', 'M4951', 'M13547', 'M26731', 'M19448', 'M15452', 'M26730', 'M5138', 'M22269', 'M16105', 'M13732', 'M14206', 'M13561', 'M13560', 'T5197', 'T4937', 'T192']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Hypoxia', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Sepsis', 'Toxemia', 'Lung Injury', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Signs and Symptoms, Respiratory', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['high', 'high', 'low', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'low', 'low']","['D000018352', 'D000045169', 'D000000860']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Hypoxia']"
NCT04391179,"['D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC01', 'BC23', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Symptoms and General Pathology', 'Rare Diseases']","['Corona Virus Infection', 'Corona Virus Infection', 'Infection', 'Infection', 'Corona Virus Infection']","['M19074', 'M24032', 'M8866', 'M4951', 'M16105', 'M14938', 'M5138', 'M22269', 'M13732', 'M13561', 'M13560', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Virus Diseases', 'Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000007239', 'D000003141', 'D000018352', 'D000045169']","['Infection', 'Communicable Diseases', 'Coronavirus Infections', 'Severe Acute Respiratory Syndrome']"
NCT04365985,"['D000004194', 'D000010335', 'D000008171', 'D000012140', 'D000012120', 'D000007235', 'D000007232', 'D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000055370', 'D000012141']","['Disease', 'Pathologic Processes', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Lung Injury', 'Respiratory Tract Infections']","['BC02', 'All', 'BC08', 'BC23', 'BC01', 'BC16', 'BC26', 'BXS', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Symptoms and General Pathology', 'Bacterial and Fungal Diseases', 'Diseases and Abnormalities at or Before Birth', 'Wounds and Injuries', 'Urinary Tract, Sexual Organs, and Pregnancy Conditions', 'Rare Diseases']","['Coronavirus Infection', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Acute Respiratory Distress Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome', 'Acute Respiratory Distress Syndrome']","['M19074', 'M24032', 'M14938', 'M8866', 'M13548', 'M4951', 'M13547', 'M26731', 'M26730', 'M9751', 'M13560', 'M13540', 'M24456', 'M8862', 'M8859', 'M5138', 'M22269', 'M16105', 'M13732', 'M13561', 'T5197', 'T4937', 'T192']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Syndrome', 'Infection', 'Respiratory Distress Syndrome, Adult', 'Communicable Diseases', 'Respiratory Distress Syndrome, Newborn', 'Acute Lung Injury', 'Lung Injury', 'Lung Diseases', 'Respiratory Tract Diseases', 'Respiration Disorders', 'Premature Birth', 'Infant, Premature, Diseases', 'Infant, Newborn, Diseases', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Infant', 'Acute Respiratory Distress Syndrome']","['high', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high', 'high', 'high']","['D000018352', 'D000045169', 'D000012127', 'D000012128', 'D000055371', 'D000013577']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Respiratory Distress Syndrome, Newborn', 'Respiratory Distress Syndrome, Adult', 'Acute Lung Injury', 'Syndrome']"
NCT04605588,"['D000003333', 'D000030341', 'D000012327', 'D000014777', 'D000012141', 'D000012140']","['Coronaviridae Infections', 'Nidovirales Infections', 'RNA Virus Infections', 'Virus Diseases', 'Respiratory Tract Infections', 'Respiratory Tract Diseases']","['BC02', 'All', 'BC08', 'BC01', 'BC23', 'Rare']","['Viral Diseases', 'All Conditions', 'Respiratory Tract (Lung and Bronchial) Diseases', 'Bacterial and Fungal Diseases', 'Symptoms and General Pathology', 'Rare Diseases']","['SARS-CoV Infection', 'SARS-CoV Infection', 'SARS-CoV Infection']","['M19074', 'M24032', 'M8866', 'M4951', 'M14938', 'M5138', 'M22269', 'M16105', 'M13732', 'M13561', 'M13560', 'T5197']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome', 'Infection', 'Communicable Diseases', 'Syndrome', 'Coronaviridae Infections', 'Nidovirales Infections', 'Virus Diseases', 'RNA Virus Infections', 'Respiratory Tract Infections', 'Respiratory Tract Diseases', 'Severe Acute Respiratory Syndrome']","['high', 'high', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'low', 'high']","['D000018352', 'D000045169']","['Coronavirus Infections', 'Severe Acute Respiratory Syndrome']"
