,Rank,NCTId,BaselineDenomUnits,BaselineGroupDescription,BaselineGroupId,BaselineGroupTitle,BaselineMeasureCalculatePct,BaselineMeasureDenomCountGroupId,BaselineMeasureDenomCountValue,BaselineMeasureDenomUnits,BaselineMeasureDenomUnitsSelected,BaselineMeasureDescription,BaselineMeasureDispersionType,BaselineMeasureParamType,BaselineMeasurePopulationDescription,BaselineMeasureTitle,BaselineMeasureUnitOfMeasure,BaselineMeasurementComment,BaselineMeasurementGroupId,BaselineMeasurementLowerLimit,BaselineMeasurementSpread
0,84,['NCT02128542'],['Participants'],"['Treatment-naive participants received SOF 400 mg tablet once daily + RBV tablets (1000 or 1200 mg daily based on weight) for 12 weeks.', 'Treatment-experienced participants received SOF 400 mg tablet once daily + RBV tablets (1000 or 1200 mg daily based on weight) for 12 weeks.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['SOF+RBV 12 Weeks (TN)', 'SOF+RBV 12 Weeks (TE)', 'Total']",[],[],[],[],[],[],"['Standard Deviation', 'Standard Deviation']","['Mean', 'Count of Participants', 'Number', 'Number', 'Number', 'Mean', 'Number', 'Number', 'Number']",[],"['Age, Continuous', 'Sex: Female, Male', 'Race/Ethnicity, Customized', 'Region of Enrollment', 'IL28b Status', 'HCV RNA', 'HCV RNA Category', 'HCV Genotype', 'Cirrhosis Status']","['Years', 'Participants', 'participants', 'participants', 'participants', 'log10 IU/mL', 'participants', 'participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['6.0', '5.4', '5.8', '0.89', '0.48', '0.87']"
0,85,['NCT00573976'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,86,['NCT00306007'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,87,['NCT02766647'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,88,['NCT04460898'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,89,['NCT00413517'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,90,['NCT02882100'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,91,['NCT00533975'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,92,['NCT02109757'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,93,['NCT00959933'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,94,['NCT00960479'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,95,['NCT03266497'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,96,['NCT02207569'],['Participants'],['The CoreValve Evolut R System is a transcatheter aortic valve implantation system comprised of the following three components:>\n\nEvolut R Transcatheter Aortic Valve (TAV)>\nEnVeo R Delivery Catheter System (DCS) with EnVeo R InLine Sheath>\nEnVeo R Loading System (LS)> > CoreValve Evolut R TAVR system'],['BG000'],['CoreValve Evolut R TAVR System'],[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Number']",[],"['Age, Continuous', 'Sex: Female, Male', 'Region of Enrollment']","['years', 'Participants', 'participants']",[],"['BG000', 'BG000', 'BG000', 'BG000']",[],['6.8']
0,97,['NCT02569632'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,98,['NCT02069925'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,99,['NCT03433131'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,100,['NCT02746809'],['Participants'],['Treatment of Aortic Stenosis with Medtronic CoreValve Evolut R 34R TAVR System.>\n\n> CoreValve Evolut 34R TAVR system: The CoreValve Evolut 34R System is a transcatheter aortic valve implantation system comprised of the following three components:>\n\nEvolut 34R Transcatheter Aortic Valve (TAV)>\nEnVeo R Delivery Catheter System (DCS) with EnVeo R InLine Sheath>\nEnVeo R Loading System (LS)'],['BG000'],['CoreValve Evolut 34R TAVR System'],[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Count of Participants', 'Count of Participants']",['Race and Ethnicity were not collected from any participant.'],"['Age, Continuous', 'Sex: Female, Male', 'Race and Ethnicity Not Collected', 'Region of Enrollment']","['years', 'Participants', 'Participants', 'Participants']",[],"['BG000', 'BG000', 'BG000', 'BG000']",[],['8.2']
0,101,['NCT00328380'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,102,['NCT04552535'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,103,['NCT03293875'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,104,['NCT01235260'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,105,['NCT03390660'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,106,['NCT00837499'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,107,['NCT01629537'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,108,['NCT00351741'],['Participants'],"['Intervention with high frequency percussive ventilation', 'Low-tidal volume ventilation', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['High Frequency', 'Conventional', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Count of Participants', 'Mean', 'Count of Participants', 'Number']",[],"['Age, Categorical', 'Age, Continuous', 'Sex: Female, Male', 'Region of Enrollment']","['Participants', 'years', 'Participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['18', '18', '18']"
0,109,['NCT01965561'],['Participants'],"['Junctional tourniquet use followed by rest, repeat\n\nRest = 5 minutes. SJT is belt with discs that inflate. JETT is belt with pads that screw down. AAT is an bladder within a belt. CRC is a vice.']",['BG000'],['Junctional Tourniquet Use'],[],[],[],[],[],"['Age of healthy human volunteers', 'Pain level on Visual Analog Scale (0 mm = no pain, 100 mm = maximum pain)']","['Full Range', 'Full Range']","['Mean', 'Count of Participants', 'Mean']",[],"['Age, Continuous', 'Sex: Female, Male', 'Pain']","['years', 'Participants', 'units on a scale']",[],"['BG000', 'BG000', 'BG000', 'BG000']","['42', '0']",[]
0,110,['NCT01927835'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,111,['NCT01704235'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,112,['NCT01306266'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,113,['NCT00796315'],['Participants'],"['Doxylamine Succinate, United States Pharmacopeia (USP): One dose of liquid, dosing range 3.125mg/7.5mL - 12.5mg/30mL.']",['BG000'],['Doxylamine Succinate USP'],[],[],[],[],[],[],['Standard Deviation'],"['Count of Participants', 'Mean', 'Number', 'Number']",[],"['Age, Categorical', 'Age Continuous', 'Sex/Gender, Customized', 'Region of Enrollment']","['Participants', 'years', 'participants', 'participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],"['1.1', '1.5', '1.8']"
0,114,['NCT00005463'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,115,['NCT03382418'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,116,['NCT00054743'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,117,['NCT00730964'],['Participants'],['Open Label with 1039 subjects that received Optison to evaluate the safety of the product'],['BG000'],['Arm 1 - Optison'],[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Number', 'Count of Participants', 'Number']",[],"['Age Continuous', 'Age, Customized', 'Sex: Female, Male', 'Region of Enrollment']","['years', 'participants', 'Participants', 'participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],['12.99']
0,118,['NCT02886689'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,119,['NCT00005455'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,120,['NCT01150695'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,121,['NCT00245076'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,122,['NCT00935623'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,123,['NCT03688126'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,124,['NCT02053506'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,125,['NCT03933215'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,126,['NCT03933202'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,127,['NCT00005171'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,128,['NCT01256164'],['Participants'],"['After identification of a Target Bleeding Site (TBS), topical Fibrocaps powder will be applied using the Fibrospray device for general surgeries; and either the Fibrospray device or direct application for spinal and vascular surgeries, followed by application of Gelfoam and manual pressure with sterile gauze.', 'Treatment will be Gelfoam followed by manual pressure with sterile gauze. If hemostasis has not been achieved within 10 minutes of the Start Time,the subject will be considered a treatment failure and the surgeon will implement additional hemostatic measures.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['Fibrocaps + Gelfoam', 'Gelfoam', 'Total']",[],[],[],[],[],[],['Standard Deviation'],"['Count of Participants', 'Mean', 'Count of Participants', 'Number']",[],"['Age, Categorical', 'Age, Continuous', 'Sex: Female, Male', 'Region of Enrollment']","['Participants', 'years', 'Participants', 'participants']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['13.97', '10.48', '12.89']"
0,129,['NCT03631472'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,130,['NCT03699709'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,131,['NCT00237263'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,132,['NCT02939131'],"['Participants', 'site']","['Health and Wellness Cognitive Behavioral Therapy and Medication Management (COMB-R) intervention\n\nHealth and Wellness Combined Cognitive Behavioral Therapy and a Medication Management Algorithm: Behavioral therapy based on a manualized approach developed specifically for youth living with both HIV and depression, using problem-solving, motivational interviewing and cognitive-behavioral strategies to decrease adherence obstacles and increase wellness. The medication management algorithm includes guidance for clinicians on strategies and tactics to treat depression in this population, including factors to consider when deciding on treatments (i.e., drug-drug interactions, side effects).', 'Enhanced Standard of Care (ESC)\n\nEnhanced Standard of Care: Ongoing psychopharmacological and psychosocial counseling and treatment for depression at HIV clinical treatment centers enhanced by providing clinicians with up-to-date information and didactic training on current principles for use of medication and psychotherapy in the treatment of depression.', 'Total of all reporting groups']","['BG000', 'BG001', 'BG002']","['COMB-R', 'Enhanced Standard of Care', 'Total']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']","['81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '74', '155', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13', '81', '75', '156', '6', '7', '13']","['Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site', 'Participants', 'site']","['Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'site', 'site', 'site', 'site', 'site', 'site', 'site']","['QIDS-SR = Quick Inventory of Depression Symptomatology - Self Report. Scores range from 0 (least depression symptoms/severity) to 27 (highest level of depression symptoms/severity).', 'This measure is the average of the site-level mean ages within each treatment group.', 'This is the average of the site-level percent of male participants within each treatment group.', 'This is the average of the site-level percents of Black participants within each treatment group.', 'This is the average of the site-level percentages of participants with perinatal HIV acquisition within treatment group.', 'This measure is the average of the site-level mean QIDS-SR scores within treatment group. QIDS-SR = Quick Inventory of Depression Symptomatology - Self Report. Scores range from 0 (least depression symptoms/severity) to 27 (highest level of depression symptoms/severity).', 'This measure is the average of the site-level mean log10 HIV copes/mL within treatment group.', 'This measure is the average of the site-level percentages of participants taking psychiatric medications within treatment group.']","['Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation', 'Standard Deviation']","['Mean', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Mean', 'Mean', 'Count of Participants', 'Mean', 'Mean', 'Mean', 'Mean', 'Mean', 'Mean', 'Mean']",['One participant had missing data or data which could not be scored'],"['Age, Continuous', 'Age, Customized', 'Sex: Female, Male', 'Race/Ethnicity, Customized', 'Region of Enrollment', 'Route of HIV acquisition', 'log10 (HIV viral load copies/mL)', 'QIDS-SR at study entry (mean)', 'Taking psychiatric medications at study entry', 'Average of site-level mean age', 'Average of site-level % male', 'Average of site-level % black participants', 'Average of site-level % with perinatal transmission', 'Average of site-level mean QIDS-SR scores', 'Average of site-level mean log 10 (HIV viral load copies/mL)', 'Average of site-level % of participants taking psychiatric medications']","['years', 'Participants', 'Participants', 'Participants', 'Participants', 'Participants', 'log10 HIV copies/mL', 'units on a scale', 'Participants', 'years', 'percent', 'percent', 'percent', 'units on a scale', 'log10 HIV copies/mL', 'percent']",[],"['BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002', 'BG000', 'BG001', 'BG002']",[],"['2.6', '3.0', '2.8', '1.2', '1.3', '1.2', '4.1', '4.2', '4.3', '0.6', '1.8', '1.3', '24.4', '24.5', '23.4', '40', '32.6', '34.9', '26.3', '22.1', '23.4', '1.3', '3.2', '2.6', '0.7', '0.3', '0.5', '9.7', '15.5', '14.3']"
0,133,['NCT03488264'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,134,['NCT01873482'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,135,['NCT02829073'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,136,['NCT01369030'],['Participants'],['Subjects with depression who have been prescribed Deplin® daily.'],['BG000'],['Deplin®'],[],[],[],[],[],"['Baseline gender characteristic categories include female, male, and unknown. 16 enrolled subjects were listed as unknown.']",['Standard Deviation'],"['Count of Participants', 'Mean', 'Number', 'Number']",[],"['Age, Categorical', 'Age, Continuous', 'Gender', 'Region of Enrollment']","['Participants', 'years', 'participants', 'participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],['14.1']
0,137,['NCT01568424'],['Participants'],['Patients with acute right ventricular failure from any cause requiring use of the CentriMag RVAS to sustain life.\n\nCentriMag RVAS placement: Patients will be treated with a CentriMag RVAS'],['BG000'],['Treatment Group'],[],[],[],[],[],[],"['Standard Deviation', 'Full Range', 'Full Range', 'Full Range', 'Full Range', 'Full Range', 'Full Range']","['Mean', 'Count of Participants', 'Median', 'Median', 'Median', 'Median', 'Median', 'Median']",[],"['Age, Continuous', 'Sex: Female, Male', 'Cardiac Index (CI)', 'Mean Arterial Pressure (MAP)', 'Central Venous Pressure (CVP)', 'Blood Urea Nitrogen (BUN)', 'Creatinine (mg/dl)', 'Total Bilirubin (mg/dl)']","['Years', 'Participants', 'L/min/m^2', 'mmHg', 'mmHg', 'mg/dl', 'mg/dl', 'mg/dl']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']","['1.6', '59', '4', '7', '0.5', '0.5']",['13.9']
0,138,['NCT02406599'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,139,['NCT03965195'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,140,['NCT01368549'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,141,['NCT01370954'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,142,['NCT01339546'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,143,['NCT02252159'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,144,['NCT04072289'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,145,['NCT04423770'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,146,['NCT01358552'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,147,['NCT02856646'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,148,['NCT01940679'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,149,['NCT02951598'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,150,['NCT02988934'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,151,['NCT01028300'],['Participants'],"['ProDisc™-L Total Disc Replacement (TDR): The design is based on a ball and socket articulation, one surface being metal and the other an ultra-high molecular weight polyethylene (UHMWPE). Three components comprise this modular prosthesis.']",['BG000'],['ProDisc L'],[],[],[],[],[],[],[],"['Count of Participants', 'Count of Participants', 'Number']",[],"['Age, Categorical', 'Sex: Female, Male', 'Region of Enrollment']","['Participants', 'Participants', 'participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],[]
0,152,['NCT01034865'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,153,['NCT02352532'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,154,['NCT03198793'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,155,['NCT01112917'],['Participants'],['VenaTech Convertible Vena Cava Filter: Prevention of Pulmonary Embolism\n\nVena Cava Filter Conversion: Conversion of VenaTech Convertible filter to open configuration.'],['BG000'],['VenaTech Convertible Filter'],[],[],[],[],[],[],['Standard Deviation'],"['Mean', 'Count of Participants', 'Count of Participants', 'Count of Participants', 'Number']",[],"['Age, Continuous', 'Sex: Female, Male', 'Ethnicity (NIH/OMB)', 'Race (NIH/OMB)', 'Region of Enrollment']","['years', 'Participants', 'Participants', 'Participants', 'participants']",[],"['BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000', 'BG000']",[],['13']
0,156,['NCT01764269'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,157,['NCT03346603'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,158,['NCT04281290'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,159,['NCT04601103'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,160,['NCT04600856'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,161,['NCT04599907'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,162,['NCT04593875'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,163,['NCT04589507'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,164,['NCT04586205'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,165,['NCT04585646'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,166,['NCT04584788'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,167,['NCT04584099'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,168,['NCT04577898'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,169,['NCT04577456'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,170,['NCT04569253'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,171,['NCT04567186'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,172,['NCT04562532'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,173,['NCT04558970'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,174,['NCT04558632'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,175,['NCT04558047'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,176,['NCT04557917'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,177,['NCT04557891'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,178,['NCT04556968'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,179,['NCT04556474'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,180,['NCT04547920'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,181,['NCT04547712'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,182,['NCT04544670'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,183,['NCT04542525'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,184,['NCT04540913'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,185,['NCT04537013'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,186,['NCT04536168'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,187,['NCT04534764'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,188,['NCT04532099'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,189,['NCT04529616'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,190,['NCT04529109'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,191,['NCT04524247'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,192,['NCT04523545'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,193,['NCT04513574'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,194,['NCT04510857'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,195,['NCT04508335'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,196,['NCT04502758'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,197,['NCT04501146'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,198,['NCT04500821'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,199,['NCT04499521'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,200,['NCT04496752'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,201,['NCT04493021'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,202,['NCT04488666'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,203,['NCT04483791'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,204,['NCT04476784'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,205,['NCT04474054'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,206,['NCT04469218'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,207,['NCT04466930'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,208,['NCT04455997'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,209,['NCT04455854'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
