,Rank,NCTId,BaselineMeasurementUpperLimit,BaselineMeasurementValue,BaselinePopulationDescription,BaselineTypeUnitsAnalyzed,BioSpecDescription,BioSpecRetention,BriefSummary,BriefTitle,CentralContactEMail,CentralContactName,CentralContactPhone,CentralContactPhoneExt,CentralContactRole,CollaboratorClass,CollaboratorName,CompletionDate,CompletionDateType,Condition,ConditionAncestorId
0,74,['NCT00601835'],[],"['1501', '0', '1501', '1000', '257', '1257', '449', '443', '892', '33.6', '69.3', '40.5', '1629', '403', '2032', '1321', '297', '1618', '2950', '700', '3650']",[],[],[],[],['To compare the seroprotection rates and booster responses to Canadian-manufactured Tetanus and Diphtheria Toxoids Adsorbed vaccine to the seroprotection rates and booster responses to the US-manufactured Tetanus and Diphtheria Toxoids Adsorbed vaccine when administered to subjects ≥ 60 years of age.\n\nTo compare the post-vaccination geometric mean titers of antibody (GMTs) to Canadian manufactured Tetanus and Diphtheria Toxoids Adsorbed vaccine to the post-vaccination GMTs to the US manufactured Tetanus and Diphtheria Toxoids Adsorbed vaccine when administered to subjects ≥ 60 years of age.'],['Canadian Manufactured Tetanus and Diphtheria Toxoids Adsorbed (Td) Vaccine Compared With U.S. Manufactured Td'],[],[],[],[],[],[],[],['July 2005'],['Actual'],"['Diphtheria', 'Tetanus']","['D000003015', 'D000016908', 'D000001424', 'D000020879', 'D000009461', 'D000009422', 'D000006996', 'D000002128', 'D000008659', 'D000003354', 'D000000193']"
0,75,['NCT01087905'],[],"['0', '0', '0', '1', '0', '0', '1', '0', '2', '115', '119', '121', '119', '116', '119', '114', '123', '946', '4', '7', '2', '2', '6', '8', '6', '4', '39', '42.33', '43.35', '41.39', '40.84', '41.74', '43.18', '42.61', '40.03', '41.93', '71', '65', '63', '70', '75', '72', '74', '79', '569', '48', '61', '60', '52', '47', '55', '47', '48', '418', '119', '126', '123', '122', '122', '127', '121', '127', '987']","['Baseline sample=987 adult smokers (at least 18 years of age) who called the Wisconsin Tobacco Quit Line (WTQL) from April 1, 2010 to June 15, 2010.']",[],[],[],"['Research shows that smoking cessation is the most significant preventable health behavior change that a person can make to lower cancer risk. In addition, telephone quitlines are an effective, science-based smoking cessation treatment that is universally accessible to smokers in the U.S. However, little research has explored promising approaches that could increase quitline use, improve quit rates, and inform resource allocation for quitline services. The proposed study will test three promising enhancements to the standard quitline treatment that typically consists of counseling and, possibly 2 weeks of a NRT medication. These enhancements are: 1) combination nicotine replacement therapy as recommended by the United States Public Health Service Clinical Practice Guideline on Treating Tobacco Use and Dependence; 2) extended duration of cessation medication use; and 3) an innovative counseling addition - cognitive medication adherence counseling - to optimize adherence to cessation medication. In addition, the cost-effectiveness of each intervention will be calculated. The findings of the proposed research have broad potential application and relevance to state quitlines, quitline service providers, and other purchasers of quitline services such as employers and insurers. Additionally, the study findings can potentially inform other telephone health behavior counseling programs.']",['Improving the Population-Wide Effectiveness of U.S. Tobacco Cessation Quitlines'],[],[],[],[],[],"['OTHER_GOV', 'INDUSTRY', 'FED', 'NIH']","['Wisconsin Department of Health and Family Services', 'Alere Wellbeing', 'Department of Health and Human Services', 'National Cancer Institute (NCI)']",['November 2011'],['Actual'],"['Smoking', 'Smoking Cessation']",[]
0,76,['NCT02616198'],[],[],[],[],[],[],"['The aim of this study was to evaluate the long-term clinical performance of two highly viscous encapsulated GICs (EquiaFil and Riva SC) covered with two different coatings (Equia Coat and Fuji Varnish) over 6-year using modified United State Public Health Service (USPHS) criteria.\n\nA total of 256 restorations were made with EquiaFil and Riva SC. Equia Coat or Fuji Varnish was used randomly on the surface of the restorations. The restorations were evaluated at baseline, 6, 12, 18 months and 6 years after placement using modified USPHS criteria. The results were evaluated with Pearson Chi-Square and Mann Whitney U-test (p< 0.05).']",['6-year Clinical Evaluation of Glass Ionomer Cements (GIS) With Resin Coating on Posterior Teeth'],[],[],[],[],[],[],[],['September 2015'],['Actual'],['Dental Caries'],"['D000017001', 'D000014076', 'D000009057']"
0,77,['NCT00007540'],[],[],[],[],[],[],"['Prostate cancer is diagnosed in approximately 334,500 men each year and accounts for nearly 41,800 deaths in the United States. Prostate cancer is the leading cancer affecting veterans and the second leading cancer among all Americans. The causes of prostate cancer and, particularly, the reasons for the unusually high incidence rates in African-Americans remain obscure. Dietary factors likely play a role in fatal cases, while hormones are also important in regulating prostate cancer growth. Dr. Charles Huggins recognized this effect in the 1940?s, with androgen deprivation remaining as the cornerstone of therapy for advanced disease. Despite the strong circumstantial evidence, neither epidemiologic studies nor basic sciences have produced clear insight into the etiologic role of hormones. However, recent observations regarding androgen receptor gene polymorphisms and their relation to endocrine expression and prostate cancer risk may be providing important clues as to how an etiologic role might be mediated at the molecular level. Thus, it is important to attempt to identify genetic markers of high-risk cancer patients for necessary screening and counseling efforts.']",['Study of Prostate Cancer in Black and White U.S. Veterans'],[],[],[],[],[],[],[],['September 2000'],[],"['Prostate Cancer', 'Prostatic Neoplasms']","['D000005834', 'D000014565', 'D000009371', 'D000009369', 'D000011469']"
0,78,['NCT02163525'],[],[],[],[],[],[],"[""This Post Market study is being conducted to compare the direct and indirect cost of three approaches (GFA, myomectomy, and uterine artery embolization) for the treatment of symptomatic uterine fibroids. In addition, data from this study is being used to satisfy the requirements of the United States Food and Drug Administration's 522 (post market surveillance) order.""]",['Post Market TRUST - U.S.A. Study'],[],[],[],[],[],[],[],['June 2024'],['Anticipated'],['Symptomatic Uterine Fibroids'],"['D000009379', 'D000018204', 'D000009370', 'D000009369']"
0,79,['NCT03310112'],[],[],[],[],[],[],"['This project aims to contextualize delivery of mindfulness training to U.S. Army personnel, evaluate its effectiveness on measures of executive functions and psychological well-being, and determine best practices for its delivery.']",['Mindfulness Training in U.S. Army Cohorts'],[],[],[],[],[],[],[],"['March 27, 2018']",['Actual'],"['Psychological Stress', 'Anxiety', 'Post Traumatic Stress Disorder', 'Depression', 'Cognitive Change']","['D000001526', 'D000068099', 'D000001523']"
0,80,['NCT02766634'],[],[],[],[],[],[],"['This is a study comparing two study drugs, Filgrastim Hospira and Neupogen®. Neupogen® is approved by the US Food and Drug Administration (FDA) to treat low numbers of specific kinds of white blood cells (WBC) known as neutrophils. This type of white cell is important in fighting infections. A low neutrophil count is known as neutropenia. Both drugs work by increasing the number of neutrophils that are produced in the body.\n\nThis is important for patients who have low neutrophils due to chemotherapy, other treatments such as bone marrow transplant or certain other conditions with symptoms/problems related to low neutrophil counts. The main aim of the study is to test how Filgrastim Hospira works in the body compared to Neupogen®.']",['A Research Study To Test How Multiple Doses Of Filgrastim Hospira Works In The Body Of Healthy Study Subjects When Given by Subcutaneous Injection (SC) (Shot) Compared To An Already U.S.-Approved Drug Neupogen® (Amgen)'],[],[],[],[],[],['INDUSTRY'],"['Hospira, now a wholly owned subsidiary of Pfizer']",['June 2016'],['Actual'],['Neutropenia (Low White Blood Cell Count)'],"['D000000380', 'D000007960', 'D000006402']"
0,81,['NCT02971709'],[],[],[],[],[],[],"['Use of shade when outdoors is recommended by health authorities worldwide to reduce overall exposure to ultraviolet radiation. However, expensive physical environment changes are often required to provide shade and may be effective only when health education has created a social environment that motivate shade use. A multi-national research team will explore the use of built shade in passive recreation areas within public parks and compare use of built shade between the United States and Australia. The specific aims of the project are to: a) introduce built shade structures (i.e., shade sails) in public parks in Denver and Melbourne; b) compare the use of passive recreation areas with and without built shade; c) compare the change in use of the passive recreation areas in Denver and Melbourne after introduction of built shade, and d) examine the relationship among social environment and physical features of the environment and built shade.']",['Use of Shade in U.S. and Australian City Parks'],[],[],[],[],[],['OTHER'],['Cancer Council Victoria'],"['May 31, 2017']",['Actual'],['Skin Cancer'],"['D000009371', 'D000009369', 'D000012871']"
0,82,['NCT03801928'],[],[],[],[],[],[],"[""This is a prospective, observational, multicenter study conducted in adult patients with ulcerative colitis (UC) or Crohn's disease (CD). The study plans to recruit 300 subjects in the United States and Canada in which the participating physician has decided to treat with INFLECTRA. The study will evaluate treatment patterns, adherence, disease activity, remission status, relapse status, treatment satisfaction, and healthcare resource utilization. Patient outcomes will be assessed at four time points (quarterly) for approximately 52 weeks after the decision to initiate treatment with INFLECTRA.""]","['Observational, Real World Study Of Inflectra In Patients With Inflammatory Bowel Disease']",[],[],[],[],[],[],[],"['February 7, 2020']",['Actual'],"['Inflammatory Bowel Disease (IBD)', ""Crohn's Disease (CD)"", 'Ulcerative Colitis (UC)']","['D000005759', 'D000005767', 'D000004066', 'D000003092', 'D000003108']"
0,83,['NCT01641029'],[],[],[],[],[],[],"['Pyelonephritis is a serious infection that manifests with fever, back pain, nausea, and vomiting. In the U.S., it is estimated that there are 20 cases of pyelonephritis per 10,000 annually, with the highest incidence in young women. Escherichia coli (E. coli) causes over 80% of these infections. Over the last two decades, E. coli resistance has emerged to commonly prescribed antimicrobials, such as ampicillin and trimethoprim-sulfamethoxazole (TMP/SMX). Most recently, resistance to fluoroquinolones and strains producing extended-spectrum beta-lactamases (ESBL) have been observed. In order to better understand the evolution and current state of antibiotic resistance among E. coli urinary tract isolates so as to better inform treatment decisions, the investigators propose to conduct an investigation to: a) determine the prevalence of antimicrobial resistance among E. coli causing acute pyelonephritis in various patient groups, and specifically healthy community-dwellers with uncomplicated infections, b) determine the specific prevalence of fluoroquinolone-resistance and ESBL-producing E. coli, and c) determine potential risk factors for fluoroquinolone and ESBL-producing E. coli infections.']",['Community-Associated Uropathogen Antimicrobial Resistance Among Emergency Department Patients With Acute Pyelonephritis'],[],[],[],[],[],"['FED', 'INDUSTRY']","['Centers for Disease Control and Prevention', 'Merck Sharp & Dohme Corp.']",['December 2014'],['Actual'],['Pyelonephritis'],"['D000020969', 'D000010335', 'D000009395', 'D000009393', 'D000007674', 'D000014570', 'D000011702']"
0,84,['NCT02128542'],[],"['64', '62', '63', '0', '0', '0', '47', '19', '66', '8', '2', '10', '37', '17', '54', '1', '0', '1', '1', '0', '1', '47', '19', '66', '25', '8', '33', '19', '10', '29', '3', '1', '4', '5.9', '6.6', '6.1', '21', '2', '23', '26', '17', '43', '2', '2', '4', '37', '17', '54', '8', '0', '8', '0', '0', '0', '47', '19', '66']",['Safety analysis set: participants who received at least 1 dose of study drug'],[],[],[],"['This study will examine the safety, tolerability, and antiviral efficacy of sofosbuvir (SOF)+ribavirin (RBV) in treatment-naive and treatment-experienced United States Veterans with compensated cirrhosis and genotype 2 HCV infection.']",['Efficacy and Safety of Sofosbuvir+Ribavirin in Genotype 2 HCV-infected U.S. Veterans With Cirrhosis'],[],[],[],[],[],[],[],['June 2015'],['Actual'],['Hepatitis C Virus Infection'],"['D000006505', 'D000008107', 'D000004066', 'D000006525', 'D000014777', 'D000018178', 'D000012327']"
0,85,['NCT00573976'],[],[],[],[],[],[],"['In the past two decades there have been great strides made in understanding the biological changes resulting from spinal cord injury (SCI). The future holds promise of the development of therapies that will promote degrees of repair and recovery of function for people living with SCI. Lessons learned from past ""failed"" SCI clinical trials, however, demonstrate that, in order to accurately evaluate the overall effectiveness of SCI therapies, more sensitive outcomes measures are needed. Specifically, and reflecting the ultimate goal of clinical interventions - inducing functional recovery - the Spinal Cord Independence Measure (SCIM), has been recommended for further testing and development for use as a measure of functional ability in future SCI clinical studies. The SCIM is a very simple questionnaire and score sheet that an evaluator uses to determine how independently a person with SCI can perform certain tasks.\n\nA panel of SCI researchers recommended the SCIM as the most suitable among four candidate measures of functional recovery reviewed at a special meeting sponsored by the National Institute on Disability and Rehabilitation Research (NIDRR) at a joint meeting of the American Spinal Injury Association and the International Spinal Cord Society (ASIA-ISCoS) in Boston, MA, in June 2006. It was recommended that a large-scale, multi-center, prospective trial be conducted in the United States, which would mirror a recently published multi-site international study.\n\nThe proposed research on the SCIM III, the latest and most sensitive version of the SCIM, would test the hypothesis that the SCIM III is a valid, reliable, and sensitive measure of functional ability in persons with SCI. Twenty-two rehabilitation centers throughout the United States will enroll a maximum of 660 subjects. Functional ability will be measured with the SCIM III during the first week of admittance into inpatient acute rehabilitation and within one week of discharge from the same rehabilitation program. Statistical analyses will be used to test the validity, reliability, and sensitivity of the SCIM III. The results will demonstrate whether the SCIM III is a suitable outcome measure to assess SCI specific functional ability in future clinical trials.']",['Study to Assess the Validity and Reliability of the Spinal Cord Independence Measure (SCIM III)'],[],[],[],[],[],"['OTHER', 'OTHER', 'OTHER', 'OTHER', 'FED', 'FED', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'UNKNOWN', 'UNKNOWN', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER']","['University of Pittsburgh', 'University of Texas Southwestern Medical Center', 'Rancho Los Amigos National Rehabilitation Center', 'University of Missouri-Columbia', 'James A. Haley Veterans Administration Hospital', 'VA Long Beach Healthcare System', 'Allina Health System', 'University of Kentucky', 'Mayo Clinic', 'University of Louisville', 'Shirley Ryan AbilityLab', 'Atrium Health', 'Kessler Foundation', 'MedStar National Rehabilitation Network', 'MetroHealth Rehabilitation Institute of Ohio', 'Touro Rehabilitation Center', 'Icahn School of Medicine at Mount Sinai', 'Medical College of Wisconsin', 'St. Joseph Hospital Health Center', 'Thomas Jefferson University', 'The Institute for Rehabilitaion and Research Foundation']",['September 2010'],['Actual'],['Spinal Cord Injury'],"['D000013118', 'D000002493', 'D000009422', 'D000020196', 'D000014947']"
0,86,['NCT00306007'],[],[],[],[],[],[],"['The aim of the study is to evaluate the reliability, validity, and acceptability of the London Measure of Unplanned Pregnancy (LMUP) in a U.S. population of women. The researchers hypothesize that the LMUP will be acceptable to a U.S. population and will be reliable and valid.']","['Evaluation of the Reliability, Validity, and Acceptability of the London Measure of Unplanned Pregnancy in a U.S. Population of Women']",[],[],[],[],[],[],[],['August 2007'],['Actual'],['Unplanned Pregnancy'],[]
0,87,['NCT02766647'],[],[],[],[],[],[],"['This is a study comparing two study drugs, Filgrastim Hospira and Neupogen®. Neupogen® is approved by the US Food and Drug Administration (FDA) to treat low numbers of specific kinds of white blood cells (WBC) known as neutrophils. This type of white cell is important in fighting infections. A low neutrophil count is known as neutropenia. Both drugs work by increasing the number of neutrophils that are produced in the body.\n\nThis is important for patients who have low neutrophils due to chemotherapy, other treatments such as bone marrow transplant or certain other conditions with symptoms/problems related to low neutrophil counts. The main aim of the study is to test how Filgrastim Hospira works in the body compared to Neupogen®.']",['A Research Study To Test How Filgrastim Hospira Works In The Body Of Healthy Study Subjects When Given By Subcutaneous Injection (Shot) Compared To An Already U.S.-Approved Drug Neupogen® (Amgen)'],[],[],[],[],[],['INDUSTRY'],"['Hospira, now a wholly owned subsidiary of Pfizer']",['March 2016'],['Actual'],['Neutropenia (Low White Blood Cell Count)'],"['D000000380', 'D000007960', 'D000006402']"
0,88,['NCT04460898'],[],[],[],[],[],[],"['This is a retrospective, observational study that will document treatment patterns and clinical outcomes of postmenopausal patients diagnosed with HR+/HER2- mBC who received Palbociclib plus Letrozole as initial endocrine-based therapy in US community oncology network settings.']",['RW Treatment Patterns and Outcomes in Postmenopausal HR+/HER2- mBC Patients Treated With Palbociclib Plus Letrozole as Initial Endocrine Therapy at Community Oncology Practices in the U.S.'],[],[],[],[],[],[],[],"['June 24, 2019']",['Actual'],['Breast Cancer'],"['D000009371', 'D000009369', 'D000001941', 'D000012871']"
0,89,['NCT00413517'],[],[],[],[],[],[],"['The purpose of this study is to evaluate the safety and efficacy of Epi-Lasik in U.S. Army personnel who have naturally occurring myopia with or without astigmatism. The data from this control group will be collected in such a way as to be comparable to data sets from study groups undergoing wavefront guided PRK, conventional PRK, and related laser refractive surgery procedures.']",['Evaluation of Epi-lasik in U.S. Army Personnel'],[],[],[],[],[],[],[],['September 2009'],['Actual'],['Myopia'],"['D000012030', 'D000005128']"
0,90,['NCT02882100'],[],[],[],[],[],[],"['This study is powered to prospectively evaluate the relative effectiveness of adjuvanted trivalent influenza vaccine (aTIV; FLUAD) in preventing influenza mortality, hospitalization, and functional decline in a nursing home population in the U.S., compared to the commercially available, standard dose trivalent seasonal influenza vaccine (TIV; Fluvirin).']",['Adjuvanted Influenza Vaccination in U.S. Nursing Homes'],[],[],[],[],[],"['OTHER', 'OTHER', 'INDUSTRY']","['Case Western Reserve University', 'Brown University', 'Seqirus']","['September 1, 2020']",['Anticipated'],"['Influenza', 'Influenza-like Illness']","['D000009976', 'D000012327', 'D000014777', 'D000012141', 'D000012140']"
0,91,['NCT00533975'],[],[],[],[],[],[],['The purpose of our study is to evaluate the diagnostic validity of a new immunofecal occult blood test (IFOBT) (Teco Diagnostics) in U.S. veterans and to compare it with the guaiac based FOBT.'],['A Prospective Study of a New Immunochemical Fecal Occult Blood Test in U.S. Veteran Patients Undergoing Colonoscopy'],['jklee@ucsd.edu'],"['Jeffrey K Lee, B.A.']",['510-847-1198'],[],['Contact'],[],[],['December 2008'],['Anticipated'],['Colon Cancer'],"['D000015179', 'D000007414', 'D000005770', 'D000004067', 'D000009371', 'D000009369', 'D000004066', 'D000005767', 'D000003108', 'D000007410']"
0,92,['NCT02109757'],[],[],[],[],[],[],"['The specific aim of this research is to evaluate the performance, effectiveness, and long-term training benefits of a formal hearing protection fit testing program. This study may provide preliminary evidence on the benefits of direct education/training combined with a formal hearing protection device (HPD) fit testing on HPD fittings on United States Air Force (USAF) employees. Currently, Public Health provides informal, subjective training to employees; this practice may be altered by the results of this study.']",['Evaluation of Hearing Protection Fit Testing Program'],[],[],[],[],[],[],[],[],[],['Hearing Loss'],"['D000006311', 'D000004427', 'D000010038', 'D000012678', 'D000009461', 'D000009422']"
0,93,['NCT00959933'],[],[],[],[],[],[],['The purpose of this study is to demonstrate the relative bioavailability of Ribavirin 200 capsules and Rebetol 200 mg capsules in females under non-fasting conditions.'],['Relative Bioavailability Study of Ribavirin 200 Capsules and Rebetol 200 mg Capsules in Females Under Non-Fasting Conditions'],[],[],[],[],[],[],[],['May 2001'],['Actual'],['Chronic Hepatitis C'],"['D000006505', 'D000008107', 'D000004066', 'D000006525', 'D000014777', 'D000018178', 'D000012327', 'D000006521']"
0,94,['NCT00960479'],[],[],[],[],[],[],['The purpose of this study is to demonstrate the relative bioavailability of Ribavirin 200 capsules and Rebetol 200 mg capsules in females under fasting conditions.'],['Relative Bioavailability Study of Ribavirin 200 Capsules and Rebetol 200 mg Capsules in Females Under Fasting Conditions'],[],[],[],[],[],[],[],['February 2001'],['Actual'],['Chronic Hepatitis C'],"['D000006505', 'D000008107', 'D000004066', 'D000006525', 'D000014777', 'D000018178', 'D000012327', 'D000006521']"
0,95,['NCT03266497'],[],[],[],[],[],[],['This study compares the diet quality between U.S.-born and foreign-born non-Hispanic Blacks using pooled NHANES data.'],['Diet Quality Among U.S.-Born and Foreign-born Non-Hispanic Blacks'],[],[],[],[],[],"['OTHER', 'OTHER']","['Harvard School of Public Health', 'Albert Einstein College of Medicine']",['December 2012'],['Actual'],['Diet Habit'],[]
0,96,['NCT02207569'],[],"['84.4', '165', '76', '241']",['241 attempted implant 237 implanted'],[],[],[],['The study objectives are to assess the safety and efficacy of the CoreValve Evolut R transcatheter aortic valve replacement (TAVR) system in patients with severe symptomatic aortic stenosis are considered at high or extreme risk for surgical aortic valve replacement.'],['Medtronic CoreValve Evolut R U.S. Clinical Study'],[],[],[],[],[],[],[],['December 2020'],['Anticipated'],['Aortic Stenosis'],"['D000006349', 'D000006331', 'D000002318', 'D000014694']"
0,97,['NCT02569632'],[],[],[],[],[],[],"['This study will investigate the breadth of protection against meningococcal disease in humans immunized with a newly FDA approved meningococcal B vaccine, trade name ""Trumenba®"" manufactured by Pfizer Vaccines. As a secondary goal the investigators will investigate underlying mechanisms by which human anti-FHbp antibodies elicit complement-mediated bactericidal activity.']",['Investigating the Immunogenicity of a U.S.-Licensed Meningococcal Serogroup B Vaccine (Trumenba)'],[],[],[],[],[],['OTHER'],"['University of Massachusetts, Worcester']",['May 2017'],['Anticipated'],['Meningococcal Infections'],"['D000016870', 'D000016905', 'D000001424', 'D000002493', 'D000009422']"
0,98,['NCT02069925'],[],[],[],[],[],[],"['The guiding questions for this study are: can a U.S. adaptation of a successful Scandinavian approach (TIPS) to early detection substantially reduce the duration of untreated psychosis (DUP) and improve outcomes beyond an established first-episode service (FES)?\n\nThe primary aim of this study is:\n\nTo determine whether an early detection intervention can reduce DUP in the US, as compared to usual detection. Early detection (ED) will be implemented in one US community (New Haven, CT), and usual detection efforts will continue in another (Boston, MA). DUP will be measured at admission to the corresponding first-episode services (STEP & PREP) in each community, over one year before and throughout ED implementation. The investigators hypothesize that DUP will be reduced significantly in the early detection site compared to the usual detection site;\nA secondary aim is to determine whether DUP reduction can augment the outcomes of established FES on outcomes in the U.S. The investigators will measure symptoms, functioning and engagement with treatment at entry and over 1 year at each site. The investigators hypothesize that shorter DUP at one FES (STEP) will predict reduced distress and illness severity at entry and better early outcomes at STEP compared to PREP.']",['STEP-ED: Reducing Duration of Untreated Psychosis and Its Impact in the U.S.'],[],[],[],[],[],"['OTHER', 'NIH']","['Harvard University', 'National Institute of Mental Health (NIMH)']","['October 29, 2020']",['Anticipated'],"['Psychosis', 'Schizophrenia']",['D000019967']
0,99,['NCT03433131'],[],[],[],[],[],[],"['This EAP will be open to provide access to treatment with pitolisant while a U.S. New Drug Application (NDA) is being prepared and submitted for review for marketing approval. This program will be open to adult patients in the U.S. with Excessive Daytime Sleepiness (EDS) associated with narcolepsy, with or without cataplexy. Pitolisant will be made available through treating physicians participating in the program.']",['Expanded Access Program to Provide Treatment With Pitolisant to Adult Patients in the U.S. With Excessive Daytime Sleepiness Associated With Narcolepsy With or Without Cataplexy'],[],[],[],[],[],[],[],[],[],"['Narcolepsy Without Cataplexy', 'Narcolepsy With Cataplexy']","['D000006970', 'D000020919', 'D000020920', 'D000012893', 'D000009422', 'D000001523']"
0,100,['NCT02746809'],[],"['81.8', '2', '58', '60']",[],[],[],[],['The study objectives are to assess the safety and efficacy of the CoreValve Evolut 34R transcatheter aortic valve replacement (TAVR) system in patients with severe symptomatic aortic stenosis who are considered at high or extreme risk for surgical aortic valve replacement.'],['Medtronic CoreValve Evolut R U.S. Clinical Study (Evolut 34R Addendum)'],[],[],[],[],[],[],[],['November 2021'],['Anticipated'],['Aortic Valve Stenosis'],"['D000006349', 'D000006331', 'D000002318', 'D000014694']"
0,101,['NCT00328380'],[],[],[],[],[],[],"[""The primary objective of this study is to assess the safety and tolerability of rifaximin 600 mg (3 x 200-mg tablets) once daily compared with placebo when taken for 14 days by healthy subjects to prevent travelers' diarrhea (TD) from all causes.""]","[""Prevention of Travelers' Diarrhea in Subjects Traveling Outside the U.S.""]",[],[],[],[],[],[],[],['September 2008'],['Actual'],['Diarrhea'],['D000012817']
0,102,['NCT04552535'],[],[],[],[],[],[],['This study aims to characterize the profile and outcomes for patients with Squamous Cell Carcinoma of the Lung (SqCC) who progress on 1L pembrolizumab in combination with platinum based chemotherapy and receive afatinib as second line (2L) therapy.'],['A Study in the United States Using Electronic Medical Records (EMR) to Assess Effectiveness of Afatinib (Gilotrif) Following Pembrolizumab and Chemotherapy in the Treatment of Metastatic Squamous Cell Carcinoma of the Lung'],[],[],[],[],[],[],[],"['May 18, 2020']",['Actual'],['Squamous Non-small Cell Lung Cancer'],"['D000002277', 'D000009375', 'D000009370', 'D000009369', 'D000012142', 'D000013899', 'D000009371', 'D000008171', 'D000012140', 'D000018307']"
0,103,['NCT03293875'],[],[],[],[],[],[],"[""The proposed project is a research collaboration between the University of Texas at El Paso, The Alliance for Border Collaboratives and Programa Companeros to adapt, implement, and evaluate a multi-level community-based HIV prevention intervention (Project Encuentro). The intervention will target active heroin and crack users and consists of increasing access to HIV testing via a social network HIV testing component and reducing sexual and drug use risk via a peer network brief behavioral Intervention. Encuentro also consists of conducting community awareness meeting to target structural factors affecting HIV risk. The intervention was developed in an area severely affected by violence and stigma towards drug users, El Salvador, which makes it particularly suitable for adaptation to meet the needs of drug users living in the proposed intervention site, the U.S.-Mexico border. The proposed intervention site also has been severely affected by violence which has curtailed any prior attempts to reduce the risk drug users' HIV risk. Violence has worsened structural factors which affect HIV risk such as, increasing police persecution and stigma and reducing access to resources. In our proposed project, we will engage in formative research to understand the context of HIV risk of drug users in the border region post violence and adapt the intervention accordingly. Findings will allow the investigators to tailor intervention components to meet the needs of drug users in the region. Subsequently, the investigators propose to test intervention effectiveness and evaluate implementation barriers and facilitators. To accomplish project aims we will use a mixed qualitative, quantitative approach. The investigators will begin with a formative phase by conducting in-depth interviews with drug users (n = 40) living in the region to understand how the context of drug use risk changed as a result of the violence and will administer a social network survey (n = 200) to characterize the configuration of risk networks. Findings will yield the necessary information to culturally adapt the intervention to meet the needs of drug users in the region and will help the investigators focus recruitment efforts where the riskiest networks are located. After the intervention is adapted with the help of the community advisory boards and the community coalitions, the investigators will implement the intervention and will assess the effectiveness and reach via 6 cross-sectional surveys administered to drug users (n=1,200). The investigators will assess the process of implementation by conducting ethnographic field notes of all intervention activities including community engagement and Community Advisory Board and coalition meetings. The investigators will assess the fidelity and quality of the intervention. Lastly, the investigators will conduct key informant interviews with key stakeholders involved in the project and interviews and observations will be coded to reflect key systems factors related to successful implementation of intervention components in two intervention sites (El Paso, Texas and Ciudad Juarez, Mexico). Findings will be highly significant as the investigators will be conducting parallel research on the effectiveness of interventions shown to be effective in Latino drug users in two very different contexts: El Salvador and the U.S-Mexico border. Findings will elucidate implementation challenges and barriers and such information can then be used to assess the effectiveness of diverse implementation strategies in organizations working to serve the needs of Latino drug users.""]",['Adaptation and Implementation of Project Encuentro in the U.S.-Mexico Border'],"['jul416@lehigh.edu', 'rebeca@utep.edu']","['Julia Lechuga, PhD', 'Rebeca Ramos, MPH']","['6107584328', '9155842875']",[],"['Contact', 'Contact']","['UNKNOWN', 'UNKNOWN']","['Alliance of Border Collaboratives', 'Programa Compañeros']",['April 2021'],['Anticipated'],['Risk Behavior'],[]
0,104,['NCT01235260'],[],[],[],[],[],[],['The purpose of this study is to evaluate risk of cancer incidence and mortality associated with the use of REGRANEX (becaplermin) in patients with diabetes who are members of a U.S. Veterans Health Administration.'],['Becaplermin Use and Cancer Risk in a Patient Population of U.S. Veterans With Diabetes'],[],[],[],[],[],['OTHER'],"['Bedford Research Corporation, Inc.']",['March 2011'],['Actual'],"['Diabetes Mellitus', 'Foot Ulcer', 'Diabetic Foot', 'Diabetic Neuropathies']","['D000044882', 'D000008659', 'D000004700', 'D000003925', 'D000014652', 'D000002318', 'D000007871', 'D000012883', 'D000012871', 'D000048909', 'D000005534', 'D000010523', 'D000009468', 'D000009422']"
0,105,['NCT03390660'],[],[],[],[],[],[],"['This is a secondary data analysis study that uses nationally representative data to examine the trends in breastfeeding disparities between Women, Infants, and Children (WIC) program eligible children vs. non-eligible children and eligible participants vs. eligible non-participants.']",['Trends in Breastfeeding Disparity in U.S. Infants by WIC Eligibility and Participation'],[],[],[],[],[],[],[],"['December 31, 2014']",['Actual'],['Breast Feeding'],[]
0,106,['NCT00837499'],[],[],[],[],"['One-time blood draw (about 3 tablespoons). If blood cannot be drawn or not enough blood can be drawn, a saliva sample will be taken.']",['Samples With DNA'],"['The goal of this epidemiologic research study is to find out if various risk factors and certain markers (substances that help identify the presence of cancer) that help predict increased occurrence and prognosis (outcome of disease) of breast cancer differ among Mexican, Mexican-American, and African-American women.']","['Breast Cancers: Risk Factors Among Mexican Women in Mexico, Mexican-American and African-American Women in the U.S.']",[],[],[],[],[],['NIH'],['National Cancer Institute (NCI)'],"['September 30, 2020']",['Anticipated'],['Breast Cancer'],"['D000009371', 'D000009369', 'D000001941', 'D000012871']"
