,Rank,NCTId,OutcomeMeasurementLowerLimit,OutcomeMeasurementSpread,PrimaryOutcomeTimeFrame,OutcomeMeasurementValue,OverallOfficialAffiliation,OverallOfficialName,OverallOfficialRole,OverallStatus,OversightHasDMC,PatientRegistry,Phase,PointOfContactEMail,PointOfContactOrganization,PointOfContactPhone,PointOfContactPhoneExt,PointOfContactTitle,PrimaryCompletionDate,PrimaryCompletionDateType,PrimaryOutcomeDescription
0,94,['NCT00960479'],[],[],['30 days'],[],['Allied Clinical Research'],"['Piyush Patel, M.D.']",['Principal Investigator'],['Completed'],[],[],['Phase 1'],[],[],[],[],[],['February 2001'],['Actual'],[]
0,95,['NCT03266497'],[],[],['2003-2012'],[],[],[],[],['Completed'],['No'],['No'],[],[],[],[],[],[],['December 2012'],['Actual'],"['Components include: fruit (excluding fruit juice) (s/d); vegetables (excluding white potatoes) (s/d); whole grains (oz-equivalents/d); sugar-sweetened beverages (s/d); nuts, legumes, and vegetable protein (oz-equivalents/d); red/processed meat (s/d); long-chain omega-3 fats (EPA+DHA; mg/d); polyunsaturated fats (PUFA; % kcal/d); sodium (mg/d); and alcohol (drinks/d). Potential range of 0-100 points and higher scores indicative of higher diet quality']"
0,96,['NCT02207569'],"['1.1', '1.7', '62.3', '93.3', '0.0', '0.1', '10.6', '0.4', '4.4', '14.7', '4.8']","['10', '3.1', '3.8', '4.8', '0.2', '0.5', '0.5', '0.5']","['Assessed at 30 days post-implantation', 'Assessed at 30 days post-implantation', 'Assessed at 24 hours to seven days post implantation', 'Assessed at 24 hours to 7 days post implantation']","['2.5', '3.3', '69.2', '96.5', '0.0', '0.4', '14.5', '1.3', '7.1', '19.7', '96.9', '48.2', '7.8', '8.4', '9.0', '7.5', '0.6', '1.9', '1.8', '1.8', '5.7', '5.4', '3.7']",['New York Langone Medical Center'],"['Mathew R Williams, MD']",['Principal Investigator'],"['Active, not recruiting']",['Yes'],[],['Not Applicable'],['sara.m.saul@medtronic.com'],['Medtronic'],['763-526-1965'],[],['Sara Saul'],['August 2015'],['Actual'],"['Percentage of patients that died by any cause at 30 days', 'Stroke Diagnostic Criteria:\n\n>\n\nAcute episode of focal or global neurological deficit with at least 2 of the following:\n\nchange in level of consciousness >\nhemiplegia, hemiparesis\nnumbness or sensory loss affecting 1 side >\ndysphasia or aphasia\nhemianopia\namaurosis fugax >\n\nother neurological signs or symptoms consistent with stroke\n\n2.) No other readily identifiable non-stroke cause or the clinical presentation, to be determined by or in conjunctions with the designated neurologist\n\n3.) Confirmation of the diagnosis by at least 1 of the following:\n\nNeurological specialist >\nNeuroimaging procedure, or on clincial grounds alone > Stroke: durations of neural deficit > 24 h if available neuroimaging documents a new hemofrrhage or infarct; or the neurological deficit results in death\n\nDefined by VARC II:\n\n> An mRS (Modified Rankin Score) of 2 or more at 90 days and an increase in at least 1 mRS category from pre-stroke baseline', 'Percentage of patients with Device Success defined as:\n\nAbsence of procedural mortality, AND\nCorrect positioning of a single Evolut R valve into the proper anatomical location, AND\nAbsence of patient-prosthesis mismatch, and mean gradient , 20 mm Hg (or peak velocity < 3m/sec, AND\nAbsence of moderate or severe prosthetic valve regurgitation', 'Percentage of patience with none, trace or mild total prosthetic regurgitation at early post procedure echo cardiogram (24 hours to 7 days) as evaluated by echo core lab.']"
0,97,['NCT02569632'],[],[],['18 months'],[],"[""Children's Hospital Oakland Research Institute, Center for Immunobiology and Vaccine Development""]","['Dan Granoff, MD']",['Principal Investigator'],['Unknown status'],['No'],[],['Phase 4'],[],[],[],[],[],['May 2017'],['Anticipated'],['Determine the percentage of subjects achieving serum bactericidal titers of 1:4 or greater in serum obtained 1 month after doses 2 and 3 as measured against a panel of 15 genetically diverse meningococcal strains.']
0,98,['NCT02069925'],[],[],"['3 months', '3 years']",[],['Yale University'],"['Vinod Srihari, MD']",['Principal Investigator'],"['Active, not recruiting']",['Yes'],[],['Not Applicable'],[],[],[],[],[],"['February 27, 2020']",['Actual'],"['The primary outcome of interest, proportion of participants at each site with DUP < 3 months, will be calculated for the ""pre period"" (first year of the study, prior to initiation of ED intervention at STEP)']"
0,99,['NCT03433131'],[],[],[],[],['Albert Einstein College of Medicine'],"['Michael Thorpy, MD']",['Principal Investigator'],['No longer available'],[],[],[],[],[],[],[],[],[],[],[]
0,100,['NCT02746809'],"['0.2', '0.0', '65.9', '93.9', '1.6', '0.2', '0.2', '0.0', '0.0', '0.0', '12.1']","['10.3', '3.2', '3.5', '0.2', '0.7', '0.7']","['30 Days', '30 Days', '24 hours to 7 days post implantation', '24 hours to 7 days post implantation']","['1.7', '0.0', '79.2', '100.0', '5.0', '1.7', '1.7', '0.0', '0.0', '0.0', '20.8', '100.0', '41.5', '6.4', '6.7', '0.8', '2.6', '2.3', '60.3', '72.0']",['NYU Langone Medical Center'],"['Mathew R Williams, MD']",['Principal Investigator'],"['Active, not recruiting']",['Yes'],[],['Not Applicable'],['sara.m.saul@medtronic.com'],['Medtronic'],['763-526-1965'],[],['Sara Saul'],['November 2016'],['Actual'],"['Percentage of participants with all-cause mortality at 30 days', 'Percentage of participants with disabling stroke (VARC-II definitions) at 30 days', 'Device Success defined as:\n\nAbsence of procedural mortality, AND\nCorrect positioning of a single prosthetic heart valve into the proper anatomical location, AND\nIntended performance of the prosthetic heart valve, defined as the absence of patient prosthesis-mismatch and mean gradient < 20 mmHg (or peak velocity < 3 m/sec), AND\nAbsence of moderate or severe prosthetic valve regurgitation', 'The percentage of subjects with no more than mild prosthetic regurgitation at early post procedure echocardiogram as assessed by echo core laboratory']"
0,101,['NCT00328380'],[],[],[],[],[],[],[],['Completed'],[],[],['Phase 3'],[],[],[],[],[],['December 2006'],['Actual'],[]
0,102,['NCT04552535'],[],[],['Up to 3 months'],[],[],[],[],['Completed'],[],['No'],[],[],[],[],[],[],"['May 18, 2020']",['Actual'],['Time on treatment with afatinib or chemotherapy during 2L. Time on treatment is defined as the interval from the start of 2L treatment until the end of 2L treatment or death date by any cause.']
0,103,['NCT03293875'],[],[],"['Every 30 days up to 192 weeks', 'six and twelve months after the roll out of the intervention components', 'six and twelve months after the roll-out of the intervention components']",[],"['Lehigh University', '9155842875']","['Julia Lechuga, PhD', 'Rebeca Ramos, MPH']","['Principal Investigator', 'Study Director']",['Recruiting'],['Yes'],[],['Not Applicable'],[],[],[],[],[],['December 2020'],['Anticipated'],"['rates of number of individuals who get tested on a 30- day period for HIV using a coupon', 'number of sexual partners (primary and casual), number of instances of unprotected anal, vaginal, oral sex, engagement in sexual relations while using drugs', 'frequency of injection drug use, frequency of needle sharing']"
0,104,['NCT01235260'],[],[],"['From time of recruitment beginning in October 1, 1999 until the earliest of September 30, 2007, outcome identification, or death.', 'From time of accrual beginning in October 1, 1999 until the earliest of September 30, 2007 or death.']",[],"['Johnson & Johnson Pharmaceutical Research & Development, L.L.C.']","['Johnson & Johnson Pharmaceutical Research & Development, L.L. C. Clinical Trial']",['Study Director'],['Completed'],[],[],[],[],[],[],[],[],['March 2011'],['Actual'],[]
0,105,['NCT03390660'],[],[],"['till age 5', 'till age 6 months']",[],[],[],[],['Completed'],['No'],['No'],[],[],[],[],[],[],"['December 31, 2014']",['Actual'],"['whether the child has ever been breastfed', 'whether the child was breastfed at age 6 months']"
0,106,['NCT00837499'],[],[],['5 years'],[],['M.D. Anderson Cancer Center'],"['Abenaa M. Brewster, MD, MHS, BS']",['Principal Investigator'],"['Active, not recruiting']",['No'],[],[],[],[],[],[],[],"['September 30, 2020']",['Anticipated'],[]
0,107,['NCT01629537'],[],[],['1 week'],[],"['United States Naval Medical Center, San Diego']","['Steven Hanling, MD, CDR']",['Principal Investigator'],['Completed'],['Yes'],[],['Phase 2'],[],[],[],[],[],['April 2016'],['Actual'],"['The CAPS is generally considered the gold standard for PTSD assessment, and will be used to determine severity of PTSD symptoms compared to the 1 week pre baseline measures at enrollment']"
0,108,['NCT00351741'],[],"['9', '9', '11', '10']",['28 days'],"['12', '11', '15', '15', '6', '6', '10', '16', '2', '9', '0', '4', '2', '0']",['United States Army Insitute of Surgical Research'],"['Kevin K Chung, MD']",['Principal Investigator'],['Terminated'],['No'],[],['Not Applicable'],['kevin.chung@us.army.mil'],['USAISR'],['210-916-3054'],[],['Principal Investigator'],['February 2010'],['Actual'],"['The primary end point was ventilator-free days in the first 28 days, defined as the number of days after randomization from day 0 to day 28 alive without ventilator assistance for at least 48 consecutive hrs.']"
0,109,['NCT01965561'],[],"['23', '14', '40', '31']",['1 min'],"['97', '27', '83', '93', '30', '76', '45', '43']",['United States Army Institute of Surgical Research'],"['John F Kragh, MD']",['Principal Investigator'],['Completed'],['No'],[],['Phase 4'],['john.f.kragh.civ@mail.mil'],['USAISR'],['210.539.2210'],[],"['John Kragh, MD']",['December 2013'],['Actual'],['Percentage of participants whose distal pulse ceased within 1 minute of junctional tourniquet application.']
0,110,['NCT01927835'],[],[],"['Measured within the initial 7-day period following each vaccination visit and followed until resolution', ""Measured through participants' last study visit at Month 12"", ""Measured through the end of participants' 3-year follow-up period"", ""Measured through participants' last study visit at Month 12"", 'Measured 2 weeks after the second NYVAC+AIDSVAX B/E boost or final placebo injection', 'Measured 2 weeks after the second NYVAC+AIDSVAX B/E boost or final placebo injection', 'Measured 2 weeks after the second NYVAC+AIDSVAX B/E boost or final placebo injection', ""Measured through participants' last study visit at Month 12"", ""Measured through participants' last study visit at Month 12"", ""Measured through participants' last study visit at Month 12"", ""Measured through participants' last study visit at Month 12""]",[],['Columbia University'],['Magdalena Sobieszczyk'],['Study Chair'],['Withdrawn'],['Yes'],[],['Phase 1'],[],[],[],[],[],['January 2017'],['Anticipated'],"['Including pain, tenderness, maximum severity of pain and/or tenderness, erythema, induration, fever, malaise/fatigue, myalgia, headache, nausea, vomiting, chills, arthralgia, and maximum severity of systemic symptoms', 'Including by treatment arm, by body system, Medical Dictionary for Regulatory Activities (MedDRA) preferred term, severity, and assessed relationship to study products', 'Including boxplots of white blood cells (WBC), neutrophils, lymphocytes, hemoglobin, platelets, alanine aminotransferase (ALT), and creatinine at baseline and following vaccinations, by treatment arm']"
0,111,['NCT01704235'],[],[],['Duration of the study; Up to 1 year'],[],['Oregon Health and Science University'],"['Lillian Nail, PhD']",['Principal Investigator'],['Completed'],['No'],[],[],[],[],[],[],[],"['November 30, 2013']",['Actual'],"[""To understand the extent of symptom perception among Vietnamese American women (foreign and United States-born) and their impact on cervical cancer screening from the perspective and experiences of key informants including primary health care providers. A semi-structured interview guide will be used to assess the extent of preventive care-seeking. The interview guide includes the following topics: thoughts and experiences regarding Vietnamese American women's knowledge and beliefs about how cervical cancer develops, thoughts and experiences regarding Vietnamese American women and use of cancer screening tests such as cervical cancer screening for early detection/preventive health care, thoughts and experiences about Vietnamese American women's lack of familiarity with the term Pap smear or a Pap test, and thoughts and experiences regarding Vietnamese American women's decision and timing to seek medical care and preventive health care.""]"
0,112,['NCT01306266'],[],[],['2 hours'],[],['U.S. Army Medical Corp. Madigan Army Medical Center'],"['Jay C Erickson, MD']",['Principal Investigator'],['Withdrawn'],['No'],[],['Not Applicable'],[],[],[],[],[],['August 2011'],['Actual'],['proportion of subjects who obtain headache relief defined as no pain or mild pain two hours after dosing']
0,113,['NCT00796315'],[],"['51.2', '27.9', '45.4', '22.5', '19.9', '42.9']","['72 Hours', '72 Hours']","['461.9', '810.1', '827.0', '50.1', '65.8', '63.2']",['Procter and Gamble'],"['Molly Seeck, BS, JD']",['Study Director'],['Completed'],['No'],[],['Phase 1'],['balan.g@pg.com'],['Procter & Gamble'],['513.622.2657'],[],['Guhan Balan'],['June 2009'],['Actual'],"['Area under the time-concentration curve for Doxylamine from 0 to 72 hours post-dose plus an extrapolated area from 72 hours to infinity.', 'Maximum concentration of Doxylamine from 0 to 72 hours post-dose']"
0,114,['NCT00005463'],[],[],[],[],[],[],[],['Completed'],[],[],[],[],[],[],[],[],[],[],[]
0,115,['NCT03382418'],[],[],"['Measured through Week 2', 'Measured through Week 2', 'Measured through Week 2', 'Measured through Week 2']",[],"['University of Pennsylvania', 'New York Blood Center']","['Katharine Bar', 'Hong Van Tieu']","['Study Chair', 'Study Chair']",['Completed'],['Yes'],[],['Phase 1'],[],[],[],[],[],"['September 25, 2019']",['Actual'],"['Signs/symptoms may include pain, tenderness, maximum severity of pain and/or tenderness, erythema, induration, fever, malaise/fatigue, myalgia, headache, nausea, vomiting, chills, arthralgia, maximum severity of systemic symptoms (graded using the Division of AIDS Table for Grading the Severity of Adult and Pediatric Adverse Events. Corrected Version 2.1, dated July 2017)', 'Signs/symptoms may include pain, tenderness, maximum severity of pain and/or tenderness, erythema, induration, fever, malaise/fatigue, myalgia, headache, nausea, vomiting, chills, arthralgia, maximum severity of systemic symptoms (graded using the Division of AIDS Table for Grading the Severity of Adult and Pediatric Adverse Events. Corrected Version 2.1, dated July 2017)', 'Categorized by Medical Dictionary for Regulatory Activities (MedDRA) preferred term, severity, and assessed relationship to study products (graded using the Division of AIDS Table for Grading the Severity of Adult and Pediatric Adverse Events. Corrected Version 2.1, dated July 2017)', 'Categorized by MedDRA preferred term, severity, and assessed relationship to study products (graded using the Division of AIDS Table for Grading the Severity of Adult and Pediatric Adverse Events. Corrected Version 2.1, dated July 2017)']"
0,116,['NCT00054743'],[],[],[],[],[],[],[],['Completed'],[],[],['Phase 4'],[],[],[],[],[],[],[],[]
0,117,['NCT00730964'],[],[],['Within 24 hours post contrast administration'],"['0', '6']",['GE Healthcare'],"['Rubin Sheng, MD']",['Study Director'],['Completed'],['Yes'],[],['Phase 4'],['Rubin.Sheng@ge.com'],['GE Healthcare'],['1-609-514-6899'],[],"['Rubin Sheng, MD']",['October 2009'],['Actual'],"['A Serious Adverse Reaction or (SAR) is considered causally related to the Optison product administered by the investigator. This reaction, should it occur, will be counted as a serious adverse reaction.']"
0,118,['NCT02886689'],[],[],['first year'],[],"['Central Hospital, Nancy, France', 'CHU, Rouen, France', 'CHU de la Cavale Blanche, Brest, France', 'Hopital Cochin, Paris, France', 'CHU Hautepierre, Strasbourg, France', 'Hopital Necker, Paris , France', 'CHU Minioz, Besançon, France']","['Francis Guillemin, MD, PhD', 'Jacques Benichou, MD, PhD', 'Alain Sasraux, MD, PhD', 'Loic Guillevin, MD, PhD', 'Jean Sibilia, MD, PhD', 'Anne Marie Prieur, MD, PhD', 'Daniel Wendling, MD, PhD']","['Study Chair', 'Principal Investigator', 'Principal Investigator', 'Principal Investigator', 'Principal Investigator', 'Principal Investigator', 'Principal Investigator']",['Completed'],['Yes'],[],[],[],[],[],[],[],['December 2010'],['Actual'],[]
0,119,['NCT00005455'],[],[],[],[],[],[],[],['Completed'],[],[],[],[],[],[],[],[],[],[],[]
0,120,['NCT01150695'],[],[],"['Throughout the course of the study.', 'Visits 7 or 8 post vaccination (Day 28 or Day 56).', 'Through Day 28 of the study.', 'By study Visit 5 (7-9 days post vaccination).']",[],[],[],[],['Completed'],[],[],['Phase 2'],[],[],[],[],[],['January 2012'],['Actual'],[]
0,121,['NCT00245076'],[],[],[],[],['National Cancer Institute (NCI)'],"['Jacqueline Stoddard, PhD, MA']",['Principal Investigator'],['Completed'],[],[],['Not Applicable'],[],[],[],[],[],[],[],[]
0,122,['NCT00935623'],[],[],['28 days post challenge'],[],"['US Military Malaria Vaccine Program, Naval Medical Research Center']","['Ilin Chuang, MD, MPH']",['Principal Investigator'],['Completed'],['No'],[],['Phase 1'],[],[],[],[],[],['June 2011'],['Actual'],[]
0,123,['NCT03688126'],[],[],['up to 2 years'],[],"['Wake Forest University Health Sciences', 'Wake Forest University Health Sciences', 'University of California, Davis', 'Karolinska Institutet']","['Laura D Baker, PhD', 'Mark A Espeland, PhD', 'Rachel A Whitmer, PhD', 'Miia Kivipelto, MD, PhD']","['Principal Investigator', 'Principal Investigator', 'Principal Investigator', 'Principal Investigator']",['Recruiting'],['No'],[],['Not Applicable'],[],[],[],[],[],['November 2023'],['Anticipated'],"['Global cognitive function will be obtained from a composite score derived from subtest scores on the POINTER modified Neuropsychological Test Battery (PmNTB) that includes: Free and Cued Selective Reminding Test, Story Recall, Visual Paired Associates, Number Span, Word Fluency, Trail-Making Test, and Digit Symbol Substitution Test. Scores from each individual test will be converted to z-scores that typically range from -3 to 3, with higher scores reflecting better performance, and averaged to form a composite. The primary outcome is the slope of these composite scores over repeated assessments (standard deviation units per year), with less negative (or positive) slopes reflecting better performance.']"
0,124,['NCT02053506'],[],[],['daily until skin barrier restored (~5-10 days)'],[],['United States Army Research Institute of Environmental Medicine'],"['Tracey J Smith, PhD']",['Principal Investigator'],['Completed'],['No'],[],['Not Applicable'],[],[],[],[],[],['May 2016'],['Actual'],"['Skin barrier restoration is assessed via transepidermal water loss (TEWL). Skin barrier is considered ""restored"" when TEWL returns to within 90% of baseline levels.']"
0,125,['NCT03933215'],[],[],['Baseline (Month 0) up to 24 Months'],[],"['EMD Serono Inc., the biopharmaceutical division of Merck KGaA, Darmstadt, Germany']",['Medical Responsible'],['Study Director'],['Recruiting'],['No'],['No'],[],[],[],[],[],[],"['November 29, 2023']",['Anticipated'],"['For this study, a relapse will be defined as per routine clinical practice as determined by the investigator. As a guide, relapse may be defined as exacerbation of symptoms that occur over a minimum of 24 hours and separated from a previous attack by at least 30 days, in the absence of fever or infection. ARR up to 24 months of treatment with cladribine tablets, after baseline (prospectively collected data) will be reported.']"
0,126,['NCT03933202'],[],[],['Baseline (Month 0) up to 24 Months'],[],"['EMD Serono Inc., the biopharmaceutical division of Merck KGaA, Darmstadt, Germany']",['Medical Responsible'],['Study Director'],['Recruiting'],['No'],['No'],[],[],[],[],[],[],"['May 3, 2023']",['Anticipated'],"['A relapse will be defined as per routine clinical practice as determined by the investigator. As a guide, relapse may be defined as exacerbation of symptoms that occur over a minimum of 24 hours and separated from a previous attack by at least 30 days, in the absence of fever or infection. ARR up to 24 months of treatment with cladribine tablets, after baseline (prospectively collected data) will be reported.']"
0,127,['NCT00005171'],[],[],[],[],[],[],[],['Completed'],[],[],[],[],[],[],[],[],[],[],[]
0,128,['NCT01256164'],[],"['1.3', '3.1']",['0-10 minutes'],"['1.9', '4.8', '47', '23', '39', '8', '44', '14', '47', '18']",['Mallinckrodt'],"['Paul Frohna, MD, PhD']",['Study Director'],['Completed'],['No'],[],['Not Applicable'],['lawrence.hill@mallinckrodt.com'],['Mallinckrodt'],['908-238-6370'],[],['Lawrence Hill'],['September 2011'],['Actual'],['Time to hemostasis recorded from the first application of study treatment until cessation of bleeding']
0,129,['NCT03631472'],[],[],['12 months'],[],[],[],[],"['Active, not recruiting']",['No'],[],['Not Applicable'],[],[],[],[],[],"['August 30, 2020']",['Anticipated'],['Incidence of serious adverse events associated with RheOX through 6 months.']
0,130,['NCT03699709'],[],[],"['measured at baseline, and months 6 and 12', 'measured at baseline, and months 6 and 12']",[],['University of Washington'],"['Amanda M Fretts, PhD']",['Principal Investigator'],"['Active, not recruiting']",['No'],[],['Not Applicable'],[],[],[],[],[],"['November 30, 2021']",['Anticipated'],"['Sugar-sweetened beverages include self-reported intake of fruit drinks, sugar-based energy drinks, and soda. Intake of sugar-sweetened beverages will be estimated using measures of consumption frequency and portion size. Average intakes will be calculated for each study participant using the University of Minnesota Nutrition Data Systems for Research Software by multiplying the frequency response for each beverage on the food frequency questionnaire by the recalled portion size, and then summing for all relevant beverages. Change from baseline with be assessed at 6 months and 12 months (12 months - baseline; 6 months - baseline). As the intervention hopes to decrease intake of sugar-sweetened beverages, lower (i.e., more negative) after - before differences represent a better outcome.', 'Change in healthy and unhealthy food purchases will be estimated using the Healthy/Unhealthy Food Acquisition Survey. The survey includes a list of 47 healthy and unhealthy foods commonly consumed in the community. At each exam (baseline, month 6, month 12), participants will report the number of times he/she acquired each of the 47 foods in the past 30 days. Change from baseline with be assessed at 6 months and 12 months (12 months - baseline; 6 months - baseline). As the intervention hopes to increase the number of healthy food purchases and decrease the number of unhealthy food purchases, higher after - before differences represent a better outcome for healthy foods and lower after - before differences represent a better outcome for unhealthy foods.']"
0,131,['NCT00237263'],[],[],[],[],['Novartis Pharmaceuticals'],['Novartis Pharmaceuticals'],['Study Chair'],['Completed'],[],[],['Phase 2'],[],[],[],[],[],['July 2007'],['Actual'],[]
0,132,['NCT02939131'],"['3.7', '8.8', '39', '7.0', '22.7', '7.2', '466', '524', '1.48', '1.47', '2.40', '0.0', '1.56', '0.05', '0.0', '0.0']",[],"['Week 24', 'Week 0 and Week 24', 'Week 24', 'Week 24', 'Week 24']","['6.7', '10.6', '62.3', '17.9', '47.9', '17.0', '703', '683', '2.23', '2.06', '9.27', '9.11', '10.48', '7.92', '5.59', '1.19']",['Rhode Island Hospital; Brown University'],"['Larry Brown, MD']",['Study Chair'],['Completed'],['Yes'],[],['Not Applicable'],['mallen@fhi360.org'],['Family Health International (FHI 360)'],['(919) 405-1429'],[],"['Melissa Allen, Director, IMPAACT Operations Center']","['September 12, 2019']",['Actual'],"['The QIDS-SR ranges from 0-27 and assesses the severity and number of depression symptoms. Data completed through the Audio Computer Assisted Interview (ACASI) system are used for this outcome. A lower score indicates fewer depression symptom severity. Scores for all participants at a site were averaged. The site-specific averages were then analyzed.', 'We are assessing the percentage of participants with a response to treatment.The percentage of participants at each site with a response was calculated. These percentages were averaged for each treatment and the treatment averages were compared. A response to treatment is considered a decrease in Quick Inventory of Depression Symptomatology, Self Report (QIDS-SR) from Study entry to Week 24 by more than 50%. The week 0 value is generally considered the entry value. Priority is given to the ACASI score at week 0. In certain cases, the week 1 ACASI value is used if there is no ACASI score at week 0, but there is one at week 1. Paper form scores are used for ""study entry"" if there is no ACASI record, with the value at week 0 prioritized over the value at week 1. Otherwise, ACASI data are used for this outcome. The QIDS-SR is scored from 0 to 27 with a lower score indicating less symptomatology.', 'We computed the percentage of participants at each site with remission and then compared the percentages. Remission is defined as a Quick Inventory of Depression Symptomatology, self-report (QIDS-SR) score <= 5. ACASI data are used for this outcome. The QIDS-SR scale is from 0-27 with a lower score indicating tess symptomatology.', 'CD4 cell counts are cells/microL (uL). CD4 cell counts of all participants at a site were averaged. The averages were then analyzed.', 'Plasma HIV RNA data are calculated on the log10 scale as log10(week X RNA copies/mL)\n\nFor this analysis, HIV-1 RNA values (copies per mL) that were censored below the lower limit of quantification (LLQ) were imputed to be equal to the LLQ - 1. The LLQ was considered to be 40 copies/mL. Viral load was calculated on the log10 scale as log10(week X RNA). Viral load suppression was also measured as copies < 40.\n\nThe log10 (week X RNA) values were averaged by site and those averages were analyzed.']"
0,133,['NCT03488264'],[],[],"['10 minutes', '5 minutes']",[],['Duke University'],"['Paula Tanabe, PhD']",['Principal Investigator'],['Completed'],['No'],['No'],[],[],[],[],[],[],"['October 27, 2018']",['Actual'],"['The Sickle Cell Disease Health-Related Stigma Scale (SCD-HRSS) will assess stigma. SCD-HRSS has 4 subscales that measure stigma from the public, doctors, nurses, and family; and consists of 40 items on a 6 point Likert scale. It is scored by obtaining the sum of the mean score of the four subscales (subscales: 10-60; total scale: 40-240). Higher scores indicate higher perceived stigma.', 'The Measure of Sickle Cell Stigma (MoSCS) will assess stigma. MoSCS consists of 11-items with 4 subscales assessing social exclusion, internalized stigma, disclosure concerns, and expected discrimination. It is measured on a 6 point Likert scale; scores range from 6-36 and are obtained by summing and averaging the total scale. Higher scores indicate higher perceived stigma.']"
0,134,['NCT01873482'],[],[],['During the first hour after the intervention'],[],['Duke University'],"['Kenneth Wilson, MD']",['Principal Investigator'],['Completed'],[],[],['Not Applicable'],[],[],[],[],[],['May 2014'],['Actual'],[]
0,135,['NCT02829073'],[],[],"['Baseline and two, four, and six months after enrollment']",[],['U.S. Army Aeromedical Research Laboratory'],"['William A Ahroon, Ph.D.']",['Principal Investigator'],['Unknown status'],['No'],[],['Not Applicable'],[],[],[],[],[],['December 2017'],['Anticipated'],['Change in TRQ score at 6 months compared to baseline']
0,136,['NCT01369030'],['1'],"['5.8', '5.0', '6.3']",['Baseline to Endpoint (90 days)'],"['14.6', '6.1', '8.5', '37.5', '7.0']","['Vanderbilt University School of Medicine', 'Mood Disorders Clinic at Moses Cone Family Practice Center']","['Richard C Shelton, M.D.', 'Sloan Manning, M.D.']","['Principal Investigator', 'Principal Investigator']",['Completed'],['No'],[],[],['lbarrentine@pamlab.com'],"['Pamlab, Inc.']",['985-867-5788'],[],"['Lori W Barrentine, MS, PA-C, Director of Clinical Affairs']",['April 2012'],['Actual'],"['The PHQ-9 is a depression scale used to assess brief depression severity by rating symptoms and functional impairment experienced in the last two weeks. The questionnaire contains a total of 9 questions, and each question is scored on a range from 0-3. The minimum value ""0"" represents not at all, ""1"" several days, ""2"" indicates more than half the days, and the maximum value ""3"" stands for nearly every day. The total possible range is 0-27. The total number of each 0, 1, 2, 3 is added and multiplied by its value (0=0, 1=1, etc.) to produce a total score generated from the subtotal sum. The PHQ-9 total score is interpreted as follows: 0-4 represents minimal depression, 5-9 as mild depression, 10-14 as moderate depression, 15-19 moderately severe depression, and 20-27 severe depression.']"
0,137,['NCT01568424'],"['4', '2', '6', '0', '0', '5', '6', '6', '59', '62', '55', '62', '54', '62', '60', '62', '1.6', '1.7', '1.6', '1.8', '7.7', '1.8', '1.8', '1.9', '7', '9', '9', '8', '9', '10', '12', '14', '7', '0.5', '0.6', '0.6', '0.5', '0.6', '0.6', '0.6', '0.4', '0.6', '0.5', '0.6', '0.3', '0.9', '0.7', '0.2', '0.7', '0.4', '0.2']",[],['30 days post device removal'],"['80', '11', '11', '10', '12', '11', '10', '12', '11', '72', '74', '74', '75', '79', '77', '73', '72', '2.4', '2.2', '2.9', '3.0', '7.7', '2.7', '2.2', '2.3', '27', '27', '26', '33', '28', '22', '28', '31', '24', '1.4', '1.3', '1.1', '1.2', '1.0', '1.0', '1.2', '1.3', '1.3', '1.1', '3.0', '3.0', '2.8', '1.8', '1.3', '2.0', '1.3', '0.8']",['Abbott Medical Devices'],"['Mark Macedo, BSN']",['Study Director'],['Completed'],['No'],[],['Not Applicable'],['psood@sjm.com'],['St. Jude Medical'],['+1.781.852.8334'],[],['Poornima Sood'],['February 2014'],['Actual'],['In patients who recover and do not go on to transplantation or a long-term device: Survival to 30 days post-support or to hospital discharge (whichever is longer).\n\nIn patients who do not recover and are bridged to transplant or a long-term system: Survival to induction of anesthesia for implantation of a long-term device or heart transplant.']
0,138,['NCT02406599'],[],[],"['Participants will be followed only for the initial lumpectomy duration. information will be available 2-3 weeks (avarage) from initial lumpectomy date', 'Participants will be followed only for the initial lumpectomy duration. information will be available 2-3 weeks (avarage) from initial lumpectomy date']",[],[],[],[],['Recruiting'],['No'],[],['Not Applicable'],[],[],[],[],[],"['March 31, 2020']",['Anticipated'],"['Sensitivity and Specificity at the margin level;', 'ISR - Positive Margin on the Main ex-vivo lumpectomy specimen after the initial lumpectomy surgery, that was not addressed by taking a shaving(s) corresponding to the positive margin(s).']"
0,139,['NCT03965195'],[],[],['Up to 8 months each influenza season'],[],"['Insight Therapeutics, LLC', 'Insight Therapeutics, LLC']","['H. Edward Davidson, PharmD, MPH', 'Stefan Gravenstein, MD, MPH']","['Principal Investigator', 'Principal Investigator']","['Active, not recruiting']",['No'],[],['Phase 4'],[],[],[],[],[],['August 2021'],['Anticipated'],['To determine the differences in all-cause hospitalization rates during the 2019-20 and 2020-21 influenza seasons experienced by all long-stay nursing home residents 18 years of age and older in facilities randomized to offer either quadrivalent recombinant influenza vaccine (RIV4) or standard dose quadrivalent influenza vaccine (IV4).']
0,140,['NCT01368549'],[],[],"['Baseline, Week 6 and Week 12']",[],['Endocrinology Associates'],"['Bruce Trippe, M.D.']",['Principal Investigator'],['Unknown status'],['No'],[],[],[],[],[],[],[],['January 2012'],['Anticipated'],[]
