,Rank,NCTId,StartDateType,StatusVerifiedDate,StudyFirstPostDate,StudyFirstPostDateType,StudyFirstSubmitDate,StudyFirstSubmitQCDate,StudyPopulation,StudyType,TargetDuration,UnpostedEventDate,UnpostedEventType,UnpostedResponsibleParty,VersionHolder,WhyStopped
0,106,['NCT00837499'],['Actual'],['January 2020'],"['February 5, 2009']",['Estimate'],"['February 4, 2009']","['February 4, 2009']","['Woman, 18 years or older, of Mexican descent (Mexican or Mexican-American) or an African-American woman, and have invasive breast cancer during past 12 months.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,107,['NCT01629537'],[],['March 2017'],"['June 27, 2012']",['Estimate'],"['June 22, 2012']","['June 25, 2012']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,108,['NCT00351741'],[],['September 2015'],"['July 13, 2006']",['Estimate'],"['July 11, 2006']","['July 11, 2006']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,109,['NCT01965561'],[],['November 2017'],"['October 18, 2013']",['Estimate'],"['October 15, 2013']","['October 15, 2013']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,110,['NCT01927835'],[],['September 2016'],"['August 23, 2013']",['Estimate'],"['August 20, 2013']","['August 20, 2013']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,111,['NCT01704235'],['Actual'],['September 2020'],"['October 11, 2012']",['Estimate'],"['October 4, 2012']","['October 9, 2012']","['Potential participants will be recruited from the Portland, Oregon Metropolitan area through referrals and snowball method. Primary health care providers are eligible to participate in the study if they meet the following criteria: self-identify as currently practicing as a primary licensed independent practitioner including as a medical physician or nurse practitioner, whose service populations include Vietnamese American women, and are able to understand and speak English or Vietnamese. Vietnamese American women are eligible to participate in the study if they meet the following criteria: self-identify as a Vietnamese American woman, between ages 21 to 65 years old, have not had a hysterectomy, and are able to understand and speak English or Vietnamese.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,112,['NCT01306266'],[],['August 2015'],"['March 1, 2011']",['Estimate'],"['February 25, 2011']","['February 28, 2011']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,113,['NCT00796315'],[],['January 2013'],"['November 24, 2008']",['Estimate'],"['November 18, 2008']","['November 21, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,114,['NCT00005463'],[],['September 2002'],"['May 26, 2000']",['Estimate'],"['May 25, 2000']","['May 25, 2000']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,115,['NCT03382418'],['Actual'],['October 2019'],"['December 22, 2017']",['Actual'],"['December 11, 2017']","['December 18, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,116,['NCT00054743'],[],"['April 28, 2011']","['February 10, 2003']",['Estimate'],"['February 7, 2003']","['February 7, 2003']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,117,['NCT00730964'],[],['May 2012'],"['August 8, 2008']",['Estimate'],"['August 5, 2008']","['August 7, 2008']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,118,['NCT02886689'],[],['August 2016'],"['September 1, 2016']",['Estimate'],"['August 29, 2016']","['August 29, 2016']","['Patients suffering rheumatoid arthritis, spondyloarthropathy or idiopathic juvenile arthritis, recruited with rheumatologist in public and private practice']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,119,['NCT00005455'],[],['November 2001'],"['May 26, 2000']",['Estimate'],"['May 25, 2000']","['May 25, 2000']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,120,['NCT01150695'],[],['March 2013'],"['June 25, 2010']",['Estimate'],"['June 24, 2010']","['June 24, 2010']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,121,['NCT00245076'],[],['April 2006'],"['October 27, 2005']",['Estimate'],"['October 25, 2005']","['October 25, 2005']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,122,['NCT00935623'],['Actual'],['August 2018'],"['July 9, 2009']",['Estimate'],"['July 7, 2009']","['July 8, 2009']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,123,['NCT03688126'],['Actual'],['September 2020'],"['September 28, 2018']",['Actual'],"['September 26, 2018']","['September 26, 2018']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,124,['NCT02053506'],[],['May 2017'],"['February 3, 2014']",['Estimate'],"['January 28, 2014']","['January 31, 2014']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,125,['NCT03933215'],['Actual'],['September 2020'],"['May 1, 2019']",['Actual'],"['April 29, 2019']","['April 29, 2019']","['Participants with Multiple Sclerosis and experienced suboptimal response (lack of effectiveness, intolerability, poor adherence) to prior treatment with an injectable DMD.']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,126,['NCT03933202'],['Actual'],['September 2020'],"['May 1, 2019']",['Actual'],"['April 29, 2019']","['April 29, 2019']",['Participants with relapsing form of Multiple Sclerosis (RMS) including active secondary progressive multiple sclerosis (aSPMS).'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,127,['NCT00005171'],[],['June 2000'],"['May 26, 2000']",['Estimate'],"['May 25, 2000']","['May 25, 2000']",[],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,128,['NCT01256164'],[],['August 2017'],"['December 8, 2010']",['Estimate'],"['December 6, 2010']","['December 7, 2010']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,129,['NCT03631472'],['Actual'],['November 2019'],"['August 15, 2018']",['Actual'],"['August 13, 2018']","['August 14, 2018']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,130,['NCT03699709'],['Actual'],['October 2020'],"['October 9, 2018']",['Actual'],"['October 2, 2018']","['October 5, 2018']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,131,['NCT00237263'],[],['February 2017'],"['October 12, 2005']",['Estimate'],"['October 7, 2005']","['October 11, 2005']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,132,['NCT02939131'],['Actual'],['September 2020'],"['October 19, 2016']",['Estimate'],"['October 7, 2016']","['October 17, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,133,['NCT03488264'],['Actual'],['March 2019'],"['April 4, 2018']",['Actual'],"['March 29, 2018']","['March 29, 2018']",['Adults with sickle cell disease in the United States and Jamaica'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,134,['NCT01873482'],[],['October 2014'],"['June 10, 2013']",['Estimate'],"['June 5, 2013']","['June 6, 2013']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,135,['NCT02829073'],[],['May 2017'],"['July 12, 2016']",['Estimate'],"['July 6, 2016']","['July 7, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,136,['NCT01369030'],[],['May 2014'],"['June 8, 2011']",['Estimate'],"['May 17, 2011']","['June 7, 2011']",['Patients with Depression Who Have Been Prescribed Deplin®'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,137,['NCT01568424'],[],['January 2019'],"['April 2, 2012']",['Estimate'],"['March 28, 2012']","['March 30, 2012']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,138,['NCT02406599'],[],['January 2020'],"['April 2, 2015']",['Estimate'],"['March 24, 2015']","['April 1, 2015']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,139,['NCT03965195'],['Actual'],['September 2020'],"['May 28, 2019']",['Actual'],"['May 20, 2019']","['May 24, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,140,['NCT01368549'],[],['January 2012'],"['June 8, 2011']",['Estimate'],"['May 17, 2011']","['June 7, 2011']",['Patients with Diabetic Peripheral Neuropathy Who Have Been Prescribed Metanx®'],['Observational'],[],"['April 19, 2013', 'July 3, 2013', 'August 1, 2013', 'October 9, 2013', 'December 20, 2013', 'February 10, 2014']","['Release', 'Reset', 'Release', 'Reset', 'Release', 'Reset']","['Pamlab, Inc.']","['October 30, 2020']",[]
0,141,['NCT01370954'],[],['May 2013'],"['June 10, 2011']",['Estimate'],"['May 20, 2011']","['June 8, 2011']",['Patients with Early Memory Loss Who Have Been Prescribed CerefolinNAC®'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,142,['NCT01339546'],['Actual'],['November 2017'],"['April 20, 2011']",['Estimate'],"['December 22, 2010']","['April 19, 2011']","['National Ambulalatory Medical Care Survey (NAMCS)-national sample of visits to non federally employed office based physicians who are primarily engaged in direct patient care, and National Hospital Ambulatory Medical Care Survey (NHAMCS)- national sample of visits to emergency and outpatient departments and to ambulatory surgery facilities in noninstitutional general and short stay hospitals, exclusive of Federal, military, and Veterans Administration hospitals, located in the 50 States and the District of Columbia']",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,143,['NCT02252159'],['Actual'],['May 2019'],"['September 30, 2014']",['Estimate'],"['September 23, 2014']","['September 25, 2014']",['An adult population (patients >18 years old) of men and women who have been diagnosed with clinically overt PV will be enrolled. Sites will include both community and academic centers across the United States that are representative of where patients with PV are diagnosed and treated.'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,144,['NCT04072289'],['Actual'],['September 2020'],"['August 28, 2019']",['Actual'],"['March 11, 2019']","['August 26, 2019']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,145,['NCT04423770'],['Actual'],['August 2020'],"['June 9, 2020']",['Actual'],"['June 8, 2020']","['June 8, 2020']",['Dentists in the United States'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,146,['NCT01358552'],[],['April 2013'],"['May 23, 2011']",['Estimate'],"['May 18, 2011']","['May 20, 2011']",['Pregnant women who have been prescribed Néevo®/ NéevoDHA®'],['Observational'],[],[],[],[],"['October 30, 2020']",['Insufficient number of participants']
0,147,['NCT02856646'],['Actual'],['April 2019'],"['August 5, 2016']",['Estimate'],"['July 29, 2016']","['August 2, 2016']",['Community Sample'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,148,['NCT01940679'],[],['March 2014'],"['September 12, 2013']",['Estimate'],"['September 9, 2013']","['September 9, 2013']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,149,['NCT02951598'],['Actual'],"['January 15, 2020']","['November 1, 2016']",['Estimate'],"['October 28, 2016']","['October 28, 2016']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,150,['NCT02988934'],[],['July 2020'],"['December 12, 2016']",['Estimate'],"['November 29, 2016']","['December 7, 2016']",['males and females'],['Observational'],['10 Years'],[],[],[],"['October 30, 2020']",[]
0,151,['NCT01028300'],[],['February 2016'],"['December 9, 2009']",['Estimate'],"['December 8, 2009']","['December 8, 2009']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",['Terminated due to enrollment failure']
0,152,['NCT01034865'],[],['April 2017'],"['December 18, 2009']",['Estimate'],"['December 16, 2009']","['December 16, 2009']",['For Experimental Subjects Only:\n\nPatients with HCC\n\nFor Controls Only:\n\nPatients with chronic liver disease without evidence of HCC'],['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,153,['NCT02352532'],[],['July 2017'],"['February 2, 2015']",['Estimate'],"['January 26, 2015']","['January 28, 2015']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,154,['NCT03198793'],['Actual'],['December 2018'],"['June 26, 2017']",['Actual'],"['June 16, 2017']","['June 22, 2017']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,155,['NCT01112917'],[],['June 2016'],"['April 29, 2010']",['Estimate'],"['April 8, 2010']","['April 27, 2010']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,156,['NCT01764269'],[],['June 2014'],"['January 9, 2013']",['Estimate'],"['January 7, 2013']","['January 7, 2013']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,157,['NCT03346603'],['Actual'],['April 2020'],"['November 17, 2017']",['Actual'],"['November 15, 2017']","['November 15, 2017']","[""Patients presenting to the 11 U.S. emergency departments involved in the EMERGEncy ID NET study with a urinary tract infection requiring hospital admission.\n\nThe sites are:\n\nBellevue Hospital Center, New York; Brigham and Women's Hospital, Boston, MA; Hennepin County Medical Center, Minneapolis; Johns Hopkins Medical Center, Baltimore; Lewis Katz School of Medicine at Temple University, Philadelphia; Maricopa Medical Center, Phoenix; Oregon Health Sciences University, Portland; Olive View-University of California at Los Angeles Medical Center, Los Angeles; University of New Mexico Health Sciences Center, Albuquerque; University of Mississippi Medical Center, Jackson; University of Missouri-Kansas City, Kansas City.""]",['Observational'],[],[],[],[],"['October 30, 2020']",[]
0,158,['NCT04281290'],['Anticipated'],['February 2020'],"['February 24, 2020']",['Actual'],"['January 14, 2020']","['February 19, 2020']",[],['Interventional'],[],[],[],[],"['October 30, 2020']",[]
0,159,['NCT04601103'],[],[],"['October 23, 2020']",['Actual'],"['October 13, 2020']","['October 22, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,160,['NCT04600856'],[],[],"['October 23, 2020']",['Actual'],"['October 19, 2020']","['October 19, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,161,['NCT04599907'],[],[],"['October 23, 2020']",['Actual'],"['October 6, 2020']","['October 18, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,162,['NCT04593875'],[],[],"['October 20, 2020']",['Actual'],"['October 3, 2020']","['October 13, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,163,['NCT04589507'],[],[],"['October 19, 2020']",['Actual'],"['September 28, 2020']","['October 9, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,164,['NCT04586205'],[],[],"['October 14, 2020']",['Actual'],"['October 5, 2020']","['October 12, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,165,['NCT04585646'],[],[],"['October 14, 2020']",['Actual'],"['October 5, 2020']","['October 12, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,166,['NCT04584788'],[],[],"['October 14, 2020']",['Actual'],"['October 6, 2020']","['October 6, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,167,['NCT04584099'],[],[],"['October 12, 2020']",['Actual'],"['September 24, 2020']","['October 9, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,168,['NCT04577898'],[],[],"['October 8, 2020']",['Actual'],"['September 28, 2020']","['October 5, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,169,['NCT04577456'],[],[],"['October 8, 2020']",['Actual'],"['September 16, 2020']","['September 30, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,170,['NCT04569253'],[],[],"['September 29, 2020']",['Actual'],"['August 27, 2020']","['September 24, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,171,['NCT04567186'],[],[],"['September 28, 2020']",['Actual'],"['September 23, 2020']","['September 23, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,172,['NCT04562532'],[],[],"['September 24, 2020']",['Actual'],"['September 18, 2020']","['September 18, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,173,['NCT04558970'],[],[],"['September 22, 2020']",['Actual'],"['September 16, 2020']","['September 16, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,174,['NCT04558632'],[],[],"['September 22, 2020']",['Actual'],"['September 18, 2020']","['September 18, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,175,['NCT04558047'],[],[],"['September 22, 2020']",['Actual'],"['September 18, 2020']","['September 18, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,176,['NCT04557917'],[],[],"['September 22, 2020']",['Actual'],"['September 15, 2020']","['September 15, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,177,['NCT04557891'],[],[],"['September 22, 2020']",['Actual'],"['September 15, 2020']","['September 15, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,178,['NCT04556968'],[],[],"['September 21, 2020']",['Actual'],"['September 17, 2020']","['September 18, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,179,['NCT04556474'],[],[],"['September 21, 2020']",['Actual'],"['September 14, 2020']","['September 14, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,180,['NCT04547920'],[],[],"['September 14, 2020']",['Actual'],"['September 8, 2020']","['September 8, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,181,['NCT04547712'],[],[],"['September 14, 2020']",['Actual'],"['August 20, 2020']","['September 10, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,182,['NCT04544670'],[],[],"['September 10, 2020']",['Actual'],"['August 26, 2020']","['September 6, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,183,['NCT04542525'],[],[],"['September 9, 2020']",['Actual'],"['September 3, 2020']","['September 3, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,184,['NCT04540913'],[],[],"['September 7, 2020']",['Actual'],"['August 28, 2020']","['September 3, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,185,['NCT04537013'],[],[],"['September 3, 2020']",['Actual'],"['August 18, 2020']","['August 28, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,186,['NCT04536168'],[],[],"['September 2, 2020']",['Actual'],"['August 25, 2020']","['September 1, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,187,['NCT04534764'],[],[],"['September 1, 2020']",['Actual'],"['August 11, 2020']","['August 27, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,188,['NCT04532099'],[],[],"['August 31, 2020']",['Actual'],"['August 26, 2020']","['August 26, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,189,['NCT04529616'],[],[],"['August 27, 2020']",['Actual'],"['August 24, 2020']","['August 24, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,190,['NCT04529109'],[],[],"['August 27, 2020']",['Actual'],"['August 25, 2020']","['August 25, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,191,['NCT04524247'],[],[],"['August 24, 2020']",['Actual'],"['August 15, 2020']","['August 19, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,192,['NCT04523545'],[],[],"['August 21, 2020']",['Actual'],"['August 19, 2020']","['August 20, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,193,['NCT04513574'],[],[],"['August 14, 2020']",['Actual'],"['August 10, 2020']","['August 13, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,194,['NCT04510857'],[],[],"['August 12, 2020']",['Actual'],"['August 9, 2020']","['August 11, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,195,['NCT04508335'],[],[],"['August 11, 2020']",['Actual'],"['August 4, 2020']","['August 7, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,196,['NCT04502758'],[],[],"['August 6, 2020']",['Actual'],"['August 4, 2020']","['August 4, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,197,['NCT04501146'],[],[],"['August 6, 2020']",['Actual'],"['July 22, 2020']","['July 31, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,198,['NCT04500821'],[],[],"['August 5, 2020']",['Actual'],"['July 22, 2020']","['August 4, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,199,['NCT04499521'],[],[],"['August 5, 2020']",['Actual'],"['July 22, 2020']","['July 31, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,200,['NCT04496752'],[],[],"['August 3, 2020']",['Actual'],"['July 29, 2020']","['July 29, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,201,['NCT04493021'],[],[],"['July 30, 2020']",['Actual'],"['July 26, 2020']","['July 29, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,202,['NCT04488666'],[],[],"['July 28, 2020']",['Actual'],"['July 21, 2020']","['July 23, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,203,['NCT04483791'],[],[],"['July 23, 2020']",['Actual'],"['July 16, 2020']","['July 20, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,204,['NCT04476784'],[],[],"['July 20, 2020']",['Actual'],"['July 15, 2020']","['July 15, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,205,['NCT04474054'],[],[],"['July 16, 2020']",['Actual'],"['July 7, 2020']","['July 15, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,206,['NCT04469218'],[],[],"['July 13, 2020']",['Actual'],"['July 8, 2020']","['July 10, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,207,['NCT04466930'],[],[],"['July 10, 2020']",['Actual'],"['July 2, 2020']","['July 7, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,208,['NCT04455997'],[],[],"['July 2, 2020']",['Actual'],"['June 29, 2020']","['June 29, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,209,['NCT04455854'],[],[],"['July 2, 2020']",['Actual'],"['June 26, 2020']","['July 1, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,210,['NCT04450108'],[],[],"['June 29, 2020']",['Actual'],"['June 24, 2020']","['June 24, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,211,['NCT04437615'],[],[],"['June 18, 2020']",['Actual'],"['June 10, 2020']","['June 17, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,212,['NCT04422990'],[],[],"['June 9, 2020']",['Actual'],"['June 5, 2020']","['June 5, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,213,['NCT04419714'],[],[],"['June 5, 2020']",['Actual'],"['June 3, 2020']","['June 3, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,214,['NCT04409158'],[],[],"['June 1, 2020']",['Actual'],"['May 5, 2020']","['May 26, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,215,['NCT04403542'],[],[],"['May 27, 2020']",['Actual'],"['May 21, 2020']","['May 21, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,216,['NCT04400643'],[],[],"['May 22, 2020']",['Actual'],"['May 14, 2020']","['May 19, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,217,['NCT04394546'],[],[],"['May 19, 2020']",['Actual'],"['May 14, 2020']","['May 16, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,218,['NCT04388787'],[],[],"['May 14, 2020']",['Actual'],"['May 13, 2020']","['May 13, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,219,['NCT04388722'],[],[],"['May 14, 2020']",['Actual'],"['May 12, 2020']","['May 12, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,220,['NCT04386785'],[],[],"['May 13, 2020']",['Actual'],"['May 7, 2020']","['May 11, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,221,['NCT04378764'],[],[],"['May 7, 2020']",['Actual'],"['April 30, 2020']","['May 4, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,222,['NCT04377438'],[],[],"['May 6, 2020']",['Actual'],"['April 29, 2020']","['May 5, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,223,['NCT04338971'],[],[],"['April 8, 2020']",['Actual'],"['May 30, 2017']","['April 6, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,224,['NCT04335981'],[],[],"['April 7, 2020']",['Actual'],"['March 10, 2020']","['April 3, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,225,['NCT04332640'],[],[],"['April 2, 2020']",['Actual'],"['April 1, 2020']","['April 1, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,226,['NCT04330001'],[],[],"['April 1, 2020']",['Actual'],"['March 30, 2020']","['March 30, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,227,['NCT04324593'],[],[],"['March 27, 2020']",['Actual'],"['March 25, 2020']","['March 25, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,228,['NCT04320823'],[],[],"['March 25, 2020']",['Actual'],"['January 3, 2020']","['March 23, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,229,['NCT04319887'],[],[],"['March 24, 2020']",['Actual'],"['March 17, 2020']","['March 20, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,230,['NCT04318132'],[],[],"['March 23, 2020']",['Actual'],"['February 12, 2020']","['March 20, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,231,['NCT04314947'],[],[],"['March 19, 2020']",['Actual'],"['January 31, 2020']","['March 16, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,232,['NCT04314700'],[],[],"['March 19, 2020']",['Actual'],"['March 3, 2020']","['March 17, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,233,['NCT04313725'],[],[],"['March 18, 2020']",['Actual'],"['March 16, 2020']","['March 16, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,234,['NCT04310566'],[],[],"['March 17, 2020']",['Actual'],"['March 13, 2020']","['March 13, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,235,['NCT04307446'],[],[],"['March 13, 2020']",['Actual'],"['March 10, 2020']","['March 10, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,236,['NCT04306744'],[],[],"['March 13, 2020']",['Actual'],"['March 5, 2020']","['March 9, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,237,['NCT04305119'],[],[],"['March 12, 2020']",['Actual'],"['March 9, 2020']","['March 10, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,238,['NCT04303273'],[],[],"['March 11, 2020']",['Actual'],"['March 5, 2020']","['March 8, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,239,['NCT04299386'],[],[],"['March 6, 2020']",['Actual'],"['March 1, 2020']","['March 3, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,240,['NCT04299009'],[],[],"['March 6, 2020']",['Actual'],"['March 2, 2020']","['March 5, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,241,['NCT04298359'],[],[],"['March 6, 2020']",['Actual'],"['January 31, 2020']","['March 4, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,242,['NCT04296773'],[],[],"['March 5, 2020']",['Actual'],"['February 20, 2020']","['March 3, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,243,['NCT04295499'],[],[],"['March 4, 2020']",['Actual'],"['March 2, 2020']","['March 2, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,244,['NCT04287036'],[],[],"['February 27, 2020']",['Actual'],"['February 25, 2020']","['February 25, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,245,['NCT04285541'],[],[],"['February 26, 2020']",['Actual'],"['February 24, 2020']","['February 24, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,246,['NCT04281940'],[],[],"['February 24, 2020']",['Actual'],"['February 20, 2020']","['February 20, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,247,['NCT04279522'],[],[],"['February 21, 2020']",['Actual'],"['February 19, 2020']","['February 19, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,248,['NCT04277455'],[],[],"['February 20, 2020']",['Actual'],"['February 11, 2020']","['February 18, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,249,['NCT04263532'],[],[],"['February 10, 2020']",['Actual'],"['February 6, 2020']","['February 7, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,250,['NCT04252183'],[],[],"['February 5, 2020']",['Actual'],"['January 31, 2020']","['January 31, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
0,251,['NCT04247581'],[],[],"['January 30, 2020']",['Actual'],"['January 28, 2020']","['January 28, 2020']",[],[],[],[],[],[],"['October 30, 2020']",[]
