,Rank,NCTId,AgreementOtherDetails,AgreementPISponsorEmployee,AgreementRestrictionType,AgreementRestrictiveAgreement,ArmGroupDescription,ArmGroupInterventionName,ArmGroupLabel,ArmGroupType,AvailIPDComment,AvailIPDId,AvailIPDType,AvailIPDURL,BaselineCategoryTitle,BaselineClassDenomCountGroupId,BaselineClassDenomCountValue,BaselineClassDenomUnits,BaselineClassTitle,BaselineDenomCountGroupId,BaselineDenomCountValue
0,56,['NCT00666380'],[],[],[],[],[],"['Biological: Plasmodium falciparum Malaria Protein 010 (FMP010)', 'Biological: Plasmodium falciparum Malaria Protein 010 (FMP010)']","['10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant', '50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant']","['Experimental', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,57,['NCT01287247'],[],[],[],[],"['The target populations for which the sample size calculations are based are adult subjects aged ≥ 18 years with clinical diagnoses of cervical dystonia.', 'The target populations for which the sample size calculations are based are adult subjects aged ≥ 18 years with clinical diagnoses of blepharospasm.']","['Biological: Xeomin®', 'Biological: Xeomin®']","['Cervical Dystonia', 'Blepharospasm']",[],[],[],[],[],[],[],[],[],[],[],[]
0,58,['NCT04163341'],[],[],[],[],[],['Behavioral: Adapted Common Elements Treatment Approach'],"['CETA protocol', 'Enhanced Usual Care']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,59,['NCT02987335'],[],[],[],[],"['N=20 subjects with BMI 16-22.5 kg/m2, with a history of low birth weight and malnutrition documented on at least one occasion. Will undergo pancreatic clamp.', 'N=20 subjects with BMI 22.5-27 kg/m2. Will undergo pancreatic clamp', 'N=20 subjects with BMI 16-22.5 kg/m2. Will undergo pancreatic clamp', 'N=20 nondiabetic with BMI 16-22.5 kg/m2 subjects 19-45 years of age and in general good health, taking no medications, with normal glucose tolerance and no family history of diabetes. These subjects will be similar in age, ethnicity and BMI with the lean DM group, and will be recruited through various means of community outreach, including notices in shops and newspapers. Will undergo pancreatic clamp']","['Drug: Pancreatic Clamp', 'Drug: Pancreatic Clamp', 'Drug: Pancreatic Clamp', 'Drug: Pancreatic Clamp']","['Lean Diabetes Subjects', 'Type 2 Diabetes Mellitus Subjects', 'Type 1 Diabetes Mellitus Subjects', 'Nondiabetic Subjects']",[],[],[],[],[],[],[],[],[],[],[],[]
0,60,['NCT02867722'],[],[],[],[],['Patients will receive daylight-PDT treatment (aminolevulinic acid)'],['Drug: aminolevulinic acid HCl'],['Daylight PDT'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,61,['NCT03276637'],[],[],[],[],"['Whole exome sequencing (WES) will be performed on 75 ostensibly healthy, active-duty Airmen (patient-participants) who receive medical care in military Primary Care, Internal Medicine and/or Family Practice settings who in their baseline survey expressed interest in receiving WES. Military healthcare providers who have received brief genomics training will return results to the patient-participants and the WES reports will be permanently integrated into their electronic medical record.']",['Genetic: Whole exome sequencing'],['Healthy Active-Duty Airmen Cohort'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,62,['NCT03192891'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,63,['NCT03373045'],[],[],[],[],"['To describe patient characteristics, treatment patterns, and health outcomes among a large, geographically diverse cohort of US adults with severe asthma who are not controlled on high-dose ICS with additional controllers and/or require chronic systemic corticosteroid or monoclonal antibody therapy.']",[],['Cohort of US adults with severe asthma'],[],[],[],[],[],[],[],[],[],[],[],[]
0,64,['NCT04229212'],[],[],[],[],"['No drainage', 'a hemovac drain (Zimmer Biomet, Autotransfusion System [HAS], United State) was placed']","['Device: hemovac drain (Zimmer Biomet, Autotransfusion System [HAS], United State)']","['No drainage', 'Drainage']","['No Intervention', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,65,['NCT02848781'],[],[],[],[],"['Patient will receive an implantable cardioverter defibrillator (ICD) with catheter ablation and standard medical management.', 'Patient will receive an implantable cardioverter defibrillator (ICD) and standard medical management.', 'The registry will enroll patients who refuse an implantable cardioverter defibrillator (ICD) and are thus not randomized. This arm will assess the efficacy of catheter ablation in the absence of background ICD therapy.']","['Device: Implantable Cardioverter Defibrillator (ICD)', 'Procedure: Catheter Ablation', 'Device: Implantable Cardioverter Defibrillator (ICD)', 'Procedure: Catheter Ablation']","['ICD with Ablation', 'ICD Only', 'Ablation Only (Registry)']","['Experimental', 'Active Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,66,['NCT00385047'],[],[],[],[],"['FMP 2.1 50 μg FMP2.1/AS01B', 'FMP 2.1 50 μg FMP2.1/AS02A']","['Biological: Group A FMP2.1/AS01B', 'Biological: Group B FMP2.1/AS02A']","['Group A', 'Group B']","['Experimental', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,67,['NCT02993120'],[],[],[],[],"['For the cohort of approximately 500 subjects taking a PCSK9i at baseline: proof consisting of a current prescription for an approved PCSK9i and subject confirmation that they have taken a PCSK9i within 30 days prior to enrollment is necessary.', '• For the cohort of approximately 2000 subjects with LDL-C ≥ 100 mg/dL: confirmation of LDL-C ≥100 mg/dL with no change in LLT for 4 weeks.', 'For the cohort of approximately 2500 subjects with LDL-C 70-99 mg/dL: confirmation of LDL-C 70-99 mg/dL with no change in LLT for 4 weeks']",[],"['Cohort 1', 'Cohort 2', 'Cohort 3']",[],[],[],[],[],[],[],[],[],[],[],[]
0,68,['NCT03045120'],[],[],[],[],"['Intended to characterize the impact of dasatinib on cardiovascular and metabolic risk factors in CP-CML treated patients who are TKI naive and initiating first line TKIs in routine clinical practice in the US.', 'Intended to characterize the impact of imatinib on cardiovascular and metabolic risk factors in CP-CML treated patients who are TKI naive and initiating first line TKIs in routine clinical practice in the US.', 'Intended to characterize the impact of nilotinib on cardiovascular and metabolic risk factors in CP-CML treated patients who are TKI naive and initiating first line TKIs in routine clinical practice in the US.', 'Intended to characterize the impact of bosutinib on cardiovascular and metabolic risk factors in CP-CML treated patients who are TKI naive and initiating first line TKIs in routine clinical practice in the US.']",[],"['dasatinib cohort', 'imatinib cohort', 'nilotinib cohort', 'bosutinib cohort']",[],[],[],[],[],[],[],[],[],[],[],[]
0,69,['NCT01154296'],[],['No'],[],['No'],"['Individuals who screen as eligible will complete written informed consent procedures, be enrolled, be tested for STIs, and be asked to complete a baseline assessment using audio computer-assisted self interview (ACASI). Then participants randomized to group 1 will receive rapid HIV testing and RESPECT-2 counseling.', 'Individuals who screen as eligible will complete written informed consent procedures, be enrolled, be tested for STIs, and be asked to complete a baseline assessment using audio computer-assisted self interview (ACASI). Then participants randomized to group 2 will receive rapid HIV testing with information only.']",['Behavioral: RESPECT-2 Counseling'],"['Rapid HIV Testing w/ Counseling (Group 1)', 'Rapid HIV Testing & Information Only (Group 2)']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],"['<25 years', '>=25 years', 'Male sex', 'Female sex', 'Black', 'Hispanic', 'White', 'Other', 'United States']","['BG000', 'BG001', 'BG002']","['2505', '2507', '5012']"
0,70,['NCT02857764'],[],[],[],[],"['Participants will not receive any intervention as a part of this study. SGLT2i includes canagliflozin, dapagliflozin, empagliflozin as prescribed in clinical practice. Participants will be evaluated in 2 sub-cohorts (with or without high CV risk) and overall.', 'Participants will not receive any intervention as a part of this study. This cohort contains new users of canagliflozin as prescribed in clinical practice. Participants will be evaluated in 2 risk) and overall.', 'Participants will not receive any intervention as a part of this study. This cohort contains new users of dapagliflozin as prescribed in clinical practice. Participants will be evaluated in 2 sub-cohorts (with or without high CV risk) and overall.', 'Participants will not receive any intervention as a part of this study. This cohort contains new users of empagliflozin as prescribed in clinical practice. Participants will be evaluated in 2 sub-cohorts (with or without high CV risk) and overall.', 'Participants will not receive any intervention as a part of this study. Non-SGLT2i AHA include dipeptidyl peptidase-4 (DPP-4) inhibitors, glucagon-like peptide-1 (GLP-1) agonists, thiazolidinediones (TZDs), Sulfonylureas, Insulin, and other AHAs. Participants will be evaluated in 2 sub-cohorts (with or without high CV risk) and overall.']",[],"['Sodium-glucose Co-transporter 2 Inhibitors (SGLT2i) New Users', 'Canagliflozin New Users', 'Dapagliflozin New Users', 'Empagliflozin New Users', 'First-time Non-SGLT2i AHA New Users']",[],[],[],[],[],[],[],[],[],[],[],[]
0,71,['NCT00412568'],[],[],[],[],['PRK control group'],['Procedure: Photorefractive Keratectomy (PRK)'],['1'],['Active Comparator'],[],[],[],[],[],[],[],[],[],[],[]
0,72,['NCT03353480'],[],[],[],[],"['250mg Azithromycin tablet manufactured at Pfizer Barceloneta, Puerto Rico, US', '250mg Azithromycin tablet manufactured at Pfizer Dalian, China']","['Drug: Azithromycin Tablet manufactured in US', 'Drug: Azithromycin Tablet manufactured in China']","['Reference', 'Experimental']","['Other', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,73,['NCT00800267'],[],[],[],[],[],"['Drug: fixed combination latanoprost-timolol', 'Drug: latanoprost 0.005%', 'Drug: timolol 0.5%']","['Fixed combination of latanoprost 0.005% and timolol 0.5%', 'latanoprost 0.005%', 'Timolol - 0.5%']","['Experimental', 'Active Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,74,['NCT00601835'],"['Sponsor must have the opportunity to review at least 60 days prior to submission for publication or presentation. If review indicates that potentially patentable subject matter would be disclosed, publication or public disclosure may be delayed for a maximum of an additional 60 days to allow for filing the necessary patent applications.']",['No'],['OTHER'],['Yes'],"['Participants received Canadian manufactured Td vaccine', 'Participants received US manufactured Td vaccine']","['Biological: Tetanus and Diphtheria Toxoids Adsorbed (Td) Vaccine', 'Biological: Tetanus and Diphtheria Toxoids Adsorbed (Td) Vaccine']","['Canadian Td Vaccine Group', 'United States Td Vaccine Group']","['Experimental', 'Active Comparator']",[],[],[],[],"['<=18 years', 'Between 18 and 65 years', '>=65 years', 'Female', 'Male']",[],[],[],['United States'],"['BG000', 'BG001', 'BG002']","['2950', '700', '3650']"
0,75,['NCT01087905'],[],['No'],[],['No'],"['Participants in this randomization arm received 2 weeks of nicotine patch and standard cessation counseling (but no Cognitive Medication Adherence Counseling)\n\n2 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 2 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 2 weeks', 'Participants in this randomization arm received 2 weeks of nicotine patch and standard cessation counseling plus Cognitive Medication Adherence Counseling\n\n2 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 2 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 2 weeks', 'Participants in this randomization arm received 2 weeks of nicotine patch plus nicotine gum and standard cessation counseling (but no Cognitive Medication Adherence Counseling)\n\n2 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 2 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 2 weeks\n\n2 Weeks of Nicotine gum dosed as follows:\n\nIf < 25 cigs/day, 2 mg nicotine gum for 2 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.\n\nIf ≥ 25 cigs/day, 4 mg nicotine gum for 2 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.', 'Participants in this randomization arm received 2 weeks of nicotine patch and nicotine gum plus standard cessation counseling and Cognitive Medication Adherence Counseling\n\n2 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 2 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 2 weeks\n\n2 Weeks of Nicotine gum dosed as follows:\n\nIf < 25 cigs/day, 2 mg nicotine gum for 2 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.\n\nIf ≥ 25 cigs/day, 4 mg nicotine gum for 2 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.', 'Participants in this randomization arm received 6 weeks of nicotine patch and standard cessation counseling (but no Cognitive Medication Adherence Counseling)\n\n6 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 6 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 6 weeks', 'Participants in this randomization arm received 6 weeks of nicotine patch and standard cessation counseling plus Cognitive Medication Adherence Counseling\n\n6 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 6 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 6 weeks', 'Participants in this randomization arm received 6 weeks of nicotine patch plus nicotine gum and standard cessation counseling (but no Cognitive Medication Adherence Counseling)\n\n6 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 6 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 6 weeks\n\n6 Weeks of Nicotine gum dosed as follows:\n\nIf < 25 cigs/day, 2 mg nicotine gum for 6 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.\n\nIf ≥ 25 cigs/day, 4 mg nicotine gum for 6 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.', 'Participants in this randomization arm received 6 weeks of nicotine patch and nicotine gum plus standard cessation counseling and Cognitive Medication Adherence Counseling\n\n6 Weeks of Nicotine patch dosed as follows:\n\nIf > 10 cigs/day: one 21 mg nicotine patch per day for 6 weeks\n\nIf < or = 10 cigs/day: one 14 mg nicotine patch per day for 6 weeks\n\n6 Weeks of Nicotine gum dosed as follows:\n\nIf < 25 cigs/day, 2 mg nicotine gum for 6 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.\n\nIf ≥ 25 cigs/day, 4 mg nicotine gum for 6 weeks, at least 5 pieces of oral NRT per day (maximum of 1 piece every 1-2 hours), unless this amount of use produces nicotine toxicity effects.']","['Drug: Nicotine patch', 'Drug: Nicotine patch', 'Behavioral: CMAC', 'Drug: Nicotine patch', 'Drug: Nicotine gum', 'Drug: Nicotine patch', 'Drug: Nicotine gum', 'Behavioral: CMAC', 'Drug: Nicotine patch', 'Drug: Nicotine patch', 'Behavioral: CMAC', 'Drug: Nicotine patch', 'Drug: Nicotine gum', 'Drug: Nicotine patch', 'Drug: Nicotine gum', 'Behavioral: CMAC']","['2 Weeks of Nicotine Patch Only, No CMAC', '2 Weeks of Nicotine Patch Only plus CMAC', '2 Wks Nicotine Patch+Nic Gum, No CMAC', '2 Wks Nicotine Patch+Nic Gum plus CMAC', '6 Weeks of Nicotine Patch Only, No CMAC', '6 Weeks of Nicotine Patch Only plus CMAC', '6 Wks Nicotine Patch+Nic Gum, No CMAC', '6 Wks Nicotine Patch+Nic Gum plus CMAC']","['Active Comparator', 'Active Comparator', 'Active Comparator', 'Active Comparator', 'Active Comparator', 'Active Comparator', 'Active Comparator', 'Active Comparator']",[],[],[],[],"['<=18 years', 'Between 18 and 65 years', '>=65 years', 'Female', 'Male']",[],[],[],['United States'],"['BG000', 'BG001', 'BG002', 'BG003', 'BG004', 'BG005', 'BG006', 'BG007', 'BG008']","['119', '126', '123', '122', '122', '127', '121', '127', '987']"
0,76,['NCT02616198'],[],[],[],[],"['EquiaFil G-coat combination was applied on one randomly selected cavity to be restored', 'EquiaFil Fuji Varnish combination was applied on one randomly selected cavity to be restored', 'River SC G-coat combination was applied on one randomly selected cavity to be restored', 'River SC Fuji Varnish combination was applied on one randomly selected cavity to be restored']","['Other: EquiaFil Fuji Varnish', 'Other: Riva SC G-coat', 'Other: Riva SC Fuji Varnish', 'Other: EquiaFil G-coat', 'Other: Riva SC G-coat', 'Other: Riva SC Fuji Varnish', 'Other: EquiaFil G-coat', 'Other: EquiaFil Fuji Varnish', 'Other: Riva SC Fuji Varnish', 'Other: EquiaFil G-coat', 'Other: EquiaFil Fuji Varnish', 'Other: Riva SC G-coat']","['EquiaFil G-coat', 'EquiaFil Fuji Varnish', 'Riva SC G-coat', 'Riva SC Fuji Varnish']","['Active Comparator', 'Active Comparator', 'Active Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,77,['NCT00007540'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,78,['NCT02163525'],[],[],[],[],"['Women are randomized 1:1 to either global fibroid ablation (GFA) or uterine artery embolization (UAE)', 'Women are randomized 1:1 to either global fibroid ablation (GFA) or myomectomy (laparoscopic or abdominal)']","['Procedure: Global Fibroid Ablation (GFA)', 'Procedure: Uterine Artery Embolization (UAE)', 'Procedure: Global Fibroid Ablation (GFA)', 'Procedure: Abdominal or Laparoscopic Myomectomy']","['Ablation vs Embolization', 'Ablation vs Myomectomy']","['Active Comparator', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,79,['NCT03310112'],[],[],[],[],"['Participants will engage in Mindfulness-Based Attention Training (MBAT) in 4, 2-hour training classes over 4 weeks.', 'Participants will engage in Mindfulness-Based Attention Training (MBAT) in 4, 2-hour training classes over 2 weeks.', 'Participants will receive no intervention but will be tested before and after a no-training interval.']","['Behavioral: 4-week MBAT', 'Behavioral: 2-week MBAT']","['4-week MBAT', '2-week MBAT', 'No training control (NTC)']","['Experimental', 'Active Comparator', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,80,['NCT02766634'],[],[],[],[],[],"['Biological: Filgrastim Hospira (US)', 'Biological: U.S.-approved Neupogen®', 'Biological: Filgrastim Hospira (US)', 'Biological: U.S.-approved Neupogen®']","['Filgrastim Hospira (US) followed by U.S.-approved Neupogen®', 'U.S.-approved Neupogen® followed by Filgrastim Hospira (US)']","['Experimental', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,81,['NCT02971709'],[],[],[],[],"['Shade sails were constructed over passive recreation areas in public parks between pretest and posttest. Shade sails maximized available shade in the passive recreation areas from 11 am to 3 pm in the summer.', 'Passive recreation areas in public parks that remained unshaded at pretest and posttest.']",['Behavioral: Shade Sail'],"['Shade Sail', 'Unshaded Control']","['Experimental', 'No Intervention']",[],[],[],[],[],[],[],[],[],[],[]
0,82,['NCT03801928'],[],[],[],[],"['Group treated with Inflectra for Ulcerative Colitis', ""Group treated with Inflectra for Crohn's Disease""]","['Drug: Inflectra', 'Drug: Inflectra']","['Ulcerative Colitis', ""Crohn's Disease""]",[],[],[],[],[],[],[],[],[],[],[],[]
0,83,['NCT01641029'],[],[],[],[],"['Patients > 18 years of age with flank pain and/or costovertebral angle tenderness, documented temperature in the emergency department of ≥38°C/100.4°F by any method of measurement, and clinically suspected acute pyelonephritis. Patients will be identified by their emergency department treating physicians.']",['Other: No intervention'],['pyelonephritis'],[],[],[],[],[],[],[],[],[],[],[],[]
0,84,['NCT02128542'],"['After conclusion of the study and without prior written approval from Gilead, investigators in this study may communicate, orally present, or publish in scientific journals or other media only after the following conditions have been met:\n\nThe results of the study in their entirety have been publicly disclosed by or with the consent of Gilead in an abstract, manuscript, or presentation form; or\nThe study has been completed at all study sites for at least 2 years']",['No'],['OTHER'],['Yes'],['Participants will receive sofosbuvir+RBV for 12 weeks.'],"['Drug: Sofosbuvir', 'Drug: RBV']",['Sofosbuvir+RBV 12 weeks'],['Experimental'],[],[],[],[],"['Female', 'Male']",[],[],[],"['Black or African American', 'White', 'Hawaiian or Pacific Islander', 'Other', 'United States', 'CC', 'CT', 'TT', '< 800,000 IU/mL', '≥ 800,000 IU/mL', 'Genotype 2', 'Genotype 2b', 'Genotype 2a/2c', 'No', 'Yes']","['BG000', 'BG001', 'BG002']","['47', '19', '66']"
0,85,['NCT00573976'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,86,['NCT00306007'],[],[],[],[],"['English speaking women recruited from the general OB/GYN clinic', 'Spanish speaking (monolingual) women recruited from the general OB/GYN clinic', 'English speaking women recruited from the abortion clinic', 'Spanish speaking (monolingual) women recruited from the abortion clinic']",[],"['English prenatal', 'Spanish prenatal', 'English abortion clinic', 'Spanish abortion clinic']",[],[],[],[],[],[],[],[],[],[],[],[]
0,87,['NCT02766647'],[],[],[],[],[],"['Biological: Filgrastim Hospira (US)', 'Biological: US-approved Neupogen®', 'Biological: Filgrastim Hospira (US)', 'Biological: US-approved Neupogen®']","['Filgrastim Hospira (US) followed by U.S.-approved Neupogen®', 'U.S.-approved Neupogen® followed by Filgrastim Hospira (US)']","['Experimental', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
0,88,['NCT04460898'],[],[],[],[],['HR+/HER2- metastatic breast cancer patients in the US.'],[],['Breast Cancer Patients'],[],[],[],[],[],[],[],[],[],[],[],[]
0,89,['NCT00413517'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,90,['NCT02882100'],[],[],[],[],"['NH facilities randomized to receive adjuvanted trivalent influenza vaccine (aTIV, FLUAD) for the residents', 'NH facilities randomized to receive standard trivalent influenza vaccine (TIV, Fluvirin) for the residents']","['Biological: adjuvanted trivalent influenza vaccine', 'Biological: trivalent influenza vaccine', 'Biological: trivalent influenza vaccine']","['aTIV', 'TIV']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,91,['NCT00533975'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,92,['NCT02109757'],[],[],[],[],"['This group will receive software intervention and education before and after receiving one-on-one education, thus showing if benefit or effect occurs simply due to having the software input before receiving education.', 'This group will not receive software intervention prior to and after one-on-one education, only afterwards.']","['Other: Software intervention and education', 'Other: Education only']","['Software intervention and education', 'Education only']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,93,['NCT00959933'],[],[],[],[],"['Ribavirin 200 Capsules (Geneva Pharmaceutical, U.S.A.)', 'Rebetol 200 Capsules (Schering Corporation, U.S.A.)']","['Drug: Ribavirin 200 Capsules (Geneva Pharmaceutical, U.S.A.)', 'Drug: Rebetol 200 Capsules (Schering Corporation, U.S.A.)']","['1', '2']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,94,['NCT00960479'],[],[],[],[],"['Ribavirin 200 mg Oral Capsule (Geneva Pharmaceutical, U.S.A.)', 'Rebetol 200 mg Oral Capsule (Schering Corporation, U.S.A.)']","['Drug: Ribavirin 200 mg Oral Capsule (Geneva Pharmaceutical, U.S.A.)', 'Drug: Rebetol 200 mg Oral Capsule (Schering Corporation, U.S.A.)']","['1', '2']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,95,['NCT03266497'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,96,['NCT02207569'],[],['No'],[],['No'],['The CoreValve Evolut R System is a transcatheter aortic valve implantation system comprised of the following three components:\n\nEvolut R Transcatheter Aortic Valve (TAV)\nEnVeo R Delivery Catheter System (DCS) with EnVeo R InLine Sheath\nEnVeo R Loading System (LS)'],['Device: CoreValve Evolut R TAVR system'],['CoreValve Evolut R TAVR system'],['Experimental'],[],[],[],[],"['Female', 'Male']",[],[],[],['United States'],['BG000'],['241']
0,97,['NCT02569632'],[],[],[],[],['Trumenba Meningococcal Group B Vaccine (Wyeth/Pfizer Pharmaceuticals)'],['Biological: Trumenba Vaccine (Wyeth/Pfizer Pharmaceuticals)'],['Open Label: MenB-FHbp'],['Experimental'],[],[],[],[],[],[],[],[],[],[],[]
0,98,['NCT02069925'],[],[],[],[],"['This intervention consists of educational campaigns directed at patients & families (who have yet to seek care) and professionals in educational and clinical settings to hasten referral of individuals with new onset psychosis to an established, best-practice first-episode service (i.e. STEP). Interleaved with this educational campaign will be procedures to make the STEP clinic more rapidly responsive to referrals to further shorten the duration of untreated psychosis', 'This intervention will provide equivalent best practice care without the benefit of an early detection campaign']","['Behavioral: Early Detection (ED)', 'Behavioral: Usual Detection', 'Behavioral: Usual Detection']","['Early Detection (ED)', 'Usual Detection']","['Experimental', 'Active Comparator']",[],[],[],[],[],[],[],[],[],[],[]
0,99,['NCT03433131'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,100,['NCT02746809'],[],['No'],[],['No'],['Treatment of Aortic Stenosis with Medtronic CoreValve Evolut R 34R TAVR System.'],['Device: CoreValve Evolut 34R TAVR system'],['CoreValve Evolut 34R TAVR system'],['Experimental'],[],[],[],[],"['Female', 'Male']","['BG000', 'BG000', 'BG000', 'BG000']","['60', '60', '0', '60']","['Participants', 'Participants', 'Participants', 'Participants']",['United States'],['BG000'],['60']
0,101,['NCT00328380'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
0,102,['NCT04552535'],[],[],[],[],"['Second line (2L) afatinib treated following discontinuation of pembrolizumab in combination with platinum-based doublet chemotherapy (first line (1L))', 'Second line (2L) chemotherapy treated following discontinuation of pembrolizumab in combination with platinum-based doublet chemotherapy (first line (1L))']","['Drug: Second line (2L) afatinib', 'Drug: Second line chemotherapy']","['Second line (2L) afatinib', 'Second line (2L) chemotherapy']",[],[],[],[],[],[],[],[],[],[],[],[]
0,103,['NCT03293875'],[],[],[],[],"['Research staff will initiate the recruitment of seeds by recruiting four to six seeds per city. Counselors, at the partner organizations, will begin by administering a rapid HIV test and provide pre and post-test counseling to seeds. Counselors, who will be trained in the social network assessment methodology, will then ask seeds to list other drug users in their social network who they believe are at risk of contracting HIV. Counselors will then provide participants with 3 coupons to recruit identified network members for an HIV test. Referred participants who engage in high-risk behavior will be also provided with 3 coupons to refer their own network members for an HIV test.', 'Two peer leaders will be selected from each city to deliver the intervention sessions. Peer leaders will recruit drug users they know who will be asked, in turn, to recruit other drug users in their networks. Peer leaders will deliver the intervention to 300 drug users (150 per border city) in cycles composed of small social networks of 5-6 drug users.']","['Behavioral: Encuentro', 'Behavioral: Encuentro']","['HIV testing promoted by members of the social network', 'Peer network behavioral intervention']","['Other', 'Other']",[],[],[],[],[],[],[],[],[],[],[]
0,104,['NCT01235260'],[],[],[],[],"['Becaplermin users A cohort of becaplermin users (ie patients with diabetes treated with becaplermin)', 'Becaplermin nonusers A cohort of becaplermin nonusers (ie patients who are not treated with becaplermin but are similar in characteristics to patients in the becaplermin user cohort)']","['Drug: Becaplermin users', 'Other: Becaplermin nonusers']","['001', '002']",[],[],[],[],[],[],[],[],[],[],[],[]
0,105,['NCT03390660'],[],[],[],[],"['born in 1994-1997, 1998-2001, 2002-2005, 2006-2009, 2010-2014']",['Other: WIC program participation'],['birth cohorts'],[],[],[],[],[],[],[],[],[],[],[],[]
0,106,['NCT00837499'],[],[],[],[],[],"['Behavioral: Questionnaire', 'Behavioral: Questionnaire', 'Behavioral: Questionnaire']","['Mexican Women from Mexico', 'Mexican-American Women in U.S.', 'African-American Women in U.S.']",[],[],[],[],[],[],[],[],[],[],[],[]
0,107,['NCT01629537'],[],[],[],[],"['Subjects 1 month post in the placebo group who demonstrate either the same level of PTSD severity at enrollment or worsening of the condition (i.e., CAPS score greater than or equal to 40) will be offered SGB treatment and crossed over to active treatment. Patients who cross over from placebo to active SGB treatment will be followed one week, one month and three months after cross over.', 'Subjects assigned to SGB arm will undergo SGB procedure and be followed one week, one month and three months after procedure or until CAPS score is below 40.']","['Procedure: Placebo Procedure', 'Procedure: Stellate Ganglion Block injection with ropivicane']","['Placebo', 'Stellate Ganglion Block (SGB)']","['Other', 'Experimental']",[],[],[],[],[],[],[],[],[],[],[]
