,NCTId,HealthyVolunteers
8945,NCT02743039,No
8946,NCT01743976,No
8947,NCT03762161,No
8948,NCT04571502,No
8950,NCT03900949,No
1272,NCT00751127,No
1270,NCT01890850,No
8925,NCT04068662,No
8952,NCT04157270,No
1268,NCT00328926,No
1266,NCT02679430,No
8954,NCT04331366,No
8955,NCT02290223,No
1263,NCT00143221,No
1262,NCT00002102,No
1261,NCT00002103,No
1260,NCT00002317,No
1283,NCT02223338,No
8943,NCT03935048,No
1285,NCT00139581,No
8942,NCT01566461,No
1309,NCT00263887,No
1308,NCT04274959,No
8928,NCT00555425,No
8929,NCT01128621,No
8930,NCT02497937,No
8931,NCT03895021,No
1302,NCT02105896,No
1301,NCT00847483,No
1300,NCT00137228,No
8932,NCT03951064,No
8933,NCT02217007,No
8934,NCT03164967,No
1294,NCT00220740,No
1293,NCT02052310,No
8937,NCT03434769,No
8938,NCT03890029,No
8940,NCT01878175,No
8941,NCT01511107,No
1287,NCT00220779,No
8897,NCT01797159,No
1376,NCT00299741,No
8956,NCT03611660,No
1448,NCT00509444,No
8855,NCT00769951,No
8856,NCT03905720,No
1455,NCT01342029,No
8857,NCT03454022,No
8858,NCT02206607,No
1452,NCT00997503,No
1451,NCT01002885,No
1450,NCT01952028,No
1449,NCT00642603,No
1447,NCT00764322,No
1460,NCT02984943,No
8859,NCT01045421,No
1445,NCT00271999,No
1444,NCT00809445,No
1442,NCT01613001,No
8863,NCT02926677,No
1438,NCT02357381,No
1437,NCT03875651,No
1436,NCT01465503,No
1435,NCT00164619,No
8854,NCT01994473,No
1462,NCT01917643,No
1377,NCT03746847,No
1476,NCT02285777,No
1488,NCT01560754,No
1487,NCT01714531,No
1486,NCT02424383,No
8843,NCT00400803,No
8846,NCT03471221,No
1480,NCT00916695,No
1479,NCT01858428,No
1478,NCT02040025,No
1477,NCT02195505,No
1474,NCT03399461,No
1463,NCT00775398,No
8850,NCT01435603,No
1471,NCT01088503,No
1470,NCT01921127,No
1469,NCT04345757,No
8851,NCT01835223,No
1467,NCT01093885,No
1466,NCT00880035,No
1465,NCT00694174,No
1464,NCT00805948,No
1434,NCT01792791,No
1433,NCT01264952,No
1432,NCT03140488,No
8888,NCT03383848,No
1400,NCT00652574,No
8882,NCT01882010,No
8884,NCT02624193,No
1396,NCT03594292,No
1395,NCT03904186,No
1394,NCT01675440,No
8886,NCT02522923,No
8887,NCT03796208,No
1390,NCT00539357,No
1388,NCT02940717,No
8864,NCT01496378,No
8889,NCT00178048,No
8890,NCT03422367,No
1385,NCT02989103,No
1384,NCT03237364,No
8891,NCT00773617,No
1381,NCT01240902,No
1380,NCT01061164,No
1379,NCT00907972,No
8893,NCT01664624,No
8881,NCT03241732,No
1403,NCT00006604,No
8879,NCT01764698,No
8878,NCT01021644,No
8865,NCT03256110,No
8866,NCT01104701,No
8870,NCT02318186,No
8871,NCT01137006,No
1423,NCT01422889,No
1422,NCT01092910,No
1421,NCT02394457,No
1420,NCT02419157,No
8872,NCT04497116,No
1418,NCT01322633,No
1417,NCT00286390,No
8874,NCT01216891,No
1413,NCT03591510,No
1412,NCT02280733,No
1410,NCT02156336,No
1409,NCT00068367,No
1408,NCT02151955,No
8877,NCT02734667,No
1406,NCT02601469,No
1259,NCT00002434,No
8957,NCT01302938,No
8841,NCT02117336,No
1111,NCT02917057,No
1121,NCT01419769,No
1120,NCT04460911,No
1119,NCT00004986,No
9020,NCT04576247,No
1117,NCT02863458,No
1116,NCT01152918,No
1115,NCT01975818,No
1114,NCT01841957,No
1113,NCT02274389,No
1110,NCT00005319,No
1123,NCT03964649,No
1109,NCT01873417,No
1108,NCT03109002,No
1107,NCT01260324,No
9022,NCT04572581,No
9024,NCT04570839,No
1103,NCT04001803,No
9025,NCT04569747,No
9026,NCT04568616,No
9027,NCT04568395,No
9019,NCT04576871,No
9018,NCT04577001,No
1151,NCT00170742,No
9013,NCT04580524,No
9005,NCT04584762,No
9006,NCT04584710,No
9007,NCT04583501,No
9009,NCT04582214,No
9010,NCT04581603,No
1142,NCT00049439,No
1141,NCT00414518,No
1140,NCT02640677,No
1139,NCT00154323,No
9015,NCT04579393,No
1125,NCT02455024,No
9016,NCT04577976,No
1133,NCT03078751,No
1132,NCT00291551,No
1131,NCT01623544,No
9017,NCT04577313,No
1129,NCT03243305,No
1128,NCT01605864,No
1127,NCT03073343,No
1126,NCT04141228,No
9028,NCT04567719,No
1098,NCT02974244,No
1097,NCT03566264,No
1057,NCT03421561,No
1068,NCT04075578,No
9040,NCT04558567,No
1066,NCT03975790,No
1065,NCT01589978,No
1064,NCT00130676,No
1062,NCT01078246,No
9042,NCT04556227,No
9044,NCT04555811,No
1058,NCT02825602,No
1056,NCT00904878,No
1096,NCT01982474,No
9045,NCT04554914,No
9046,NCT04554212,No
1053,NCT02420041,No
9047,NCT04553133,No
1050,NCT03021824,No
9049,NCT04551430,No
1048,NCT03369730,No
9050,NCT04549077,No
1046,NCT02419443,No
9039,NCT04559230,No
1070,NCT02813356,No
9038,NCT04560673,No
9037,NCT04561362,No
1095,NCT00620867,No
1094,NCT01517841,No
9029,NCT04566874,No
9030,NCT04566445,No
1090,NCT00005483,No
1089,NCT01688960,No
9033,NCT04565119,No
1086,NCT00936715,No
1085,NCT00352729,No
1084,NCT01720277,No
1082,NCT01335412,No
1080,NCT01411839,No
1079,NCT00128479,No
1078,NCT01120509,No
9036,NCT04563026,No
1076,NCT04468360,No
1075,NCT00618956,No
1074,NCT00208156,No
1073,NCT01306968,No
9004,NCT04586530,No
1153,NCT02097173,No
1256,NCT00134849,No
8976,NCT04437069,No
1228,NCT03940300,No
1227,NCT04530136,No
8971,NCT04182334,No
1225,NCT03302611,No
8972,NCT00886821,No
1223,NCT04062968,No
8973,NCT02422485,No
8974,NCT02002819,No
8975,NCT01721044,No
1218,NCT03491397,No
8970,NCT04524351,No
1217,NCT00183807,No
8977,NCT04609085,No
1215,NCT00143026,No
1214,NCT01161290,No
1213,NCT03310580,No
8978,NCT04608773,No
1211,NCT02064426,No
1210,NCT00410475,No
8979,NCT04607668,No
1229,NCT01287351,No
8967,NCT03032159,No
1154,NCT04018001,No
1245,NCT02415309,No
1254,NCT01605669,No
8959,NCT03436953,No
1252,NCT01668069,No
1251,NCT01715220,No
1250,NCT02105753,No
8960,NCT03595748,No
8961,NCT03718104,No
8962,NCT04066894,No
1246,NCT02403934,No
1244,NCT02418702,No
8966,NCT03149185,No
8963,NCT00882557,No
1242,NCT04396626,No
1241,NCT00558701,No
1240,NCT00593086,No
8964,NCT03233594,No
8965,NCT02728076,No
1237,NCT01241123,No
1236,NCT01241149,No
1235,NCT00723008,No
8980,NCT04607200,No
8981,NCT04606030,No
1205,NCT00002298,No
8998,NCT04592601,No
8991,NCT04597957,No
1177,NCT03180853,No
8993,NCT04595903,No
1175,NCT02891421,No
1174,NCT01241136,No
1171,NCT00339924,No
1170,NCT02660073,No
8996,NCT04593693,No
1167,NCT01570998,No
1165,NCT03845400,No
8983,NCT04605549,No
1164,NCT01427673,No
1162,NCT02380274,No
1161,NCT03202680,No
1160,NCT02455804,No
1159,NCT02874222,No
9000,NCT04591288,No
9001,NCT04588025,No
1156,NCT00154362,No
1155,NCT00996372,No
8990,NCT04598035,No
1181,NCT02543931,No
1182,NCT04496414,No
1183,NCT01375036,No
1203,NCT00644631,No
1202,NCT03807531,No
1201,NCT02312037,No
8984,NCT04605198,No
8985,NCT04604275,No
1198,NCT00277498,No
1197,NCT04507204,No
1196,NCT00996164,No
1195,NCT01308437,No
1194,NCT02273882,No
1193,NCT00704067,No
1192,NCT01713881,No
1191,NCT01498640,No
8986,NCT04604015,No
1189,NCT03532230,No
1188,NCT01333488,No
1187,NCT02895997,No
8987,NCT04599881,No
8989,NCT04598321,No
8842,NCT03592771,No
8840,NCT00960765,No
1044,NCT00341510,No
8725,NCT00025389,No
1779,NCT03377569,No
1778,NCT00101751,No
8722,NCT04524104,No
1776,NCT00531661,No
8723,NCT02189889,No
1774,NCT01329939,No
1773,NCT01563445,No
8724,NCT00039468,No
1771,NCT01561950,No
8726,NCT00098670,No
1781,NCT01846858,No
8727,NCT00085124,No
1766,NCT01228058,No
1765,NCT00056589,No
1764,NCT00626379,No
1763,NCT01576601,No
1762,NCT02995915,No
1761,NCT02639832,No
8729,NCT04542642,No
1759,NCT02870231,No
1780,NCT02958085,No
1782,NCT02047084,No
1807,NCT00333203,No
8718,NCT00058045,No
8711,NCT02973399,No
8712,NCT01834794,No
1803,NCT04063709,No
1801,NCT03979209,No
1800,NCT01436240,No
1799,NCT00995410,No
8714,NCT00072995,No
8715,NCT04154618,No
8717,NCT00955084,No
1793,NCT04478110,No
1783,NCT01018238,No
1792,NCT00871468,No
1791,NCT01075165,No
8719,NCT00006264,No
8720,NCT00006018,No
1788,NCT00681200,No
1787,NCT02056639,No
1786,NCT02015546,No
8721,NCT00004930,No
1784,NCT01321944,No
1758,NCT01691378,No
1757,NCT00264901,No
1756,NCT00095446,No
1719,NCT01464099,No
1728,NCT00580749,No
1727,NCT00124696,No
1726,NCT01198587,No
1725,NCT01473953,No
8737,NCT03126981,No
8738,NCT02896010,No
1722,NCT03711916,No
1721,NCT03336567,No
1720,NCT01121276,No
8740,NCT01954576,No
1755,NCT00620282,No
1716,NCT00873223,No
1715,NCT01682902,No
8741,NCT02395341,No
8742,NCT04443088,No
8743,NCT04488575,No
8745,NCT01394003,No
8746,NCT02665143,No
1708,NCT04417673,No
8747,NCT04374630,No
1729,NCT03248141,No
1730,NCT01511393,No
1731,NCT01497600,No
8736,NCT03315663,No
1754,NCT02915237,No
1753,NCT01111201,No
1751,NCT03576755,No
1750,NCT04136951,No
1749,NCT01988532,No
1747,NCT00841165,No
1746,NCT01772602,No
1745,NCT01569841,No
1744,NCT03015207,No
1743,NCT03763591,No
8732,NCT00896701,No
1741,NCT03095807,No
1740,NCT04349072,No
8733,NCT00831766,No
8734,NCT02958969,No
1737,NCT01262339,No
1735,NCT01511185,No
1734,NCT04073940,No
1733,NCT03529214,No
1806,NCT00333268,No
1808,NCT01520038,No
8748,NCT02140021,No
1870,NCT02341079,No
1879,NCT01830712,No
8679,NCT02513563,No
1877,NCT02682667,No
8680,NCT01902225,No
8681,NCT00963807,No
8682,NCT02352103,No
1873,NCT01591408,No
8683,NCT02086604,No
1871,NCT02115919,No
8684,NCT03315507,No
8677,NCT03071406,No
1868,NCT00888745,No
8685,NCT00002940,No
1866,NCT02856802,No
1865,NCT00137163,No
1864,NCT00137202,No
1863,NCT00137215,No
1862,NCT00137254,No
1861,NCT00137319,No
1860,NCT00356837,No
8678,NCT02829931,No
8676,NCT01515475,No
8710,NCT00004263,No
1896,NCT02651714,No
1906,NCT01813227,No
1905,NCT00000418,No
1904,NCT02392364,No
1903,NCT00753480,No
1902,NCT02579057,No
1900,NCT00417573,No
1899,NCT03118297,No
1898,NCT01881503,No
1897,NCT03149510,No
1895,NCT00269555,No
8675,NCT00885963,No
1894,NCT01339390,No
1893,NCT03126331,No
8668,NCT03456804,No
1891,NCT03480854,No
1890,NCT00366301,No
8669,NCT01505868,No
8670,NCT00678769,No
8672,NCT04230499,No
8674,NCT00764517,No
1859,NCT00464386,No
1858,NCT00855153,No
1857,NCT01268189,No
1820,NCT02415621,No
8698,NCT03384836,No
8699,NCT02746263,No
1828,NCT00852904,No
8700,NCT01454284,No
1825,NCT00097461,No
1824,NCT00797095,No
1823,NCT01809288,No
1822,NCT00833716,No
8702,NCT00938964,No
8703,NCT02992977,No
1856,NCT00037219,No
1818,NCT01561352,No
8704,NCT02963090,No
8705,NCT02295059,No
8706,NCT00482274,No
8707,NCT03758625,No
8708,NCT01941810,No
1812,NCT03973177,No
1811,NCT03403621,No
8709,NCT02022423,No
1831,NCT00889616,No
8697,NCT00515255,No
8696,NCT03614949,No
1834,NCT03791580,No
8686,NCT00310895,No
1854,NCT02608853,No
1852,NCT02779231,No
8688,NCT04159896,No
8689,NCT02520115,No
1849,NCT00573599,No
8690,NCT00410904,No
8691,NCT00118157,No
1846,NCT01088178,No
8692,NCT00462358,No
1844,NCT03775954,No
1843,NCT03272048,No
1842,NCT00296088,No
1841,NCT01953016,No
1840,NCT03825783,No
8694,NCT00435617,No
1837,NCT01554644,No
1836,NCT00415415,No
8695,NCT03705325,No
1706,NCT00245882,No
8749,NCT01982435,No
8838,NCT03235219,No
1558,NCT00733512,No
1569,NCT04127058,No
1568,NCT02209259,No
8807,NCT02535572,No
1566,NCT04098250,No
8808,NCT00866411,No
8810,NCT03136094,No
1562,NCT02016482,No
1561,NCT01949844,No
1560,NCT04054947,No
8813,NCT01671332,No
8805,NCT01214655,No
1554,NCT02955238,No
8815,NCT02290639,No
1552,NCT02911285,No
1550,NCT02963376,No
1549,NCT02617940,No
8817,NCT00104156,No
1547,NCT02542046,No
1546,NCT01108848,No
8818,NCT01314599,No
8806,NCT01693874,No
1572,NCT01618591,No
1600,NCT00786786,No
1587,NCT00183872,No
8791,NCT03385486,No
8792,NCT03283553,No
1596,NCT00832871,No
8793,NCT01992341,No
8794,NCT02150681,No
8795,NCT00183339,No
1592,NCT02873013,No
1591,NCT02287688,No
8798,NCT01992432,No
8799,NCT03170206,No
1574,NCT01557868,No
8800,NCT00589459,No
1583,NCT01524146,No
1581,NCT00267358,No
1580,NCT00378131,No
1579,NCT02296164,No
1578,NCT00672074,No
1577,NCT01334541,No
1576,NCT01207167,No
8803,NCT01921179,No
1544,NCT04382625,No
1543,NCT00598247,No
1542,NCT00667147,No
1505,NCT01047735,No
1514,NCT00183885,No
8830,NCT02823262,No
1512,NCT03713333,No
8831,NCT03727815,No
1510,NCT00183846,No
1509,NCT00159484,No
8832,NCT03995667,No
1507,NCT02601092,No
1506,NCT01651533,No
8833,NCT02445794,No
8819,NCT01448447,No
1503,NCT00640692,No
1502,NCT00763724,No
1501,NCT01148563,No
8834,NCT04475523,No
1499,NCT00691184,No
1498,NCT01494350,No
1497,NCT01473771,No
8835,NCT00624520,No
8836,NCT02325128,No
8828,NCT04363242,No
1517,NCT01538745,No
1518,NCT02725905,No
1519,NCT00183898,No
8821,NCT03137082,No
1537,NCT02228850,No
8823,NCT04407767,No
1535,NCT00257816,No
8824,NCT04030962,No
1533,NCT02406391,No
1532,NCT03395964,No
8825,NCT02899988,No
1530,NCT00844532,No
8826,NCT01671475,No
1528,NCT00264758,No
1527,NCT01908205,No
8827,NCT02853149,No
1525,NCT00183859,No
1524,NCT00159471,No
1523,NCT00183911,No
1522,NCT00159432,No
1521,NCT00159445,No
1520,NCT00183742,No
1599,NCT00116428,No
8790,NCT03300297,No
8750,NCT01090011,No
8761,NCT01825252,No
1678,NCT03921294,No
1677,NCT00432510,No
1676,NCT03264131,No
1675,NCT02005198,No
1674,NCT03621826,No
8756,NCT02487485,No
8757,NCT00596284,No
8759,NCT00983892,No
1669,NCT04047121,No
1665,NCT00555750,No
1680,NCT00973674,No
8764,NCT03261661,No
8765,NCT00280748,No
8766,NCT04034004,No
1661,NCT03659656,No
1660,NCT01490658,No
1659,NCT01966718,No
1658,NCT02550886,No
1657,NCT04550455,No
8767,NCT03354585,No
1679,NCT00976833,No
1681,NCT02835235,No
1602,NCT00128375,No
1693,NCT01782898,No
1702,NCT04201028,No
1701,NCT01950572,No
8751,NCT03932773,No
1699,NCT00211614,No
1698,NCT02742532,No
1697,NCT01605773,No
1696,NCT00936000,No
1695,NCT00833963,No
8752,NCT02819141,No
1692,NCT02239926,No
1682,NCT04003454,No
1691,NCT02568202,No
1690,NCT00012701,No
8753,NCT04458194,No
1688,NCT03947593,No
1687,NCT01401244,No
1686,NCT03096418,No
8754,NCT03183050,No
8755,NCT00903695,No
1683,NCT01865123,No
1655,NCT01205776,No
1654,NCT00889772,No
1653,NCT03814096,No
1613,NCT00785304,No
8783,NCT02061423,No
8784,NCT03750409,No
1620,NCT01725087,No
1619,NCT01555554,No
8785,NCT04123223,No
1617,NCT01847560,No
8786,NCT03395314,No
8787,NCT01457339,No
1614,NCT04540081,No
1612,NCT00715026,No
1652,NCT01574677,No
1611,NCT02555527,No
1610,NCT03593356,No
8788,NCT02431494,No
1608,NCT03588364,No
1607,NCT02195544,No
1606,NCT02060513,No
1605,NCT02142712,No
8789,NCT03947983,No
1603,NCT02963935,No
1625,NCT00606658,No
8780,NCT01802944,No
1627,NCT00065988,No
1629,NCT01809639,No
1651,NCT01043510,No
8769,NCT02754557,No
8770,NCT00124280,No
1647,NCT01489644,No
1645,NCT02918435,No
1644,NCT02188329,No
1642,NCT01640171,No
1641,NCT00585104,No
1640,NCT03756025,No
8773,NCT01440907,No
1638,NCT03338803,No
1637,NCT03334175,No
1636,NCT01273220,No
8774,NCT01127633,No
1634,NCT02443090,No
8775,NCT01616797,No
8776,NCT00813423,No
8777,NCT02146326,No
3277,NCT02263326,No
1045,NCT04607356,No
9051,NCT04549051,No
1908,NCT00118898,No
9761,NCT03933540,No
9742,NCT03945721,No
9743,NCT03945474,No
9745,NCT03944746,No
9746,NCT03943238,No
9748,NCT03941743,No
9749,NCT03941730,No
9750,NCT03940950,No
9758,NCT03936465,No
9759,NCT03933904,No
9764,NCT03931746,No
9739,NCT03948386,No
9765,NCT03929237,No
9766,NCT03929211,No
9767,NCT03928288,No
9768,NCT03928041,No
9769,NCT03927105,No
9770,NCT03927053,No
9771,NCT03926741,No
9772,NCT03924557,No
9774,NCT03922529,No
9740,NCT03948139,No
9738,NCT03951610,No
9702,NCT03982342,No
9717,NCT03972228,No
9706,NCT03980769,No
9707,NCT03980743,No
9708,NCT03980561,No
9709,NCT03979885,No
9712,NCT03976258,No
9713,NCT03976102,No
9714,NCT03976076,No
9715,NCT03976050,No
9716,NCT03975465,No
9718,NCT03971799,No
9736,NCT03953898,No
9720,NCT03969589,No
9721,NCT03967093,No
9722,NCT03966872,No
9723,NCT03964532,No
9727,NCT03962725,No
9730,NCT03961633,No
9732,NCT03956797,No
9733,NCT03956056,No
9735,NCT03954392,No
9775,NCT03922204,No
9777,NCT03920878,No
9778,NCT03919175,No
9832,NCT03876223,No
9818,NCT03883581,No
9822,NCT03881735,No
9823,NCT03881449,No
9825,NCT03881241,No
9826,NCT03881098,No
9827,NCT03880656,No
9828,NCT03878758,No
9829,NCT03878745,No
9830,NCT03878589,No
9833,NCT03876028,No
9779,NCT03917160,No
9835,NCT03875287,No
9837,NCT03874637,No
9838,NCT03874507,No
9839,NCT03874351,No
9840,NCT03874052,No
9841,NCT03873545,No
9842,NCT03873259,No
9844,NCT03867877,No
9845,NCT03867682,No
9817,NCT03883607,No
9816,NCT03884374,No
9814,NCT03887429,No
9813,NCT03890107,No
9781,NCT03916809,No
9782,NCT03915015,No
9784,NCT03914469,No
9785,NCT03913494,No
9789,NCT03912064,No
9793,NCT03907449,No
9794,NCT03906630,No
9795,NCT03906461,No
9796,NCT03904615,No
9797,NCT03904420,No
9798,NCT03904407,No
9799,NCT03904043,No
9802,NCT03901378,No
9803,NCT03900793,No
9804,NCT03899805,No
9805,NCT03899181,No
9808,NCT03897543,No
9810,NCT03895684,No
9811,NCT03891784,No
9703,NCT03982160,No
9701,NCT03983681,No
9848,NCT03867045,No
9611,NCT04049331,No
9595,NCT04058145,No
9596,NCT04057365,No
9597,NCT04057183,No
9600,NCT04056013,No
9601,NCT04055623,No
9603,NCT04055012,No
9605,NCT04054544,No
9609,NCT04049669,No
9610,NCT04049643,No
9612,NCT04049227,No
9593,NCT04059107,No
9613,NCT04048590,No
9615,NCT04047602,No
9617,NCT04047277,No
9618,NCT04046549,No
9619,NCT04044924,No
9621,NCT04044430,No
9622,NCT04044391,No
9623,NCT04042506,No
9624,NCT04040205,No
9594,NCT04058795,No
9592,NCT04059523,No
9700,NCT03984409,No
9575,NCT04079179,No
9558,NCT04088799,No
9562,NCT04087213,No
9563,NCT04087096,No
9564,NCT04086875,No
9567,NCT04084093,No
9570,NCT04082117,No
9572,NCT04080570,No
9573,NCT04080531,No
9574,NCT04080414,No
9577,NCT04076813,No
9591,NCT04060849,No
9579,NCT04074343,No
9581,NCT04073212,No
9583,NCT04072458,No
9584,NCT04072445,No
9585,NCT04071951,No
9587,NCT04068857,No
9588,NCT04068649,No
9589,NCT04066218,No
9590,NCT04064190,No
9625,NCT04039087,No
9626,NCT04038944,No
9629,NCT04038671,No
9684,NCT03997812,No
9673,NCT04002440,No
9674,NCT04002362,No
9675,NCT04002102,No
9676,NCT04002063,No
9677,NCT04001946,No
9678,NCT04000880,No
9680,NCT04000256,No
9681,NCT03999957,No
9682,NCT03999684,No
9685,NCT03997604,No
9630,NCT04038580,No
9686,NCT03996707,No
9688,NCT03995316,No
9689,NCT03993886,No
9690,NCT03993210,No
9691,NCT03993041,No
9692,NCT03991169,No
9693,NCT03990558,No
9696,NCT03985852,No
9697,NCT03985423,No
9671,NCT04003051,No
9670,NCT04003987,No
9668,NCT04007588,No
9666,NCT04009447,No
9631,NCT04038541,No
9633,NCT04038125,No
9637,NCT04033081,No
9640,NCT04026711,No
9641,NCT04026581,No
9643,NCT04025372,No
9645,NCT04022980,No
9648,NCT04021771,No
9649,NCT04021602,No
9650,NCT04020822,No
9654,NCT04017936,No
9655,NCT04017910,No
9656,NCT04017390,No
9657,NCT04017312,No
9658,NCT04017130,No
9661,NCT04015167,No
9662,NCT04015154,No
9663,NCT04015128,No
9665,NCT04010227,No
9846,NCT03867539,No
9850,NCT03866005,No
9556,NCT04090359,No
9966,NCT03786055,No
9959,NCT03792698,No
81,NCT03801928,No
77,NCT02163525,No
76,NCT00007540,No
9963,NCT03787862,No
74,NCT01087905,No
9964,NCT03787758,No
72,NCT00800267,No
9965,NCT03787680,No
69,NCT02857764,No
84,NCT00573976,No
9967,NCT03785392,No
67,NCT03045120,No
66,NCT02993120,No
64,NCT02848781,No
63,NCT04229212,No
62,NCT03373045,No
9969,NCT03785288,No
9970,NCT03782506,No
9972,NCT03781986,No
83,NCT02128542,No
9958,NCT03793829,No
111,NCT01306266,No
99,NCT02746809,No
9948,NCT03797898,No
107,NCT00351741,No
106,NCT01629537,No
105,NCT00837499,No
104,NCT03390660,No
103,NCT01235260,No
102,NCT03293875,No
101,NCT04552535,No
9949,NCT03797612,No
9950,NCT03796559,No
9957,NCT03794011,No
97,NCT02069925,No
95,NCT02207569,No
9952,NCT03796065,No
9954,NCT03795168,No
91,NCT02109757,No
9955,NCT03795051,No
89,NCT02882100,No
9956,NCT03794102,No
87,NCT04460898,No
57,NCT04163341,No
56,NCT01287247,No
54,NCT02813577,No
15,NCT02911155,No
9985,NCT03773107,No
9986,NCT03772925,No
9989,NCT03771235,No
21,NCT03995745,No
20,NCT02889263,No
19,NCT02429284,No
18,NCT00340457,No
9990,NCT03770832,No
16,NCT00724867,No
9992,NCT03769961,No
53,NCT03197688,No
12,NCT02663219,No
9993,NCT03769727,No
10,NCT00026728,No
9994,NCT03769116,No
9995,NCT03768310,No
7,NCT02019732,No
6,NCT01153880,No
9997,NCT03767738,No
3,NCT01599390,No
9984,NCT03773419,No
9983,NCT03773666,No
29,NCT00646438,No
30,NCT00341588,No
52,NCT04191824,No
9974,NCT03781323,No
9975,NCT03779997,No
9977,NCT03778294,No
47,NCT03199846,No
9978,NCT03777384,No
43,NCT02787538,No
42,NCT03628235,No
41,NCT02395536,No
40,NCT02959827,No
39,NCT04021030,No
38,NCT03952364,No
37,NCT04047316,No
36,NCT03683134,No
35,NCT03242278,No
34,NCT03311295,No
33,NCT02334462,No
9981,NCT03775590,No
9982,NCT03774654,No
9947,NCT03798314,No
113,NCT00005463,No
9851,NCT03865979,No
9899,NCT03832478,No
9890,NCT03838510,No
9891,NCT03838367,No
9892,NCT03837522,No
9893,NCT03837353,No
9894,NCT03836950,No
9895,NCT03833921,No
9896,NCT03833713,No
9897,NCT03833349,No
9898,NCT03833245,No
9901,NCT03829566,No
9887,NCT03841513,No
9902,NCT03828916,No
9903,NCT03828682,No
9905,NCT03825640,No
9906,NCT03825588,No
9907,NCT03823911,No
9908,NCT03823742,No
9909,NCT03823209,No
9912,NCT03821246,No
9915,NCT03819608,No
9888,NCT03840798,No
9885,NCT03842254,No
115,NCT00054743,No
9862,NCT03861091,No
9852,NCT03865381,No
9853,NCT03865212,No
9854,NCT03864965,No
9855,NCT03864146,No
9856,NCT03863743,No
9857,NCT03863522,No
9858,NCT03863353,No
9859,NCT03863327,No
9860,NCT03862053,No
9864,NCT03856034,No
9884,NCT03842670,No
9867,NCT03854721,No
9872,NCT03849456,No
9875,NCT03848923,No
9876,NCT03848650,No
9878,NCT03847467,No
9879,NCT03847194,No
9880,NCT03845465,No
9882,NCT03843528,No
9883,NCT03843294,No
9916,NCT03819387,No
9917,NCT03819088,No
9918,NCT03818191,No
128,NCT03631472,No
9938,NCT03803761,No
137,NCT02406599,No
136,NCT01568424,No
9940,NCT03803553,No
133,NCT01873482,No
132,NCT03488264,No
131,NCT02939131,No
130,NCT00237263,No
129,NCT03699709,No
127,NCT01256164,No
9919,NCT03818087,No
126,NCT00005171,No
125,NCT03933202,No
124,NCT03933215,No
122,NCT03688126,No
120,NCT00245076,No
9943,NCT03801369,No
118,NCT00005455,No
117,NCT02886689,No
116,NCT00730964,No
9937,NCT03804021,No
9936,NCT03804593,No
141,NCT01339546,No
142,NCT02252159,No
9920,NCT03817970,No
9921,NCT03814850,No
9924,NCT03813524,No
9925,NCT03812614,No
9926,NCT03812146,No
9928,NCT03811405,No
9930,NCT03810508,No
157,NCT04281290,No
156,NCT03346603,No
155,NCT01764269,No
154,NCT01112917,No
153,NCT03198793,No
9931,NCT03810417,No
151,NCT01034865,No
150,NCT01028300,No
149,NCT02988934,No
148,NCT02951598,No
146,NCT02856646,No
9935,NCT03804827,No
9557,NCT04089371,No
9555,NCT04090528,No
1042,NCT02373189,No
9192,NCT04409236,No
9182,NCT04421560,No
9183,NCT04419389,No
9185,NCT04417699,No
9186,NCT04415073,No
9187,NCT04414982,No
9188,NCT04411823,No
9189,NCT04411667,No
9190,NCT04410627,No
9191,NCT04410302,No
9195,NCT04404894,No
9176,NCT04427202,No
9196,NCT04404855,No
9197,NCT04404530,No
9198,NCT04403737,No
9199,NCT04401527,No
9200,NCT04401449,No
9202,NCT04399980,No
9203,NCT04398745,No
9204,NCT04398368,No
9205,NCT04393155,No
9181,NCT04422912,No
9175,NCT04428580,No
9142,NCT04469530,No
9156,NCT04452500,No
9144,NCT04467099,No
9146,NCT04466098,No
9148,NCT04463719,No
9149,NCT04463394,No
9150,NCT04462770,No
9151,NCT04461795,No
9152,NCT04460872,No
9153,NCT04459416,No
9155,NCT04456140,No
9158,NCT04452201,No
9172,NCT04432727,No
9159,NCT04451382,No
9161,NCT04448834,No
9162,NCT04448002,No
9164,NCT04443608,No
9165,NCT04441593,No
9166,NCT04440007,No
9167,NCT04439656,No
9170,NCT04436029,No
9171,NCT04433975,No
9208,NCT04391179,No
9210,NCT04388748,No
9211,NCT04388488,No
9254,NCT04350359,No
9243,NCT04359199,No
9246,NCT04355897,No
9247,NCT04355650,No
9248,NCT04355143,No
9249,NCT04354467,No
9250,NCT04354454,No
9251,NCT04354246,No
9252,NCT04353206,No
9253,NCT04351880,No
9255,NCT04349436,No
9213,NCT04387084,No
9257,NCT04348708,No
9258,NCT04344860,No
9259,NCT04344561,No
9260,NCT04344457,No
9261,NCT04344184,No
9262,NCT04342871,No
9263,NCT04342728,No
9264,NCT04342689,No
9265,NCT04342663,No
9242,NCT04360824,No
9241,NCT04364282,No
9240,NCT04365153,No
9239,NCT04365543,No
9214,NCT04386291,No
9215,NCT04386057,No
9216,NCT04384055,No
9217,NCT04383938,No
9219,NCT04382391,No
9221,NCT04380311,No
9223,NCT04379011,No
9224,NCT04378790,No
9225,NCT04378751,No
9226,NCT04378270,No
9227,NCT04378075,No
