,NCTId,Phase
5507,NCT02335905,Phase 2
5866,NCT00004025,Phase 2
5519,NCT01553461,Phase 2
5522,NCT01243437,Phase 2
5861,NCT01241253,Phase 2
5525,NCT01443728,Phase 2
5526,NCT00164294,Phase 2
5857,NCT00133445,Phase 2
5531,NCT02362425,Phase 2
5854,NCT00043706,Phase 2
5535,NCT01466088,Phase 2
5851,NCT00221247,Phase 2
5538,NCT01160458,Phase 2
5847,NCT01793090,Phase 2
5547,NCT01956058,Phase 2
5498,NCT03451773,Phase 2
5492,NCT04027946,Phase 2
5953,NCT01537081,Phase 2
5490,NCT02040142,Phase 2
5408,NCT02853617,Phase 2
5951,NCT01652079,Phase 2
5416,NCT02919306,Phase 2
5418,NCT02031328,Phase 2
5420,NCT03815214,Phase 2
5943,NCT01673828,Phase 2
5941,NCT00633087,Phase 2
5935,NCT00397696,Phase 2
5450,NCT02234011,Phase 2
5451,NCT01966302,Phase 2
5912,NCT01518491,Phase 2
5907,NCT01928849,Phase 2
5904,NCT02307916,Phase 2
5903,NCT02325414,Phase 2
5467,NCT00244361,Phase 2
5480,NCT00837148,Phase 2
5482,NCT00841269,Phase 2
5483,NCT01028144,Phase 2
5884,NCT02749968,Phase 2
5842,NCT01627314,Phase 2
5841,NCT02796651,Phase 2
5558,NCT03020719,Phase 2
5560,NCT01157117,Phase 2
5766,NCT04028960,Phase 2
5764,NCT00923247,Phase 2
5646,NCT01145209,Phase 2
5757,NCT00254176,Phase 2
5755,NCT01191788,Phase 2
5658,NCT01365819,Phase 2
5751,NCT03860077,Phase 2
5668,NCT00080366,Phase 2
5745,NCT02796859,Phase 2
5683,NCT00923936,Phase 2
5733,NCT02602223,Phase 2
5687,NCT00722800,Phase 2
5691,NCT02244463,Phase 2
5728,NCT03775096,Phase 2
5694,NCT03789097,Phase 2
5725,NCT04432272,Phase 2
5719,NCT03541187,Phase 2
5714,NCT00001781,Phase 2
5711,NCT02958267,Phase 2
5768,NCT02281760,Phase 2
5629,NCT00076557,Phase 2
5628,NCT03746769,Phase 2
5580,NCT03194906,Phase 2
5832,NCT04463264,Phase 2
5562,NCT01611194,Phase 2
5829,NCT00525954,Phase 2
5567,NCT02907983,Phase 2
5571,NCT02360007,Phase 2
5825,NCT00219817,Phase 2
5823,NCT00622193,Phase 2
5822,NCT01280344,Phase 2
5814,NCT03194685,Phase 2
5777,NCT00273910,Phase 2
5813,NCT04358549,Phase 2
5808,NCT02249182,Phase 2
5597,NCT03071744,Phase 2
5602,NCT01134510,Phase 2
5605,NCT02759185,Phase 2
5614,NCT01591733,Phase 2
5782,NCT00098384,Phase 2
5781,NCT00338845,Phase 2
5407,NCT03795233,Phase 2
5405,NCT02839915,Phase 2
5130,NCT03009045,Phase 2
5212,NCT04458545,Phase 2
6075,NCT01847469,Phase 2
6072,NCT01943825,Phase 2
5226,NCT01252251,Phase 2
6070,NCT02011542,Phase 2
6067,NCT02025179,Phase 2
5238,NCT04267978,Phase 2
6062,NCT02187198,Phase 2
6060,NCT02303964,Phase 2
6059,NCT02317640,Phase 2
5252,NCT04015778,Phase 2
5254,NCT00932295,Phase 2
5256,NCT02570672,Phase 2
5257,NCT01972464,Phase 2
6051,NCT02535949,Phase 2
5260,NCT02796352,Phase 2
6045,NCT02679560,Phase 2
6037,NCT02988401,Phase 2
5272,NCT02343263,Phase 2
5273,NCT00130377,Phase 2
6076,NCT01845740,Phase 2
6081,NCT01763931,Phase 2
5402,NCT01973608,Phase 2
5207,NCT01253408,Phase 2
6138,NCT00904423,Phase 2
6137,NCT00911248,Phase 2
5136,NCT01286038,Phase 2
5137,NCT02698891,Phase 2
6126,NCT01155024,Phase 2
6123,NCT01265433,Phase 2
5145,NCT01263418,Phase 2
5148,NCT00183989,Phase 2
6119,NCT01305811,Phase 2
5156,NCT01324102,Phase 2
5159,NCT03710356,Phase 2
5162,NCT04500626,Phase 2
5169,NCT01856205,Phase 2
6096,NCT01564407,Phase 2
5192,NCT01109524,Phase 2
5194,NCT01347112,Phase 2
6085,NCT01728753,Phase 2
5198,NCT01575860,Phase 2
5201,NCT00010491,Phase 2
6035,NCT03078530,Phase 2
6030,NCT03150511,Phase 2
5284,NCT02429375,Phase 2
5291,NCT03050814,Phase 2
5346,NCT00396812,Phase 2
5349,NCT00351416,Phase 2
5980,NCT04363164,Phase 2
5359,NCT01133275,Phase 2
5975,NCT04587583,Phase 2
5974,NCT04589611,Phase 2
5369,NCT02954978,Phase 2
5370,NCT02201212,Phase 2
5371,NCT03529422,Phase 2
5376,NCT02452853,Phase 2
5377,NCT00248092,Phase 2
5968,NCT02367521,Phase 2
5964,NCT02949115,Phase 2
5385,NCT01607541,Phase 2
5388,NCT01617083,Phase 2
5394,NCT02086864,Phase 2
5395,NCT03224507,Phase 2
5399,NCT00178802,Phase 2
5400,NCT01235793,Phase 2
5987,NCT04144257,Phase 2
5341,NCT03122301,Phase 2
5336,NCT02879006,Phase 2
5316,NCT02429934,Phase 2
5292,NCT01655043,Phase 2
6022,NCT03366844,Phase 2
5296,NCT00298155,Phase 2
6014,NCT03535688,Phase 2
6012,NCT03552705,Phase 2
5308,NCT02145949,Phase 2
6007,NCT03686813,Phase 2
6004,NCT03763643,Phase 2
5317,NCT01308814,Phase 2
5335,NCT04399889,Phase 2
5318,NCT00341250,Phase 2
5320,NCT00016653,Phase 2
5999,NCT03861390,Phase 2
5322,NCT03152409,Phase 2
5326,NCT03048500,Phase 2
5327,NCT02532010,Phase 2
5329,NCT02638090,Phase 2
5330,NCT00526994,Phase 2
6583,NCT03905642,Phase 2
6584,NCT01175291,Phase 2
4590,NCT01500538,Phase 2
3762,NCT03935828,Phase 2
7080,NCT01505764,Phase 2
3776,NCT00087529,Phase 2
3780,NCT00094055,Phase 2
7076,NCT00635960,Phase 2
7075,NCT02733614,Phase 2
3789,NCT01591681,Phase 2
3793,NCT00028353,Phase 2
3797,NCT02479620,Phase 2
7072,NCT01199380,Phase 2
3804,NCT04482699,Phase 2
3807,NCT00551200,Phase 2
3808,NCT00034294,Phase 2
3810,NCT00094107,Phase 2
3811,NCT01823341,Phase 2
3813,NCT00125138,Phase 2
3816,NCT00106431,Phase 2
3817,NCT01273896,Phase 2
7066,NCT00633009,Phase 2
3825,NCT04408794,Phase 2
3773,NCT00454779,Phase 2
7091,NCT04531592,Phase 2
7141,NCT00123968,Phase 2
7092,NCT04476901,Phase 2
3674,NCT00613730,Phase 2
7133,NCT01484184,Phase 2
3684,NCT00684021,Phase 2
7130,NCT02719860,Phase 2
3689,NCT03812263,Phase 2
7127,NCT04287478,Phase 2
7125,NCT04481048,Phase 2
3700,NCT00729937,Phase 2
3721,NCT01444911,Phase 2
7114,NCT02905981,Phase 2
3728,NCT00249405,Phase 2
3730,NCT00459316,Phase 2
7107,NCT00134784,Phase 2
3740,NCT02253550,Phase 2
7101,NCT02544061,Phase 2
3750,NCT00166088,Phase 2
3753,NCT03284541,Phase 2
3757,NCT00219557,Phase 2
7093,NCT01474057,Phase 2
7061,NCT01005615,Phase 2
7059,NCT01128140,Phase 2
3833,NCT00099957,Phase 2
3835,NCT03422510,Phase 2
7012,NCT03712098,Phase 2
3923,NCT00107666,Phase 2
3926,NCT00453362,Phase 2
3929,NCT00418938,Phase 2
7008,NCT00387296,Phase 2
3931,NCT00507936,Phase 2
3934,NCT00609323,Phase 2
7005,NCT03532139,Phase 2
7004,NCT01220713,Phase 2
3940,NCT02932878,Phase 2
3942,NCT00593983,Phase 2
3945,NCT00121979,Phase 2
6999,NCT02155829,Phase 2
3951,NCT03278626,Phase 2
3955,NCT02720510,Phase 2
3961,NCT03260920,Phase 2
3964,NCT00866788,Phase 2
3965,NCT03254199,Phase 2
6984,NCT00233090,Phase 2
7017,NCT01738360,Phase 2
3910,NCT02797431,Phase 2
3907,NCT02188953,Phase 2
3872,NCT01751451,Phase 2
3839,NCT01234766,Phase 2
3841,NCT04436198,Phase 2
3843,NCT03500159,Phase 2
7051,NCT01626131,Phase 2
3851,NCT00094094,Phase 2
3862,NCT00633321,Phase 2
3868,NCT01904604,Phase 2
3871,NCT00351767,Phase 2
3875,NCT00081900,Phase 2
7019,NCT02041819,Phase 2
3879,NCT00312364,Phase 2
3884,NCT00491738,Phase 2
3886,NCT04130516,Phase 2
7028,NCT00010309,Phase 2
3899,NCT02312050,Phase 2
7020,NCT02033538,Phase 2
3903,NCT00318643,Phase 2
3904,NCT01013324,Phase 2
7140,NCT00138918,Phase 2
7142,NCT01046825,Phase 2
3972,NCT00386542,Phase 2
7356,NCT01670877,Phase 2
7348,NCT02689713,Phase 2
3365,NCT00319839,Phase 2
3366,NCT03519074,Phase 2
7341,NCT01996826,Phase 2
7336,NCT01459107,Phase 2
3384,NCT00672009,Phase 2
7333,NCT01902810,Phase 2
7330,NCT00204477,Phase 2
7325,NCT01838863,Phase 2
7323,NCT03544632,Phase 2
3409,NCT02465463,Phase 2
3410,NCT02861898,Phase 2
7313,NCT00437021,Phase 2
3422,NCT02607124,Phase 2
7306,NCT01683409,Phase 2
3426,NCT00917501,Phase 2
7303,NCT01964859,Phase 2
3437,NCT03723655,Phase 2
7290,NCT03079999,Phase 2
3350,NCT01096771,Phase 2
7357,NCT00096720,Phase 2
3662,NCT00787566,Phase 2
3340,NCT00988169,Phase 2
3281,NCT00411762,Phase 2
3285,NCT00375960,Phase 2
7402,NCT00795821,Phase 2
7398,NCT01725152,Phase 2
7394,NCT01121406,Phase 2
7393,NCT00737893,Phase 2
3295,NCT03287765,Phase 2
3298,NCT00813605,Phase 2
7384,NCT00865553,Phase 2
3303,NCT03196297,Phase 2
7383,NCT01253915,Phase 2
7382,NCT00970944,Phase 2
7381,NCT00751946,Phase 2
3319,NCT03173950,Phase 2
3320,NCT00585689,Phase 2
7368,NCT00042510,Phase 2
7362,NCT02237196,Phase 2
7359,NCT02008877,Phase 2
3339,NCT01578317,Phase 2
7284,NCT01175993,Phase 2
3445,NCT01764685,Phase 2
3451,NCT01780129,Phase 2
3458,NCT00566995,Phase 2
7224,NCT00213096,Phase 2
3577,NCT01389726,Phase 2
3582,NCT01256203,Phase 2
7194,NCT03829358,Phase 2
7193,NCT03885973,Phase 2
3594,NCT02026297,Phase 2
7183,NCT01443078,Phase 2
3609,NCT03966053,Phase 2
3610,NCT00035100,Phase 2
7172,NCT03433183,Phase 2
3620,NCT00440648,Phase 2
7166,NCT03865680,Phase 2
3628,NCT00733096,Phase 2
3631,NCT02587520,Phase 2
7160,NCT02638051,Phase 2
3641,NCT00459615,Phase 2
3650,NCT03739021,Phase 2
3659,NCT01660607,Phase 2
3661,NCT04495569,Phase 2
3547,NCT02969369,Phase 2
7227,NCT00860951,Phase 2
7229,NCT04330326,Phase 2
3492,NCT01509690,Phase 2
3463,NCT00493051,Phase 2
7275,NCT04071600,Phase 2
7274,NCT01052103,Phase 2
7273,NCT00992953,Phase 2
3471,NCT02985801,Phase 2
7272,NCT01338701,Phase 2
3489,NCT00184054,Phase 2
3490,NCT01648140,Phase 2
3494,NCT00581269,Phase 2
3538,NCT00238498,Phase 2
3498,NCT03686618,Phase 2
7257,NCT01031927,Phase 2
3513,NCT03560271,Phase 2
3518,NCT03219359,Phase 2
7240,NCT02191267,Phase 2
3528,NCT00266461,Phase 2
3533,NCT01965756,Phase 2
3537,NCT00005766,Phase 2
6983,NCT00233103,Phase 2
3973,NCT00249782,Phase 2
6586,NCT04576507,Phase 2
4328,NCT03172741,Phase 2
4339,NCT00797940,Phase 2
4344,NCT02661542,Phase 2
4345,NCT02193958,Phase 2
6745,NCT01233609,Phase 2
4363,NCT02479555,Phase 2
6730,NCT01043718,Phase 2
6729,NCT00273351,Phase 2
6728,NCT00310791,Phase 2
6727,NCT00315250,Phase 2
6726,NCT00387075,Phase 2
6725,NCT00402896,Phase 2
6724,NCT00410189,Phase 2
6721,NCT00640445,Phase 2
4386,NCT03185871,Phase 2
6713,NCT01402817,Phase 2
4395,NCT01040832,Phase 2
6711,NCT01425476,Phase 2
6701,NCT02322047,Phase 2
6698,NCT03202303,Phase 2
4329,NCT00683085,Phase 2
6765,NCT04387227,Phase 2
6822,NCT03459846,Phase 2
4324,NCT00044525,Phase 2
6811,NCT04386317,Phase 2
4265,NCT02685826,Phase 2
4266,NCT02206425,Phase 2
4270,NCT02188368,Phase 2
4271,NCT00680979,Phase 2
6795,NCT02238483,Phase 2
4284,NCT01092572,Phase 2
6793,NCT02628483,Phase 2
6792,NCT00178698,Phase 2
4289,NCT03165591,Phase 2
6788,NCT00563784,Phase 2
4291,NCT03278808,Phase 2
4292,NCT02421367,Phase 2
4295,NCT01922856,Phase 2
6783,NCT01611935,Phase 2
4298,NCT00098748,Phase 2
4304,NCT03945162,Phase 2
6778,NCT02334384,Phase 2
6766,NCT04329065,Phase 2
6696,NCT03339258,Phase 2
4416,NCT01321281,Phase 2
4425,NCT03609398,Phase 2
4426,NCT03531242,Phase 2
6655,NCT01876771,Phase 2
6650,NCT03593187,Phase 2
4516,NCT00527722,Phase 2
6646,NCT00884988,Phase 2
4524,NCT00299065,Phase 2
6645,NCT02187224,Phase 2
4528,NCT04607642,Phase 2
4530,NCT03282916,Phase 2
4535,NCT03660917,Phase 2
6631,NCT02831257,Phase 2
4544,NCT00128999,Phase 2
6626,NCT00710502,Phase 2
6625,NCT01662973,Phase 2
6613,NCT03598816,Phase 2
6610,NCT01543997,Phase 2
6597,NCT04531579,Phase 2
6594,NCT01326481,Phase 2
6592,NCT02848469,Phase 2
6589,NCT04596644,Phase 2
6660,NCT02403232,Phase 2
6661,NCT00107991,Phase 2
6666,NCT01861951,Phase 2
6689,NCT04210986,Phase 2
4437,NCT01877421,Phase 2
4443,NCT01556945,Phase 2
6690,NCT04205656,Phase 2
4449,NCT01140191,Phase 2
4450,NCT00984256,Phase 2
4451,NCT00884377,Phase 2
4454,NCT00657917,Phase 2
4455,NCT00415051,Phase 2
4465,NCT00075049,Phase 2
4493,NCT02037555,Phase 2
4467,NCT01954290,Phase 2
6688,NCT04212650,Phase 2
4470,NCT01166412,Phase 2
4477,NCT00716456,Phase 2
4479,NCT03532958,Phase 2
6680,NCT00837239,Phase 2
4488,NCT02971358,Phase 2
6672,NCT00411671,Phase 2
4247,NCT00124514,Phase 2
4241,NCT01717287,Phase 2
6978,NCT00448045,Phase 2
6923,NCT03370991,Phase 2
6916,NCT02301702,Phase 2
6914,NCT04606342,Phase 2
4084,NCT00000641,Phase 2
4089,NCT02199691,Phase 2
4091,NCT02669420,Phase 2
4092,NCT02807454,Phase 2
4097,NCT01889797,Phase 2
4101,NCT03870334,Phase 2
4106,NCT00117689,Phase 2
4107,NCT02804750,Phase 2
4108,NCT00691587,Phase 2
4110,NCT04009291,Phase 2
4111,NCT01181323,Phase 2
4113,NCT04368988,Phase 2
6906,NCT01004094,Phase 2
4115,NCT00302861,Phase 2
4116,NCT02236598,Phase 2
4118,NCT00235300,Phase 2
6903,NCT01039363,Phase 2
4073,NCT00359723,Phase 2
4062,NCT02230332,Phase 2
4239,NCT00089947,Phase 2
6933,NCT01955382,Phase 2
6976,NCT00488969,Phase 2
3979,NCT00905125,Phase 2
3983,NCT01956669,Phase 2
6973,NCT00692575,Phase 2
3985,NCT02933502,Phase 2
3988,NCT04324359,Phase 2
3994,NCT01196429,Phase 2
6967,NCT01115998,Phase 2
4000,NCT01154101,Phase 2
4002,NCT02446626,Phase 2
6962,NCT01429077,Phase 2
4014,NCT01590888,Phase 2
4020,NCT01016483,Phase 2
4022,NCT00819169,Phase 2
4031,NCT02588651,Phase 2
4037,NCT00039741,Phase 2
4041,NCT03117998,Phase 2
4052,NCT02730819,Phase 2
4054,NCT03196375,Phase 2
4129,NCT00385697,Phase 2
6895,NCT01257581,Phase 2
4138,NCT04514653,Phase 2
4139,NCT00364026,Phase 2
4198,NCT00088504,Phase 2
6852,NCT00859781,Phase 2
6850,NCT02286921,Phase 2
6849,NCT02863809,Phase 2
4205,NCT04006119,Phase 2
4207,NCT04295538,Phase 2
4211,NCT02322333,Phase 2
6847,NCT03947216,Phase 2
6845,NCT00119106,Phase 2
4219,NCT02572323,Phase 2
6843,NCT00711087,Phase 2
4225,NCT03474029,Phase 2
6839,NCT03384914,Phase 2
6838,NCT02224365,Phase 2
6829,NCT00751244,Phase 2
6827,NCT01903330,Phase 2
6826,NCT00394264,Phase 2
6824,NCT02206542,Phase 2
4238,NCT03713320,Phase 2
4195,NCT03604705,Phase 2
6856,NCT01353209,Phase 2
4190,NCT02564055,Phase 2
4156,NCT01694849,Phase 2
4145,NCT00135798,Phase 2
6886,NCT03038594,Phase 2
6885,NCT02985255,Phase 2
6882,NCT01019798,Phase 2
6881,NCT04360044,Phase 2
4153,NCT00974259,Phase 2
4154,NCT00857376,Phase 2
4155,NCT02299726,Phase 2
4157,NCT00005007,Phase 2
4186,NCT04357730,Phase 2
6876,NCT01698879,Phase 2
4172,NCT02564042,Phase 2
6874,NCT02796339,Phase 2
6867,NCT03852628,Phase 2
4181,NCT04200443,Phase 2
4183,NCT00680069,Phase 2
4184,NCT02004691,Phase 2
6864,NCT01126697,Phase 2
2326,NCT04018417,Phase 2
5709,NCT00326495,Phase 2
9230,NCT04374565,Phase 2
1808,NCT01520038,Phase 2
9202,NCT04399980,Phase 2
9199,NCT04401527,Phase 2
9186,NCT04415073,Phase 2
9185,NCT04417699,Phase 2
8420,NCT02944578,Phase 2
1818,NCT01561352,Phase 2
9183,NCT04419389,Phase 2
9182,NCT04421560,Phase 2
8421,NCT00553319,Phase 2
9170,NCT04436029,Phase 2
9166,NCT04440007,Phase 2
1773,NCT01563445,Phase 2
9161,NCT04448834,Phase 2
8431,NCT01436214,Phase 2
9156,NCT04452500,Phase 2
8437,NCT00679289,Phase 2
9152,NCT04460872,Phase 2
9150,NCT04462770,Phase 2
9146,NCT04466098,Phase 2
9143,NCT04467723,Phase 2
9142,NCT04469530,Phase 2
8439,NCT02511301,Phase 2
9204,NCT04398368,Phase 2
9207,NCT04392232,Phase 2
9208,NCT04391179,Phase 2
8413,NCT02342795,Phase 2
9283,NCT04329832,Phase 2
8378,NCT04418934,Phase 2
9274,NCT04335682,Phase 2
9267,NCT04341675,Phase 2
9265,NCT04342663,Phase 2
9261,NCT04344184,Phase 2
9260,NCT04344457,Phase 2
1856,NCT00037219,Phase 2
9248,NCT04355143,Phase 2
8390,NCT00496483,Phase 2
9240,NCT04365153,Phase 2
9232,NCT04373044,Phase 2
9231,NCT04374305,Phase 2
9228,NCT04375813,Phase 2
1838,NCT00350337,Phase 2
9227,NCT04378075,Phase 2
9223,NCT04379011,Phase 2
8408,NCT01324999,Phase 2
8409,NCT01253161,Phase 2
9217,NCT04383938,Phase 2
9215,NCT04386057,Phase 2
8441,NCT00621530,Phase 2
9140,NCT04471207,Phase 2
9296,NCT04318145,Phase 2
9026,NCT04568616,Phase 2
9046,NCT04554212,Phase 2
9045,NCT04554914,Phase 2
8478,NCT02929667,Phase 2
9039,NCT04559230,Phase 2
9038,NCT04560673,Phase 2
9037,NCT04561362,Phase 2
9036,NCT04563026,Phase 2
9035,NCT04563754,Phase 2
9030,NCT04566445,Phase 2
1718,NCT00218127,Phase 2
9025,NCT04569747,Phase 2
9136,NCT04477642,Phase 2
9024,NCT04570839,Phase 2
9018,NCT04577001,Phase 2
9015,NCT04579393,Phase 2
9010,NCT04581603,Phase 2
9006,NCT04584710,Phase 2
8483,NCT04232657,Phase 2
8995,NCT04593784,Phase 2
8987,NCT04599881,Phase 2
8985,NCT04604275,Phase 2
8490,NCT00846872,Phase 2
9047,NCT04553133,Phase 2
9049,NCT04551430,Phase 2
8470,NCT00731588,Phase 2
9052,NCT04548648,Phase 2
9132,NCT04479514,Phase 2
9127,NCT04482712,Phase 2
8447,NCT04294264,Phase 2
8448,NCT04253483,Phase 2
9121,NCT04485026,Phase 2
9110,NCT04495283,Phase 2
1754,NCT02915237,Phase 2
8455,NCT00496366,Phase 2
9100,NCT04502407,Phase 2
1751,NCT03576755,Phase 2
9095,NCT04506567,Phase 2
8458,NCT02399215,Phase 2
9092,NCT04510298,Phase 2
8462,NCT03900754,Phase 2
9076,NCT04524858,Phase 2
9075,NCT04524962,Phase 2
1737,NCT01262339,Phase 2
9064,NCT04539002,Phase 2
9061,NCT04540120,Phase 2
9058,NCT04542304,Phase 2
8466,NCT00574769,Phase 2
9293,NCT04319224,Phase 2
1866,NCT02856802,Phase 2
2020,NCT02352259,Phase 2
1953,NCT03153202,Phase 2
1976,NCT04279392,Phase 2
9514,NCT04121858,Phase 2
8303,NCT00026221,Phase 2
9507,NCT04126070,Phase 2
9499,NCT04134559,Phase 2
8312,NCT00004375,Phase 2
8313,NCT00032760,Phase 2
1959,NCT02748889,Phase 2
9493,NCT04142983,Phase 2
1956,NCT00668941,Phase 2
9492,NCT04143711,Phase 2
1941,NCT00218517,Phase 2
9490,NCT04145375,Phase 2
1952,NCT00239915,Phase 2
9487,NCT04146051,Phase 2
9486,NCT04148352,Phase 2
9484,NCT04150848,Phase 2
9483,NCT04150913,Phase 2
8318,NCT04362189,Phase 2
9465,NCT04174677,Phase 2
1946,NCT02836418,Phase 2
9450,NCT04195399,Phase 2
9520,NCT04118036,Phase 2
8301,NCT01468896,Phase 2
9521,NCT04116112,Phase 2
1980,NCT03005639,Phase 2
9590,NCT04064190,Phase 2
9588,NCT04068649,Phase 2
9584,NCT04072445,Phase 2
9575,NCT04079179,Phase 2
8268,NCT00380679,Phase 2
9566,NCT04084210,Phase 2
9559,NCT04088357,Phase 2
9555,NCT04090528,Phase 2
9553,NCT04090775,Phase 2
9551,NCT04091022,Phase 2
9549,NCT04092101,Phase 2
9548,NCT04092387,Phase 2
8284,NCT00089154,Phase 2
8285,NCT00055861,Phase 2
9540,NCT04098744,Phase 2
9539,NCT04103060,Phase 2
8293,NCT00861627,Phase 2
9531,NCT04108858,Phase 2
9529,NCT04109924,Phase 2
8296,NCT00529308,Phase 2
1982,NCT00160979,Phase 2
1943,NCT00613600,Phase 2
1939,NCT04242173,Phase 2
9301,NCT04315558,Phase 2
9332,NCT04291066,Phase 2
1902,NCT02579057,Phase 2
1901,NCT02116205,Phase 2
9358,NCT04263831,Phase 2
1900,NCT00417573,Phase 2
9349,NCT04273139,Phase 2
1896,NCT02651714,Phase 2
9348,NCT04273282,Phase 2
9343,NCT04278781,Phase 2
8353,NCT00704912,Phase 2
1893,NCT03126331,Phase 2
9330,NCT04292119,Phase 2
9438,NCT04207255,Phase 2
9327,NCT04294004,Phase 2
8354,NCT03672240,Phase 2
9325,NCT04294225,Phase 2
9324,NCT04294641,Phase 2
9315,NCT04305145,Phase 2
9314,NCT04305184,Phase 2
8369,NCT01096628,Phase 2
8371,NCT03249103,Phase 2
9303,NCT04313400,Phase 2
1870,NCT02341079,Phase 2
9361,NCT04262869,Phase 2
9367,NCT04257136,Phase 2
9369,NCT04256317,Phase 2
1905,NCT00000418,Phase 2
8322,NCT01219647,Phase 2
8323,NCT00308971,Phase 2
8327,NCT04369742,Phase 2
9434,NCT04209790,Phase 2
9432,NCT04210180,Phase 2
9427,NCT04214249,Phase 2
8334,NCT04060030,Phase 2
9422,NCT04219280,Phase 2
9420,NCT04220190,Phase 2
8337,NCT02246075,Phase 2
1923,NCT00037206,Phase 2
9416,NCT04222712,Phase 2
9408,NCT04228289,Phase 2
9399,NCT04235686,Phase 2
9395,NCT04236635,Phase 2
9393,NCT04238481,Phase 2
8343,NCT03737318,Phase 2
9381,NCT04243486,Phase 2
9380,NCT04246996,Phase 2
9377,NCT04251026,Phase 2
1906,NCT01813227,Phase 2
8983,NCT04605549,Phase 2
8492,NCT01245673,Phase 2
8980,NCT04607200,Phase 2
1328,NCT00657618,Phase 2
8626,NCT01841333,Phase 2
1316,NCT02207608,Phase 2
8726,NCT00098670,Phase 2
8725,NCT00025389,Phase 2
1323,NCT02387203,Phase 2
1498,NCT01494350,Phase 2
8627,NCT01007552,Phase 2
8628,NCT00000398,Phase 2
1325,NCT00662012,Phase 2
8629,NCT01700036,Phase 2
8631,NCT00151047,Phase 2
8638,NCT00619671,Phase 2
8724,NCT00039468,Phase 2
8723,NCT02189889,Phase 2
1488,NCT01560754,Phase 2
8634,NCT02019667,Phase 2
1485,NCT02092142,Phase 2
8719,NCT00006264,Phase 2
1482,NCT03051386,Phase 2
1481,NCT03867162,Phase 2
1348,NCT00001723,Phase 2
1476,NCT02285777,Phase 2
8624,NCT04207060,Phase 2
1312,NCT00220805,Phase 2
8623,NCT04313504,Phase 2
1506,NCT01651533,Phase 2
8755,NCT00903695,Phase 2
1523,NCT00183911,Phase 2
1522,NCT00159432,Phase 2
1521,NCT00159445,Phase 2
1519,NCT00183898,Phase 2
8616,NCT03854032,Phase 2
8752,NCT02819141,Phase 2
8751,NCT03932773,Phase 2
8749,NCT01982435,Phase 2
1515,NCT00197054,Phase 2
1280,NCT01166815,Phase 2
1514,NCT00183885,Phase 2
8747,NCT04374630,Phase 2
8746,NCT02665143,Phase 2
1287,NCT00220779,Phase 2
8743,NCT04488575,Phase 2
1509,NCT00159484,Phase 2
1299,NCT01216982,Phase 2
8739,NCT02496780,Phase 2
8733,NCT00831766,Phase 2
1309,NCT00263887,Phase 2
8706,NCT00482274,Phase 2
1473,NCT02140762,Phase 2
8974,NCT02002819,Phase 2
1425,NCT00787826,Phase 2
8681,NCT00963807,Phase 2
1435,NCT00164619,Phase 2
1433,NCT01264952,Phase 2
8679,NCT02513563,Phase 2
1431,NCT00582088,Phase 2
1430,NCT00582504,Phase 2
1429,NCT00584194,Phase 2
1428,NCT00584454,Phase 2
1427,NCT00584805,Phase 2
1426,NCT00584844,Phase 2
1424,NCT00869713,Phase 2
8704,NCT02963090,Phase 2
8668,NCT03456804,Phase 2
1401,NCT00372606,Phase 2
8677,NCT03071406,Phase 2
1403,NCT00006604,Phase 2
1406,NCT02601469,Phase 2
8675,NCT00885963,Phase 2
8669,NCT01505868,Phase 2
1409,NCT00068367,Phase 2
8674,NCT00764517,Phase 2
1413,NCT03591510,Phase 2
8663,NCT00939055,Phase 2
8685,NCT00002940,Phase 2
1445,NCT00271999,Phase 2
8688,NCT04159896,Phase 2
1354,NCT00494260,Phase 2
8698,NCT03384836,Phase 2
8697,NCT00515255,Phase 2
8645,NCT00995696,Phase 2
1466,NCT00880035,Phase 2
1367,NCT02867358,Phase 2
1368,NCT00857662,Phase 2
8649,NCT01733017,Phase 2
8696,NCT03614949,Phase 2
8652,NCT04305457,Phase 2
1370,NCT02654509,Phase 2
8654,NCT01222689,Phase 2
1456,NCT03400475,Phase 2
1371,NCT02466750,Phase 2
8659,NCT03592264,Phase 2
1376,NCT00299741,Phase 2
1449,NCT00642603,Phase 2
8691,NCT00118157,Phase 2
8690,NCT00410904,Phase 2
1379,NCT00907972,Phase 2
1447,NCT00764322,Phase 2
8756,NCT02487485,Phase 2
8765,NCT00280748,Phase 2
8770,NCT00124280,Phase 2
1634,NCT02443090,Phase 2
8898,NCT04004325,Phase 2
1043,NCT02030990,Phase 2
1054,NCT00935337,Phase 2
8872,NCT04497116,Phase 2
1073,NCT01306968,Phase 2
1076,NCT04468360,Phase 2
1641,NCT00585104,Phase 2
8866,NCT01104701,Phase 2
1086,NCT00936715,Phase 2
1637,NCT03334175,Phase 2
8859,NCT01045421,Phase 2
1251,NCT01715220,Phase 2
8548,NCT04231851,Phase 2
1628,NCT00722124,Phase 2
8554,NCT00268242,Phase 2
8851,NCT01835223,Phase 2
1620,NCT01725087,Phase 2
8848,NCT01033942,Phase 2
1115,NCT01975818,Phase 2
8843,NCT00400803,Phase 2
8558,NCT04401904,Phase 2
1605,NCT02142712,Phase 2
8527,NCT00723203,Phase 2
8902,NCT00122512,Phase 2
8903,NCT00122486,Phase 2
8521,NCT04018092,Phase 2
