,NCTId,DesignPrimaryPurpose
6803,NCT02039895,Treatment
4920,NCT00159458,Treatment
3425,NCT03329001,Treatment
3426,NCT00917501,Treatment
7548,NCT01125124,Treatment
4917,NCT01915160,Treatment
7545,NCT03343197,Treatment
4916,NCT01946867,Treatment
7542,NCT00473928,Treatment
7541,NCT01396187,Treatment
4914,NCT00688298,Treatment
3434,NCT04526158,Treatment
4913,NCT02136628,Treatment
6808,NCT02129114,Treatment
3405,NCT03022929,Treatment
3403,NCT00678132,Treatment
6820,NCT04215445,Treatment
3378,NCT01998802,Treatment
3384,NCT00672009,Treatment
6788,NCT00563784,Treatment
4942,NCT02165644,Treatment
3381,NCT01966224,Treatment
3380,NCT00592046,Treatment
7570,NCT04238910,Treatment
7572,NCT01988909,Treatment
7559,NCT01605903,Treatment
7573,NCT01824589,Treatment
3375,NCT00464971,Treatment
7574,NCT00110526,Treatment
7575,NCT04398784,Treatment
7576,NCT04045132,Treatment
7580,NCT03834584,Treatment
6792,NCT00178698,Treatment
3386,NCT01392573,Treatment
4935,NCT04549493,Treatment
6795,NCT02238483,Treatment
7563,NCT01775670,Treatment
3390,NCT02774317,Treatment
4933,NCT03042182,Treatment
7562,NCT00711373,Treatment
3393,NCT02116712,Treatment
4932,NCT00588471,Treatment
7561,NCT03005054,Treatment
3396,NCT01597596,Treatment
7560,NCT00974402,Treatment
3398,NCT03974061,Treatment
3399,NCT01740596,Treatment
3400,NCT01817660,Treatment
3401,NCT00646451,Treatment
3437,NCT03723655,Treatment
4910,NCT04570449,Treatment
3439,NCT01128764,Treatment
3482,NCT01636999,Treatment
3488,NCT03201159,Treatment
3487,NCT01482962,Treatment
3486,NCT01215721,Treatment
3485,NCT02880540,Treatment
4893,NCT02609308,Treatment
6817,NCT01190033,Treatment
4895,NCT03696290,Treatment
4908,NCT02155153,Treatment
3480,NCT00506597,Treatment
3479,NCT00308958,Treatment
3478,NCT00013910,Treatment
4897,NCT02414529,Treatment
3476,NCT01831765,Treatment
3475,NCT02078934,Treatment
3489,NCT00184054,Treatment
3490,NCT01648140,Treatment
3491,NCT00256789,Treatment
7520,NCT00396526,Treatment
4892,NCT01625910,Treatment
3494,NCT00581269,Treatment
3495,NCT02122445,Treatment
3496,NCT01982825,Treatment
3497,NCT01502592,Treatment
3498,NCT03686618,Treatment
6818,NCT04176328,Treatment
3500,NCT04434352,Treatment
3501,NCT01230021,Treatment
4890,NCT01390649,Treatment
6819,NCT01005836,Treatment
3504,NCT02989701,Treatment
3505,NCT02021149,Treatment
3474,NCT00050856,Treatment
4898,NCT02684071,Treatment
6811,NCT04386317,Treatment
7531,NCT02787759,Treatment
3441,NCT03184792,Treatment
4906,NCT00940784,Treatment
7535,NCT00627250,Treatment
7534,NCT00675974,Treatment
3445,NCT01764685,Treatment
7533,NCT00702637,Treatment
4905,NCT01803464,Treatment
3448,NCT00238472,Treatment
4904,NCT03111810,Treatment
3450,NCT00675584,Treatment
3451,NCT01780129,Treatment
3452,NCT03180242,Treatment
3453,NCT01045447,Treatment
7532,NCT02026167,Treatment
3456,NCT00307398,Treatment
3471,NCT02985801,Treatment
3457,NCT03282669,Treatment
3458,NCT00566995,Treatment
3459,NCT03161470,Treatment
3460,NCT00465192,Treatment
3461,NCT01586767,Treatment
3462,NCT00581061,Treatment
3463,NCT00493051,Treatment
7529,NCT03338530,Treatment
7528,NCT04250688,Treatment
7527,NCT02983864,Treatment
4903,NCT02443220,Treatment
3468,NCT00366587,Treatment
3469,NCT00324155,Treatment
3470,NCT00572039,Treatment
4830,NCT02511041,Treatment
7432,NCT01750684,Treatment
3936,NCT00039962,Treatment
3839,NCT01234766,Treatment
3845,NCT01261767,Treatment
3844,NCT00324571,Treatment
3843,NCT03500159,Treatment
3842,NCT02207517,Treatment
3841,NCT04436198,Treatment
3840,NCT02750930,Treatment
4793,NCT00561054,Treatment
3830,NCT01123577,Treatment
7352,NCT03065101,Treatment
7353,NCT03385304,Treatment
3835,NCT03422510,Treatment
3834,NCT02519777,Treatment
3833,NCT00099957,Treatment
7354,NCT00788398,Treatment
3846,NCT00078598,Treatment
3847,NCT00000172,Treatment
4792,NCT02956174,Treatment
3849,NCT03263975,Treatment
3851,NCT00094094,Treatment
7347,NCT02877680,Treatment
4787,NCT00858403,Treatment
4786,NCT02023151,Treatment
7344,NCT02243774,Treatment
3856,NCT00747734,Treatment
6880,NCT01498458,Treatment
3858,NCT02595073,Treatment
3859,NCT01745887,Treatment
3860,NCT02802306,Treatment
7341,NCT01996826,Treatment
3862,NCT00633321,Treatment
3863,NCT04302727,Treatment
3831,NCT00325754,Treatment
3829,NCT04450966,Treatment
4784,NCT01594190,Treatment
3803,NCT03553576,Treatment
3810,NCT00094107,Treatment
3808,NCT00034294,Treatment
3807,NCT00551200,Treatment
3806,NCT00578812,Treatment
3805,NCT02378740,Treatment
3804,NCT04482699,Treatment
7364,NCT04063592,Treatment
3828,NCT00002120,Treatment
7365,NCT02289287,Treatment
7368,NCT00042510,Treatment
3799,NCT00332852,Treatment
3797,NCT02479620,Treatment
7369,NCT01967680,Treatment
3795,NCT01899976,Treatment
6875,NCT00523224,Treatment
3812,NCT01264887,Treatment
3813,NCT00125138,Treatment
3814,NCT03407625,Treatment
7362,NCT02237196,Treatment
3816,NCT00106431,Treatment
3817,NCT01273896,Treatment
7359,NCT02008877,Treatment
7358,NCT01996254,Treatment
3820,NCT00481143,Treatment
3821,NCT00796419,Treatment
6876,NCT01698879,Treatment
4794,NCT01557400,Treatment
7356,NCT01670877,Treatment
3825,NCT04408794,Treatment
3826,NCT00732147,Treatment
7355,NCT03386539,Treatment
3864,NCT03924414,Treatment
3866,NCT04504734,Treatment
7431,NCT02706873,Treatment
7317,NCT00822692,Treatment
3918,NCT00040027,Treatment
3917,NCT03684070,Treatment
6889,NCT00693121,Treatment
3915,NCT00972283,Treatment
3914,NCT00325117,Treatment
3913,NCT02583178,Treatment
4770,NCT00915681,Treatment
6885,NCT02985255,Treatment
3910,NCT02797431,Treatment
4771,NCT04509622,Treatment
4772,NCT00624585,Treatment
4773,NCT03499509,Treatment
7321,NCT01093053,Treatment
6886,NCT03038594,Treatment
3919,NCT03343795,Treatment
3920,NCT00389779,Treatment
3921,NCT01589692,Treatment
3922,NCT00926796,Treatment
4768,NCT01622959,Treatment
3924,NCT04431622,Treatment
3925,NCT04387305,Treatment
3926,NCT00453362,Treatment
3927,NCT03354663,Treatment
4767,NCT00255229,Treatment
3929,NCT00418938,Treatment
3930,NCT01625468,Treatment
3931,NCT00507936,Treatment
3932,NCT00250575,Treatment
3933,NCT00000980,Treatment
3934,NCT00609323,Treatment
3935,NCT00481715,Treatment
3904,NCT01013324,Treatment
7322,NCT01208870,Treatment
7339,NCT02678247,Treatment
3875,NCT00081900,Treatment
6882,NCT01019798,Treatment
6881,NCT04360044,Treatment
3879,NCT00312364,Treatment
4782,NCT03333876,Treatment
3877,NCT02173379,Treatment
4783,NCT01054833,Treatment
7336,NCT01459107,Treatment
7323,NCT03544632,Treatment
3873,NCT00171990,Treatment
3872,NCT01751451,Treatment
3871,NCT00351767,Treatment
3870,NCT01486264,Treatment
7337,NCT00947596,Treatment
3868,NCT01904604,Treatment
3882,NCT02820519,Treatment
7333,NCT01902810,Treatment
3884,NCT00491738,Treatment
3885,NCT03146897,Treatment
3886,NCT04130516,Treatment
7332,NCT02587351,Treatment
4777,NCT04287257,Treatment
7329,NCT01301053,Treatment
7326,NCT01556581,Treatment
3893,NCT04589819,Treatment
3894,NCT04296344,Treatment
3895,NCT04246424,Treatment
3896,NCT00523978,Treatment
7325,NCT01838863,Treatment
3898,NCT01117974,Treatment
3899,NCT02312050,Treatment
3900,NCT03305016,Treatment
3794,NCT00414947,Treatment
7371,NCT03882515,Treatment
3791,NCT00069446,Treatment
3695,NCT03107468,Treatment
3701,NCT01742117,Treatment
3700,NCT00729937,Treatment
3699,NCT00110240,Treatment
7410,NCT02595034,Treatment
3697,NCT00368134,Treatment
3696,NCT00335790,Treatment
7412,NCT00615940,Treatment
3686,NCT03650556,Treatment
3693,NCT03218787,Treatment
7413,NCT04060017,Treatment
3691,NCT00294242,Treatment
3690,NCT04468776,Treatment
3689,NCT03812263,Treatment
7414,NCT02374060,Treatment
3702,NCT01980485,Treatment
3703,NCT00395876,Treatment
3704,NCT00102388,Treatment
7409,NCT03168776,Treatment
3706,NCT02824276,Treatment
3707,NCT02673229,Treatment
3708,NCT00233337,Treatment
7408,NCT03329404,Treatment
3710,NCT00312845,Treatment
3711,NCT01733394,Treatment
3712,NCT01272232,Treatment
4819,NCT01033188,Treatment
3714,NCT00294723,Treatment
3715,NCT00539175,Treatment
3716,NCT00307580,Treatment
3717,NCT00736775,Treatment
3718,NCT00232076,Treatment
3687,NCT00347412,Treatment
3685,NCT03571893,Treatment
3790,NCT00351832,Treatment
3660,NCT03224819,Treatment
7424,NCT01768650,Treatment
4827,NCT03040791,Treatment
3664,NCT01261325,Treatment
7425,NCT01454154,Treatment
6854,NCT04100564,Treatment
3661,NCT04495569,Treatment
3659,NCT01660607,Treatment
3684,NCT00684021,Treatment
3658,NCT00260156,Treatment
3657,NCT00718588,Treatment
3656,NCT01668667,Treatment
3655,NCT03992469,Treatment
7428,NCT02216812,Treatment
6853,NCT00007748,Treatment
7423,NCT03276572,Treatment
7422,NCT02629068,Treatment
4825,NCT04588727,Treatment
3670,NCT00232115,Treatment
3671,NCT01512095,Treatment
3672,NCT00321295,Treatment
7420,NCT00201006,Treatment
3674,NCT00613730,Treatment
3675,NCT01925794,Treatment
3676,NCT03790137,Treatment
3677,NCT00414778,Treatment
6855,NCT02878850,Treatment
3679,NCT00084136,Treatment
7419,NCT03713970,Treatment
4823,NCT02485145,Treatment
3682,NCT00389675,Treatment
7417,NCT01426555,Treatment
3719,NCT00528840,Treatment
7406,NCT01416948,Treatment
7404,NCT01399099,Treatment
3766,NCT03976869,Treatment
7378,NCT02907697,Treatment
7379,NCT02504931,Treatment
7380,NCT03521154,Treatment
3769,NCT00668928,Treatment
7381,NCT00751946,Treatment
7382,NCT00970944,Treatment
3765,NCT01338506,Treatment
7402,NCT00795821,Treatment
7383,NCT01253915,Treatment
3763,NCT01685034,Treatment
3762,NCT03935828,Treatment
7385,NCT00048932,Treatment
4805,NCT03845985,Treatment
3759,NCT03966755,Treatment
3773,NCT00454779,Treatment
3774,NCT04023357,Treatment
3775,NCT03636477,Treatment
3776,NCT00087529,Treatment
3777,NCT00486018,Treatment
3778,NCT00485836,Treatment
6866,NCT03760497,Treatment
3780,NCT00094055,Treatment
7376,NCT00756600,Treatment
3782,NCT03969329,Treatment
7375,NCT01049516,Treatment
3784,NCT01713777,Treatment
7373,NCT01170546,Treatment
3786,NCT00097071,Treatment
7372,NCT03952182,Treatment
3788,NCT00325429,Treatment
6867,NCT03852628,Treatment
7387,NCT01312922,Treatment
3757,NCT00219557,Treatment
4806,NCT03065647,Treatment
7394,NCT01121406,Treatment
4817,NCT03086395,Treatment
4816,NCT03794882,Treatment
4815,NCT01068522,Treatment
3727,NCT00528606,Treatment
3728,NCT00249405,Treatment
3729,NCT02191137,Treatment
6856,NCT01353209,Treatment
3731,NCT01786993,Treatment
3732,NCT03059004,Treatment
3733,NCT00353574,Treatment
6860,NCT02792114,Treatment
3735,NCT00101673,Treatment
7398,NCT01725152,Treatment
4812,NCT03656679,Treatment
3739,NCT04545320,Treatment
7389,NCT00130312,Treatment
3740,NCT02253550,Treatment
3742,NCT01638104,Treatment
3743,NCT04461353,Treatment
3744,NCT00330369,Treatment
3745,NCT03588741,Treatment
3746,NCT02987257,Treatment
7393,NCT00737893,Treatment
3748,NCT04335929,Treatment
7392,NCT01611350,Treatment
4808,NCT00279617,Treatment
7391,NCT04094298,Treatment
7390,NCT00130208,Treatment
6864,NCT01126697,Treatment
3754,NCT03834142,Treatment
2236,NCT02396589,Treatment
2254,NCT02236572,Treatment
2234,NCT02924857,Treatment
9078,NCT04524273,Treatment
9066,NCT04535986,Treatment
9073,NCT04526665,Treatment
9074,NCT04526509,Treatment
9075,NCT04524962,Treatment
9076,NCT04524858,Treatment
9077,NCT04524715,Treatment
9079,NCT04523636,Treatment
5841,NCT02796651,Treatment
9080,NCT04523337,Treatment
5832,NCT04463264,Treatment
5836,NCT02081391,Treatment
6273,NCT00606580,Treatment
9090,NCT04513899,Treatment
5840,NCT02830945,Treatment
5826,NCT04515069,Treatment
9064,NCT04539002,Treatment
9063,NCT04539158,Treatment
9061,NCT04540120,Treatment
9059,NCT04541550,Treatment
5825,NCT00219817,Treatment
9057,NCT04542551,Treatment
9055,NCT04545957,Treatment
9054,NCT04546581,Treatment
9052,NCT04548648,Treatment
9051,NCT04549051,Treatment
9049,NCT04551430,Treatment
5824,NCT01387269,Treatment
9047,NCT04553133,Treatment
9046,NCT04554212,Treatment
9045,NCT04554914,Treatment
9044,NCT04555811,Treatment
9092,NCT04510298,Treatment
9094,NCT04508348,Treatment
5822,NCT01280344,Treatment
9122,NCT04485013,Treatment
9116,NCT04486716,Treatment
5847,NCT01793090,Treatment
9118,NCT04486313,Treatment
6269,NCT00992693,Treatment
9120,NCT04485559,Treatment
9121,NCT04485026,Treatment
6268,NCT01032382,Treatment
9095,NCT04506567,Treatment
9124,NCT04484337,Treatment
9125,NCT04483440,Treatment
9126,NCT04483206,Treatment
9127,NCT04482712,Treatment
9128,NCT04481919,Treatment
9129,NCT04480346,Treatment
9115,NCT04488055,Treatment
5846,NCT00291161,Treatment
9113,NCT04494698,Treatment
6270,NCT00868946,Treatment
9111,NCT04495257,Treatment
9110,NCT04495283,Treatment
9107,NCT04497129,Treatment
9106,NCT04497363,Treatment
9105,NCT04498520,Treatment
6271,NCT00703924,Treatment
9103,NCT04499937,Treatment
9102,NCT04501796,Treatment
9100,NCT04502407,Treatment
9099,NCT04502706,Treatment
9098,NCT04505410,Treatment
6272,NCT00623168,Treatment
5842,NCT01627314,Treatment
5823,NCT00622193,Treatment
5821,NCT01387282,Treatment
8953,NCT04606966,Treatment
8984,NCT04605198,Treatment
8975,NCT01721044,Treatment
6282,NCT00298610,Treatment
8979,NCT04607668,Treatment
8980,NCT04607200,Treatment
8981,NCT04606030,Treatment
8983,NCT04605549,Treatment
8985,NCT04604275,Treatment
8995,NCT04593784,Treatment
8987,NCT04599881,Treatment
8988,NCT04599751,Treatment
8989,NCT04598321,Treatment
8991,NCT04597957,Treatment
8992,NCT04596241,Treatment
8993,NCT04595903,Treatment
8974,NCT02002819,Treatment
8973,NCT02422485,Treatment
8972,NCT00886821,Treatment
8971,NCT04182334,Treatment
8970,NCT04524351,Treatment
5805,NCT01967654,Treatment
5802,NCT03198156,Treatment
6285,NCT00162981,Treatment
8965,NCT02728076,Treatment
8963,NCT00882557,Treatment
5800,NCT00694551,Treatment
5799,NCT01328197,Treatment
8959,NCT03436953,Treatment
6286,NCT02156271,Treatment
8957,NCT01302938,Treatment
8956,NCT03611660,Treatment
8955,NCT02290223,Treatment
5808,NCT02249182,Treatment
8996,NCT04593693,Treatment
9039,NCT04559230,Treatment
9026,NCT04568616,Treatment
9019,NCT04576871,Treatment
5816,NCT02496962,Treatment
5817,NCT03654053,Treatment
9023,NCT04570930,Treatment
9024,NCT04570839,Treatment
9025,NCT04569747,Treatment
9029,NCT04566874,Treatment
8997,NCT04592783,Treatment
9030,NCT04566445,Treatment
9034,NCT04564443,Treatment
5818,NCT01272284,Treatment
9036,NCT04563026,Treatment
9037,NCT04561362,Treatment
5820,NCT01395914,Treatment
9018,NCT04577001,Treatment
9017,NCT04577313,Treatment
9015,NCT04579393,Treatment
5814,NCT03194685,Treatment
9013,NCT04580524,Treatment
5813,NCT04358549,Treatment
9010,NCT04581603,Treatment
9009,NCT04582214,Treatment
5812,NCT03111550,Treatment
5810,NCT00792519,Treatment
9005,NCT04584762,Treatment
5809,NCT02553291,Treatment
9003,NCT04587713,Treatment
9002,NCT04587804,Treatment
9000,NCT04591288,Treatment
8999,NCT04592549,Treatment
8998,NCT04592601,Treatment
9130,NCT04480086,Treatment
5850,NCT03164616,Treatment
5851,NCT00221247,Treatment
9267,NCT04341675,Treatment
9261,NCT04344184,Treatment
5890,NCT01477450,Treatment
5891,NCT00811954,Treatment
9264,NCT04342689,Treatment
9265,NCT04342663,Treatment
9266,NCT04341727,Treatment
9268,NCT04341311,Treatment
9282,NCT04330183,Treatment
9269,NCT04340622,Treatment
5892,NCT01947179,Treatment
9275,NCT04334382,Treatment
5894,NCT02253654,Treatment
9278,NCT04332523,Treatment
9280,NCT04330482,Treatment
9260,NCT04344457,Treatment
9259,NCT04344561,Treatment
5889,NCT01477710,Treatment
9255,NCT04349436,Treatment
9254,NCT04350359,Treatment
6246,NCT03883477,Treatment
9252,NCT04353206,Treatment
9251,NCT04354246,Treatment
6250,NCT04283513,Treatment
9248,NCT04355143,Treatment
5885,NCT01988402,Treatment
9246,NCT04355897,Treatment
9242,NCT04360824,Treatment
9240,NCT04365153,Treatment
9239,NCT04365543,Treatment
5884,NCT02749968,Treatment
9236,NCT04368702,Treatment
9281,NCT04330391,Treatment
9283,NCT04329832,Treatment
9134,NCT04478695,Treatment
9325,NCT04294225,Treatment
9315,NCT04305145,Treatment
9317,NCT04302948,Treatment
5904,NCT02307916,Treatment
6243,NCT02630043,Treatment
9322,NCT04295642,Treatment
9324,NCT04294641,Treatment
9326,NCT04294043,Treatment
9284,NCT04328467,Treatment
9327,NCT04294004,Treatment
9330,NCT04292119,Treatment
9332,NCT04291066,Treatment
9333,NCT04288752,Treatment
5908,NCT01882244,Treatment
9336,NCT04284514,Treatment
9314,NCT04305184,Treatment
9310,NCT04305743,Treatment
9309,NCT04306146,Treatment
5902,NCT02632422,Treatment
9306,NCT04309812,Treatment
5899,NCT04302181,Treatment
9303,NCT04313400,Treatment
5898,NCT00951171,Treatment
9301,NCT04315558,Treatment
5897,NCT03030794,Treatment
5896,NCT01845636,Treatment
9297,NCT04317586,Treatment
9296,NCT04318145,Treatment
9294,NCT04319198,Treatment
9293,NCT04319224,Treatment
6245,NCT01294982,Treatment
9285,NCT04327596,Treatment
9234,NCT04372433,Treatment
9233,NCT04372641,Treatment
9232,NCT04373044,Treatment
9166,NCT04440007,Treatment
9156,NCT04452500,Treatment
5866,NCT00004025,Treatment
9161,NCT04448834,Treatment
9162,NCT04448002,Treatment
9164,NCT04443608,Treatment
9165,NCT04441593,Treatment
9170,NCT04436029,Treatment
9231,NCT04374305,Treatment
5869,NCT01829997,Treatment
9172,NCT04432727,Treatment
5870,NCT01105091,Treatment
5871,NCT03250338,Treatment
9178,NCT04426526,Treatment
9181,NCT04422912,Treatment
5865,NCT03157531,Treatment
5864,NCT00664898,Treatment
9153,NCT04459416,Treatment
6261,NCT01790659,Treatment
6263,NCT01536795,Treatment
9150,NCT04462770,Treatment
9149,NCT04463394,Treatment
5859,NCT02759328,Treatment
9146,NCT04466098,Treatment
9143,NCT04467723,Treatment
9142,NCT04469530,Treatment
6265,NCT01290601,Treatment
9140,NCT04471207,Treatment
5855,NCT03293524,Treatment
5854,NCT00043706,Treatment
9136,NCT04477642,Treatment
6266,NCT01083576,Treatment
9182,NCT04421560,Treatment
9183,NCT04419389,Treatment
5873,NCT01435512,Treatment
9212,NCT04388319,Treatment
9230,NCT04374565,Treatment
6253,NCT02491606,Treatment
6254,NCT02488980,Treatment
9227,NCT04378075,Treatment
9226,NCT04378270,Treatment
6255,NCT02488902,Treatment
9224,NCT04378790,Treatment
9221,NCT04380311,Treatment
9219,NCT04382391,Treatment
6256,NCT02483260,Treatment
9217,NCT04383938,Treatment
9215,NCT04386057,Treatment
9214,NCT04386291,Treatment
9213,NCT04387084,Treatment
9211,NCT04388488,Treatment
9185,NCT04417699,Treatment
5879,NCT03486561,Treatment
9208,NCT04391179,Treatment
9207,NCT04392232,Treatment
5878,NCT00392873,Treatment
9203,NCT04398745,Treatment
9202,NCT04399980,Treatment
9199,NCT04401527,Treatment
5877,NCT01941862,Treatment
5876,NCT02139397,Treatment
5875,NCT03406104,Treatment
9193,NCT04407377,Treatment
5874,NCT04307420,Treatment
9189,NCT04411667,Treatment
9186,NCT04415073,Treatment
5797,NCT04073901,Treatment
8951,NCT03197454,Treatment
1133,NCT03078751,Treatment
6330,NCT03332563,Treatment
5721,NCT01574937,Treatment
5724,NCT00655967,Treatment
1039,NCT03306602,Treatment
5725,NCT04432272,Treatment
1037,NCT01478061,Treatment
1036,NCT02719964,Treatment
8739,NCT02496780,Treatment
5728,NCT03775096,Treatment
6328,NCT00779220,Treatment
8740,NCT01954576,Treatment
8742,NCT04443088,Treatment
8743,NCT04488575,Treatment
1029,NCT03771196,Treatment
1028,NCT00809627,Treatment
8735,NCT01678079,Treatment
6331,NCT04477083,Treatment
5719,NCT03541187,Treatment
1045,NCT04607356,Treatment
1046,NCT02419443,Treatment
8733,NCT00831766,Treatment
6333,NCT04374591,Treatment
1049,NCT02899247,Treatment
6335,NCT04278495,Treatment
8729,NCT04542642,Treatment
1053,NCT02420041,Treatment
1054,NCT00935337,Treatment
8728,NCT03722316,Treatment
8727,NCT00085124,Treatment
1057,NCT03421561,Treatment
8726,NCT00098670,Treatment
1059,NCT04031365,Treatment
1027,NCT00701259,Treatment
1025,NCT01771575,Treatment
8724,NCT00039468,Treatment
5738,NCT00876434,Treatment
6325,NCT04510844,Treatment
5733,NCT02602223,Treatment
6322,NCT01497678,Treatment
1002,NCT01686282,Treatment
8757,NCT00596284,Treatment
6321,NCT00565149,Treatment
6320,NCT00622050,Treatment
8745,NCT01394003,Treatment
8764,NCT03261661,Treatment
8765,NCT00280748,Treatment
8769,NCT02754557,Treatment
8770,NCT00124280,Treatment
5740,NCT04418518,Treatment
8772,NCT02041923,Treatment
1006,NCT02876575,Treatment
8753,NCT04458194,Treatment
1008,NCT00350077,Treatment
1009,NCT00243243,Treatment
1010,NCT02641158,Treatment
8752,NCT02819141,Treatment
1012,NCT02581748,Treatment
8751,NCT03932773,Treatment
8750,NCT01090011,Treatment
1016,NCT00978484,Treatment
8749,NCT01982435,Treatment
1018,NCT02098499,Treatment
5730,NCT03080493,Treatment
8747,NCT04374630,Treatment
1021,NCT02874131,Treatment
8746,NCT02665143,Treatment
1023,NCT02755831,Treatment
8725,NCT00025389,Treatment
8723,NCT02189889,Treatment
8950,NCT03900949,Treatment
8699,NCT02746263,Treatment
1114,NCT01841957,Treatment
8134,NCT00000273,Treatment
6344,NCT02932475,Treatment
8697,NCT00515255,Treatment
8698,NCT03384836,Treatment
1109,NCT01873417,Treatment
8700,NCT01454284,Treatment
6342,NCT03763539,Treatment
5700,NCT01794949,Treatment
6343,NCT02665520,Treatment
5702,NCT03052530,Treatment
8703,NCT02992977,Treatment
5703,NCT04241471,Treatment
5704,NCT04240483,Treatment
1115,NCT01975818,Treatment
1116,NCT01152918,Treatment
6345,NCT01065064,Treatment
8694,NCT00435617,Treatment
1119,NCT00004986,Treatment
8693,NCT03868930,Treatment
1121,NCT01419769,Treatment
6346,NCT02635971,Treatment
8692,NCT00462358,Treatment
8691,NCT00118157,Treatment
8690,NCT00410904,Treatment
8689,NCT02520115,Treatment
1127,NCT03073343,Treatment
1128,NCT01605864,Treatment
5695,NCT04475172,Treatment
5694,NCT03789097,Treatment
8688,NCT04159896,Treatment
8704,NCT02963090,Treatment
6341,NCT03795532,Treatment
8722,NCT04524104,Treatment
8716,NCT03602014,Treatment
8713,NCT04221997,Treatment
5714,NCT00001781,Treatment
1075,NCT00618956,Treatment
1074,NCT00208156,Treatment
1073,NCT01306968,Treatment
5715,NCT02000739,Treatment
8717,NCT00955084,Treatment
8706,NCT00482274,Treatment
8718,NCT00058045,Treatment
8719,NCT00006264,Treatment
8720,NCT00006018,Treatment
8721,NCT00004930,Treatment
1065,NCT01589978,Treatment
1064,NCT00130676,Treatment
1078,NCT01120509,Treatment
1079,NCT00128479,Treatment
1080,NCT01411839,Treatment
8712,NCT01834794,Treatment
8711,NCT02973399,Treatment
6336,NCT04239066,Treatment
5712,NCT03249779,Treatment
1085,NCT00352729,Treatment
1086,NCT00936715,Treatment
8710,NCT00004263,Treatment
5711,NCT02958267,Treatment
1089,NCT01688960,Treatment
5709,NCT00326495,Treatment
6340,NCT03795545,Treatment
8707,NCT03758625,Treatment
1095,NCT00620867,Treatment
1096,NCT01982474,Treatment
8774,NCT01127633,Treatment
8775,NCT01616797,Treatment
8776,NCT00813423,Treatment
6296,NCT02953860,Treatment
8889,NCT00178048,Treatment
8890,NCT03422367,Treatment
8891,NCT00773617,Treatment
8893,NCT01664624,Treatment
8894,NCT02754687,Treatment
8895,NCT04233918,Treatment
8897,NCT01797159,Treatment
8907,NCT00148902,Treatment
8898,NCT04004325,Treatment
8899,NCT01721798,Treatment
5781,NCT00338845,Treatment
5783,NCT00156351,Treatment
5784,NCT03067649,Treatment
5785,NCT03634527,Treatment
6298,NCT01843686,Treatment
8887,NCT03796208,Treatment
8885,NCT02071121,Treatment
8884,NCT02624193,Treatment
8882,NCT01882010,Treatment
8880,NCT03600532,Treatment
8879,NCT01764698,Treatment
8878,NCT01021644,Treatment
8877,NCT02734667,Treatment
6299,NCT01326104,Treatment
5777,NCT00273910,Treatment
8874,NCT01216891,Treatment
8873,NCT00759746,Treatment
8872,NCT04497116,Treatment
8871,NCT01137006,Treatment
8869,NCT02972255,Treatment
8866,NCT01104701,Treatment
5786,NCT02454010,Treatment
8908,NCT00323635,Treatment
6319,NCT00671944,Treatment
8941,NCT01511107,Treatment
8933,NCT02217007,Treatment
6292,NCT03796884,Treatment
8935,NCT03635905,Treatment
8937,NCT03434769,Treatment
6291,NCT03892746,Treatment
8940,NCT01878175,Treatment
8942,NCT01566461,Treatment
6295,NCT02955394,Treatment
8944,NCT03869970,Treatment
6289,NCT03600324,Treatment
8946,NCT01743976,Treatment
8947,NCT03762161,Treatment
6288,NCT00518713,Treatment
6287,NCT01335009,Treatment
8932,NCT03951064,Treatment
6293,NCT03663361,Treatment
8930,NCT02497937,Treatment
8929,NCT01128621,Treatment
8928,NCT00555425,Treatment
8925,NCT04068662,Treatment
8924,NCT03808675,Treatment
8923,NCT01909752,Treatment
8922,NCT03859011,Treatment
8921,NCT03687086,Treatment
6294,NCT03347552,Treatment
8919,NCT00595231,Treatment
8917,NCT04154670,Treatment
8915,NCT01979601,Treatment
8912,NCT03356639,Treatment
8911,NCT00248612,Treatment
8910,NCT02391727,Treatment
6300,NCT01119326,Treatment
8864,NCT01496378,Treatment
8863,NCT02926677,Treatment
5753,NCT00237094,Treatment
5752,NCT03881020,Treatment
8803,NCT01921179,Treatment
8805,NCT01214655,Treatment
8806,NCT01693874,Treatment
8807,NCT02535572,Treatment
8808,NCT00866411,Treatment
8811,NCT02696291,Treatment
6302,NCT00508586,Treatment
5756,NCT01995812,Treatment
8813,NCT01671332,Treatment
5757,NCT00254176,Treatment
8815,NCT02290639,Treatment
5758,NCT02236390,Treatment
8817,NCT00104156,Treatment
8801,NCT03912350,Treatment
8799,NCT03170206,Treatment
5750,NCT00417742,Treatment
5747,NCT02188563,Treatment
8795,NCT00183339,Treatment
8794,NCT02150681,Treatment
8793,NCT01992341,Treatment
8791,NCT03385486,Treatment
8790,NCT03300297,Treatment
6317,NCT01264757,Treatment
8788,NCT02431494,Treatment
8786,NCT03395314,Treatment
8785,NCT04123223,Treatment
8784,NCT03750409,Treatment
5745,NCT02796859,Treatment
8780,NCT01802944,Treatment
8778,NCT04086264,Treatment
8819,NCT01448447,Treatment
5759,NCT03848221,Treatment
8821,NCT03137082,Treatment
8841,NCT02117336,Treatment
6304,NCT02388880,Treatment
8859,NCT01045421,Treatment
6306,NCT01948947,Treatment
5771,NCT03882437,Treatment
8854,NCT01994473,Treatment
8852,NCT03723395,Treatment
8851,NCT01835223,Treatment
