,NCTId,ArmGroupLabel,,,,,,NCTId,ArmGroupLabel
33,NCT02334462,Group 3- Mali,,,,,,NCT04112628,0
109,NCT01927835,Group 2B: Treatment,,,,,,NCT04112134,0
1109,NCT01927835,Group 2B: Treatment,,,,,,NCT04106934,0
109,NCT01927835,Group 2A: Treatment,,,,,,NCT04096495,0
1109,NCT01927835,Group 2A: Treatment,,,,,,NCT04087395,0
114,NCT03382418,Group 2: gp145 C.6980 (low dose),,,,,,NCT04085328,0
1114,NCT03382418,Group 2: gp145 C.6980 (low dose),,,,,,NCT04083742,0
1049,NCT02773979,Group 2: PfSPZ 102400 sporozoites/Placebo,,,,,,NCT04082078,0
49,NCT02773979,Group 2: PfSPZ 102400 sporozoites/Placebo,,,,,,NCT04081727,0
28,NCT01262079,Group 2: 16-25 years old,,,,,,NCT04079842,0
1028,NCT01262079,Group 2: 16-25 years old,,,,,,NCT04079816,0
1033,NCT02334462,Group 2-U.S,,,,,,NCT04078490,0
33,NCT02334462,Group 2-U.S,,,,,,NCT04073823,0
1033,NCT02334462,Group 2- Mali,,,,,,NCT04069585,0
33,NCT02334462,Group 2- Mali,,,,,,NCT04068818,0
109,NCT01927835,Group 1B: Treatment,,,,,,NCT04065659,0
1109,NCT01927835,Group 1B: Treatment,,,,,,NCT04064606,0
1109,NCT01927835,Group 1A: Treatment,,,,,,NCT04060524,0
109,NCT01927835,Group 1A: Treatment,,,,,,NCT04057105,0
1114,NCT03382418,Group 1: gp145 C.6980 (high dose),,,,,,NCT04056494,0
114,NCT03382418,Group 1: gp145 C.6980 (high dose),,,,,,NCT04055519,0
1049,NCT02773979,Group 1: PfSPZ 51200 sporozoites/Placebo,,,,,,NCT04055324,0
49,NCT02773979,Group 1: PfSPZ 51200 sporozoites/Placebo,,,,,,NCT04054401,0
28,NCT01262079,Group 1: 6-15 years old,,,,,,NCT04046627,0
1028,NCT01262079,Group 1: 6-15 years old,,,,,,NCT04043234,0
33,NCT02334462,Group 1-U.S,,,,,,NCT04040933,0
1033,NCT02334462,Group 1-U.S,,,,,,NCT04036747,0
33,NCT02334462,Group 1- Mali,,,,,,NCT04035161,0
1033,NCT02334462,Group 1- Mali,,,,,,NCT04033315,0
127,NCT01256164,Gelfoam,,,,,,NCT04032977,0
1127,NCT01256164,Gelfoam,,,,,,NCT04031989,0
147,NCT01940679,Fresh pound cake,,,,,,NCT04031976,0
1147,NCT01940679,Fresh pound cake,,,,,,NCT04030702,0
1147,NCT01940679,Fresh meat stick,,,,,,NCT04011826,0
147,NCT01940679,Fresh meat stick,,,,,,NCT04008836,0
72,NCT00800267,Fixed combination of latanoprost 0.005% and timolol 0.5%,,,,,,NCT04005586,0
1072,NCT00800267,Fixed combination of latanoprost 0.005% and timolol 0.5%,,,,,,NCT04003831,0
69,NCT02857764,First-time Non-SGLT2i AHA New Users,,,,,,NCT03999944,0
1069,NCT02857764,First-time Non-SGLT2i AHA New Users,,,,,,NCT03997357,0
79,NCT02766634,Filgrastim Hospira (US) followed by U.S.-approved Neupogen®,,,,,,NCT03996187,0
86,NCT02766647,Filgrastim Hospira (US) followed by U.S.-approved Neupogen®,,,,,,NCT03995355,0
1079,NCT02766634,Filgrastim Hospira (US) followed by U.S.-approved Neupogen®,,,,,,NCT03992768,0
1086,NCT02766647,Filgrastim Hospira (US) followed by U.S.-approved Neupogen®,,,,,,NCT03991468,0
127,NCT01256164,Fibrocaps + Gelfoam,,,,,,NCT03972995,0
1127,NCT01256164,Fibrocaps + Gelfoam,,,,,,NCT03971721,0
1044,NCT01290393,Exposed vaccinated cohort,,,,,,NCT03969875,0
44,NCT01290393,Exposed vaccinated cohort,,,,,,NCT03967184,0
1157,NCT04281290,Experimental group,,,,,,NCT03964831,0
1026,NCT04004260,Experimental group,,,,,,NCT03953274,0
157,NCT04281290,Experimental group,,,,,,NCT03950895,0
26,NCT04004260,Experimental group,,,,,,NCT03949335,0
1071,NCT03353480,Experimental,,,,,,NCT03944629,0
71,NCT03353480,Experimental,,,,,,NCT03942016,0
1075,NCT02616198,EquiaFil G-coat,,,,,,NCT03941912,0
75,NCT02616198,EquiaFil G-coat,,,,,,NCT03934463,0
1075,NCT02616198,EquiaFil Fuji Varnish,,,,,,NCT03934125,0
75,NCT02616198,EquiaFil Fuji Varnish,,,,,,NCT03931213,0
31,NCT04562636,Environment-focused Meatless Monday messages,,,,,,NCT03925545,0
1031,NCT04562636,Environment-focused Meatless Monday messages,,,,,,NCT03920280,0
57,NCT04163341,Enhanced Usual Care,,,,,,NCT03918928,0
1057,NCT04163341,Enhanced Usual Care,,,,,,NCT03912584,0
131,NCT02939131,Enhanced Standard of Care,,,,,,NCT03911700,0
1131,NCT02939131,Enhanced Standard of Care,,,,,,NCT03898778,0
85,NCT00306007,English prenatal,,,,,,NCT03897751,0
1085,NCT00306007,English prenatal,,,,,,NCT03897712,0
1085,NCT00306007,English abortion clinic,,,,,,NCT03895034,0
85,NCT00306007,English abortion clinic,,,,,,NCT03888352,0
69,NCT02857764,Empagliflozin New Users,,,,,,NCT03872609,0
1069,NCT02857764,Empagliflozin New Users,,,,,,NCT03872466,0
1091,NCT02109757,Education only,,,,,,NCT03871179,0
91,NCT02109757,Education only,,,,,,NCT03864848,0
42,NCT03628235,Early stage HDGECs,,,,,,NCT03864081,0
1042,NCT03628235,Early stage HDGECs,,,,,,NCT03862300,0
97,NCT02069925,Early Detection (ED),,,,,,NCT03858140,0
1097,NCT02069925,Early Detection (ED),,,,,,NCT03851510,0
1063,NCT04229212,Drainage,,,,,,NCT03839199,0
63,NCT04229212,Drainage,,,,,,NCT03835026,0
112,NCT00796315,Doxylamine Succinate (USP),,,,,,NCT03812679,0
1112,NCT00796315,Doxylamine Succinate (USP),,,,,,NCT03805074,0
1025,NCT03867409,Dis-concordant virtual human,,,,,,NCT03799549,0
25,NCT03867409,Dis-concordant virtual human,,,,,,NCT03790046,0
1025,NCT03867409,Dis-concordant text,,,,,,NCT03789669,0
25,NCT03867409,Dis-concordant text,,,,,,NCT03788551,0
135,NCT01369030,Deplin®,,,,,,NCT03782116,0
1135,NCT01369030,Deplin®,,,,,,NCT03779984,0
1052,NCT04191824,Delayed Return of Results,,,,,,NCT03771521,0
52,NCT04191824,Delayed Return of Results,,,,,,NCT03771352,0
1059,NCT02867722,Daylight PDT,,,,,,NCT03764254,0
59,NCT02867722,Daylight PDT,,,,,,NCT03748823,0
1069,NCT02857764,Dapagliflozin New Users,,,,,,NCT03748771,0
69,NCT02857764,Dapagliflozin New Users,,,,,,NCT03748316,0
47,NCT03199846,Dabrafenib + trametinib combination therapy,,,,,,NCT03748264,0
1047,NCT03199846,Dabrafenib + trametinib combination therapy,,,,,,NCT03736798,0
1081,NCT03801928,Crohn's Disease,,,,,,NCT03730480,0
81,NCT03801928,Crohn's Disease,,,,,,NCT03729024,0
14,NCT01861210,Couples Counseling and Testing,,,,,,NCT03728309,0
1014,NCT01861210,Couples Counseling and Testing,,,,,,NCT03716492,0
95,NCT02207569,CoreValve Evolut R TAVR system,,,,,,NCT03713281,0
1095,NCT02207569,CoreValve Evolut R TAVR system,,,,,,NCT03708393,0
99,NCT02746809,CoreValve Evolut 34R TAVR system,,,,,,NCT03706430,0
1099,NCT02746809,CoreValve Evolut 34R TAVR system,,,,,,NCT03704636,0
107,NCT00351741,Conventional,,,,,,NCT03700372,0
1107,NCT00351741,Conventional,,,,,,NCT03700047,0
18,NCT00340457,Controls,,,,,,NCT03696316,0
30,NCT00341588,Controls,,,,,,NCT03692741,0
1030,NCT00341588,Controls,,,,,,NCT03685136,0
1018,NCT00340457,Controls,,,,,,NCT03682432,0
1043,NCT02787538,Control group (Online medication guide),,,,,,NCT03681886,0
43,NCT02787538,Control group (Online medication guide),,,,,,NCT03681496,0
45,NCT04263311,Control group,,,,,,NCT03678103,0
1045,NCT04263311,Control group,,,,,,NCT03677388,0
1017,NCT03973905,Control Group,,,,,,NCT03670277,0
17,NCT03973905,Control Group,,,,,,NCT03663010,0
129,NCT03699709,Control Arm,,,,,,NCT03642431,0
1129,NCT03699709,Control Arm,,,,,,NCT03641937,0
12,NCT02663219,Control,,,,,,NCT03631550,0
1012,NCT02663219,Control,,,,,,NCT03628898,0
1046,NCT00875641,Concurrent Control cohort,,,,,,NCT03617822,0
46,NCT00875641,Concurrent Control cohort,,,,,,NCT03614130,0
1025,NCT03867409,Concordant virtual human,,,,,,NCT03613363,0
25,NCT03867409,Concordant virtual human,,,,,,NCT03611101,0
1025,NCT03867409,Concordant text,,,,,,NCT03604900,0
25,NCT03867409,Concordant text,,,,,,NCT03604562,0
42,NCT03628235,Companions of middle stage HDGECs,,,,,,NCT03604432,0
1042,NCT03628235,Companions of middle stage HDGECs,,,,,,NCT03601182,0
42,NCT03628235,Companions of late stage HDGECs,,,,,,NCT03600194,0
1042,NCT03628235,Companions of late stage HDGECs,,,,,,NCT03599271,0
1042,NCT03628235,Companions of early stage HDGECs,,,,,,NCT03589911,0
42,NCT03628235,Companions of early stage HDGECs,,,,,,NCT03586167,0
1045,NCT04263311,Community Health Workers (CHW) treatment group,,,,,,NCT03578302,0
45,NCT04263311,Community Health Workers (CHW) treatment group,,,,,,NCT03574259,0
1062,NCT03373045,Cohort of US adults with severe asthma,,,,,,NCT03564366,0
62,NCT03373045,Cohort of US adults with severe asthma,,,,,,NCT03560141,0
142,NCT02252159,Cohort B,,,,,,NCT03550807,0
1142,NCT02252159,Cohort B,,,,,,NCT03540576,0
1142,NCT02252159,Cohort A,,,,,,NCT03538561,0
142,NCT02252159,Cohort A,,,,,,NCT03525704,0
66,NCT02993120,Cohort 3,,,,,,NCT03523208,0
1066,NCT02993120,Cohort 3,,,,,,NCT03508778,0
121,NCT00935623,Cohort 2,,,,,,NCT03502200,0
1121,NCT00935623,Cohort 2,,,,,,NCT03500341,0
1066,NCT02993120,Cohort 2,,,,,,NCT03497910,0
66,NCT02993120,Cohort 2,,,,,,NCT03488849,0
1121,NCT00935623,Cohort 1,,,,,,NCT03488238,0
1066,NCT02993120,Cohort 1,,,,,,NCT03482297,0
66,NCT02993120,Cohort 1,,,,,,NCT03477370,0
121,NCT00935623,Cohort 1,,,,,,NCT03467204,0
39,NCT04021030,Cognitive Behavioral Therapy (CBT),,,,,,NCT03465514,0
1039,NCT04021030,Cognitive Behavioral Therapy (CBT),,,,,,NCT03462576,0
1124,NCT03933215,Cladribine Tablets,,,,,,NCT03451786,0
1125,NCT03933202,Cladribine Tablets,,,,,,NCT03442842,0
124,NCT03933215,Cladribine Tablets,,,,,,NCT03441971,0
125,NCT03933202,Cladribine Tablets,,,,,,NCT03441880,0
56,NCT01287247,Cervical Dystonia,,,,,,NCT03441477,0
1056,NCT01287247,Cervical Dystonia,,,,,,NCT03439189,0
1140,NCT01370954,CerefolinNAC®,,,,,,NCT03435224,0
140,NCT01370954,CerefolinNAC®,,,,,,NCT03435211,0
1018,NCT00340457,Cases,,,,,,NCT03431883,0
1030,NCT00341588,Cases,,,,,,NCT03423251,0
18,NCT00340457,Cases,,,,,,NCT03421145,0
30,NCT00341588,Cases,,,,,,NCT03418545,0
69,NCT02857764,Canagliflozin New Users,,,,,,NCT03408444,0
1069,NCT02857764,Canagliflozin New Users,,,,,,NCT03388138,0
1073,NCT00601835,Canadian Td Vaccine Group,,,,,,NCT03384381,0
73,NCT00601835,Canadian Td Vaccine Group,,,,,,NCT03372434,0
1108,NCT01965561,CRoC,,,,,,NCT03372343,0
108,NCT01965561,CRoC,,,,,,NCT03371160,0
131,NCT02939131,COMB-R,,,,,,NCT03366194,0
1131,NCT02939131,COMB-R,,,,,,NCT03351192,0
1057,NCT04163341,CETA protocol,,,,,,NCT03345121,0
57,NCT04163341,CETA protocol,,,,,,NCT03345017,0
1087,NCT04460898,Breast Cancer Patients,,,,,,NCT03339388,0
87,NCT04460898,Breast Cancer Patients,,,,,,NCT03336944,0
56,NCT01287247,Blepharospasm,,,,,,NCT03329794,0
1056,NCT01287247,Blepharospasm,,,,,,NCT03323515,0
1016,NCT00724867,Belimumab 10 mg/kg,,,,,,NCT03315117,0
16,NCT00724867,Belimumab 10 mg/kg,,,,,,NCT03299933,0
16,NCT00724867,Belimumab 1 mg/kg,,,,,,NCT03275532,0
1016,NCT00724867,Belimumab 1 mg/kg,,,,,,NCT03272308,0
1152,NCT02352532,Asymmptomatic - Dry Needling,,,,,,NCT03269097,0
152,NCT02352532,Asymmptomatic - Dry Needling,,,,,,NCT03268356,0
1036,NCT03683134,American Heart Association group,,,,,,NCT03268265,0
36,NCT03683134,American Heart Association group,,,,,,NCT03267134,0
1006,NCT01153880,Age <9 months uncertain,,,,,,NCT03257410,0
6,NCT01153880,Age <9 months uncertain,,,,,,NCT03251079,0
6,NCT01153880,Age <9 months definitive,,,,,,NCT03246503,0
1006,NCT01153880,Age <9 months definitive,,,,,,NCT03242148,0
105,NCT00837499,African-American Women in U.S.,,,,,,NCT03239574,0
1105,NCT00837499,African-American Women in U.S.,,,,,,NCT03236519,0
1077,NCT02163525,Ablation vs Myomectomy,,,,,,NCT03235791,0
77,NCT02163525,Ablation vs Myomectomy,,,,,,NCT03233945,0
1077,NCT02163525,Ablation vs Embolization,,,,,,NCT03230877,0
77,NCT02163525,Ablation vs Embolization,,,,,,NCT03230747,0
1064,NCT02848781,Ablation Only (Registry),,,,,,NCT03219567,0
64,NCT02848781,Ablation Only (Registry),,,,,,NCT03198988,0
34,NCT03311295,ARTO System,,,,,,NCT03190564,0
1034,NCT03311295,ARTO System,,,,,,NCT03182660,0
1108,NCT01965561,AAJT,,,,,,NCT03172949,0
108,NCT01965561,AAJT,,,,,,NCT03150407,0
1006,NCT01153880,9 months to 6 years,,,,,,NCT03148613,0
6,NCT01153880,9 months to 6 years,,,,,,NCT03147820,0
1006,NCT01153880,7 to 18 years,,,,,,NCT03147482,0
6,NCT01153880,7 to 18 years,,,,,,NCT03147417,0
1006,NCT01153880,66 years and older,,,,,,NCT03143127,0
6,NCT01153880,66 years and older,,,,,,NCT03142594,0
74,NCT01087905,"6 Wks Nicotine Patch+Nic Gum, No CMAC",,,,,,NCT03142581,0
1074,NCT01087905,"6 Wks Nicotine Patch+Nic Gum, No CMAC",,,,,,NCT03138369,0
74,NCT01087905,6 Wks Nicotine Patch+Nic Gum plus CMAC,,,,,,NCT03138343,0
1074,NCT01087905,6 Wks Nicotine Patch+Nic Gum plus CMAC,,,,,,NCT03134989,0
74,NCT01087905,"6 Weeks of Nicotine Patch Only, No CMAC",,,,,,NCT03132363,0
1074,NCT01087905,"6 Weeks of Nicotine Patch Only, No CMAC",,,,,,NCT03132350,0
1074,NCT01087905,6 Weeks of Nicotine Patch Only plus CMAC,,,,,,NCT03129152,0
74,NCT01087905,6 Weeks of Nicotine Patch Only plus CMAC,,,,,,NCT03128840,0
1004,NCT00312702,50µg dose FMP011,,,,,,NCT03128632,0
4,NCT00312702,50µg dose FMP011,,,,,,NCT03127566,0
1005,NCT00312663,50ug dose FMP011,,,,,,NCT03127540,0
5,NCT00312663,50ug dose FMP011,,,,,,NCT03127527,0
1055,NCT00666380,50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant,,,,,,NCT03127501,0
55,NCT00666380,50 ug of FMP010 antigen in 0.5 mL AS01B adjuvant,,,,,,NCT03127488,0
78,NCT03310112,4-week MBAT,,,,,,NCT03125135,0
1078,NCT03310112,4-week MBAT,,,,,,NCT03125122,0
78,NCT03310112,2-week MBAT,,,,,,NCT03125109,0
1078,NCT03310112,2-week MBAT,,,,,,NCT03125096,0
1074,NCT01087905,"2 Wks Nicotine Patch+Nic Gum, No CMAC",,,,,,NCT03125044,0
74,NCT01087905,"2 Wks Nicotine Patch+Nic Gum, No CMAC",,,,,,NCT03124992,0
1074,NCT01087905,2 Wks Nicotine Patch+Nic Gum plus CMAC,,,,,,NCT03124953,0
74,NCT01087905,2 Wks Nicotine Patch+Nic Gum plus CMAC,,,,,,NCT03124940,0
1074,NCT01087905,"2 Weeks of Nicotine Patch Only, No CMAC",,,,,,NCT03124888,0
74,NCT01087905,"2 Weeks of Nicotine Patch Only, No CMAC",,,,,,NCT03124849,0
1074,NCT01087905,2 Weeks of Nicotine Patch Only plus CMAC,,,,,,NCT03124810,0
74,NCT01087905,2 Weeks of Nicotine Patch Only plus CMAC,,,,,,NCT03124745,0
93,NCT00960479,2,,,,,,NCT03124732,0
92,NCT00959933,2,,,,,,NCT03124719,0
1013,NCT00121108,2,,,,,,NCT03124706,0
1029,NCT00646438,2,,,,,,NCT03124264,0
1022,NCT00928694,2,,,,,,NCT03124251,0
1092,NCT00959933,2,,,,,,NCT03123380,0
13,NCT00121108,2,,,,,,NCT03123341,0
22,NCT00928694,2,,,,,,NCT03122379,0
117,NCT02886689,2,,,,,,NCT03120702,0
29,NCT00646438,2,,,,,,NCT03100760,0
1093,NCT00960479,2,,,,,,NCT03098602,0
1117,NCT02886689,2,,,,,,NCT03073148,0
6,NCT01153880,19 to 65 years,,,,,,NCT03072186,0
1006,NCT01153880,19 to 65 years,,,,,,NCT03066063,0
4,NCT00312702,10µg dose FMP011,,,,,,NCT03038074,0
1004,NCT00312702,10µg dose FMP011,,,,,,NCT03035318,0
1005,NCT00312663,10ug dose FMP011,,,,,,NCT03034902,0
5,NCT00312663,10ug dose FMP011,,,,,,NCT03021707,0
55,NCT00666380,10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant,,,,,,NCT03021473,0
1055,NCT00666380,10 ug of FMP010 antigen in 0.5 mL AS01B adjuvant,,,,,,NCT03019107,0
1022,NCT00928694,1,,,,,,NCT03017742,0
92,NCT00959933,1,,,,,,NCT03003767,0
117,NCT02886689,1,,,,,,NCT02995421,0
1024,NCT00413673,1,,,,,,NCT02986789,0
22,NCT00928694,1,,,,,,NCT02972892,0
13,NCT00121108,1,,,,,,NCT02970799,0
1070,NCT00412568,1,,,,,,NCT02966210,0
93,NCT00960479,1,,,,,,NCT02957071,0
29,NCT00646438,1,,,,,,NCT02956928,0
1117,NCT02886689,1,,,,,,NCT02948751,0
1029,NCT00646438,1,,,,,,NCT02938637,0
1013,NCT00121108,1,,,,,,NCT02922621,0
1093,NCT00960479,1,,,,,,NCT02919566,0
70,NCT00412568,1,,,,,,NCT02918942,0
1092,NCT00959933,1,,,,,,NCT02916823,0
24,NCT00413673,1,,,,,,NCT02913560,0
1103,NCT01235260,2,,,,,,NCT02911376,0
103,NCT01235260,2,,,,,,NCT02910674,0
1103,NCT01235260,1,,,,,,NCT02907203,0
103,NCT01235260,1,,,,,,NCT02904382,0
1401,NCT03704636,-,,,,,,NCT02888626,0
1394,NCT03730480,-,,,,,,NCT02872844,0
1381,NCT03790046,-,,,,,,NCT02870959,0
1399,NCT03708393,-,,,,,,NCT02870881,0
1382,NCT03789669,-,,,,,,NCT02863796,0
1383,NCT03788551,-,,,,,,NCT02863432,0
1384,NCT03782116,-,,,,,,NCT02862080,0
1402,NCT03700372,-,,,,,,NCT02858089,0
1398,NCT03713281,-,,,,,,NCT02856490,0
1413,NCT03663010,-,,,,,,NCT02849847,0
1397,NCT03716492,-,,,,,,NCT02842970,0
1412,NCT03670277,-,,,,,,NCT02841397,0
1411,NCT03677388,-,,,,,,NCT02833571,0
1403,NCT03700047,-,,,,,,NCT02811328,0
1396,NCT03728309,-,,,,,,NCT02810080,0
1395,NCT03729024,-,,,,,,NCT02805933,0
1385,NCT03779984,-,,,,,,NCT02805777,0
1410,NCT03678103,-,,,,,,NCT02800057,0
1393,NCT03736798,-,,,,,,NCT02799342,0
1392,NCT03748264,-,,,,,,NCT02799329,0
1404,NCT03696316,-,,,,,,NCT02795689,0
1405,NCT03692741,-,,,,,,NCT02787343,0
1406,NCT03685136,-,,,,,,NCT02784431,0
1386,NCT03771521,-,,,,,,NCT02771119,0
1407,NCT03682432,-,,,,,,NCT02764580,0
1408,NCT03681886,-,,,,,,NCT02761759,0
1387,NCT03771352,-,,,,,,NCT02756260,0
1388,NCT03764254,-,,,,,,NCT02746289,0
1391,NCT03748316,-,,,,,,NCT02746120,0
1389,NCT03748823,-,,,,,,NCT02719444,0
1409,NCT03681496,-,,,,,,NCT02716155,0
1390,NCT03748771,-,,,,,,NCT02712931,0
1400,NCT03706430,-,,,,,,NCT02711254,0
1336,NCT04005586,-,,,,,,NCT02699021,0
1380,NCT03799549,-,,,,,,NCT02698787,0
1347,NCT03967184,-,,,,,,NCT02698397,0
1356,NCT03934125,-,,,,,,NCT02697604,0
1355,NCT03934463,-,,,,,,NCT02686450,0
1354,NCT03941912,-,,,,,,NCT02684110,0
1353,NCT03942016,-,,,,,,NCT02680964,0
1352,NCT03944629,-,,,,,,NCT02680860,0
1351,NCT03949335,-,,,,,,NCT02662049,0
1350,NCT03950895,-,,,,,,NCT02638883,0
1349,NCT03953274,-,,,,,,NCT02634996,0
1348,NCT03964831,-,,,,,,NCT02634554,0
1346,NCT03969875,-,,,,,,NCT02634125,0
1379,NCT03805074,-,,,,,,NCT02631213,0
1345,NCT03971721,-,,,,,,NCT02626624,0
1344,NCT03972995,-,,,,,,NCT02624739,0
1343,NCT03991468,-,,,,,,NCT02622919,0
1342,NCT03992768,-,,,,,,NCT02599519,0
1341,NCT03995355,-,,,,,,NCT02597296,0
1340,NCT03996187,-,,,,,,NCT02596464,0
1339,NCT03997357,-,,,,,,NCT02579486,0
1338,NCT03999944,-,,,,,,NCT02576210,0
1337,NCT04003831,-,,,,,,NCT02561052,0
1357,NCT03931213,-,,,,,,NCT02553395,0
1358,NCT03925545,-,,,,,,NCT02548429,0
1359,NCT03920280,-,,,,,,NCT02543814,0
1360,NCT03918928,-,,,,,,NCT02540577,0
1378,NCT03812679,-,,,,,,NCT02540564,0
1377,NCT03835026,-,,,,,,NCT02535234,0
1376,NCT03839199,-,,,,,,NCT02525783,0
1375,NCT03851510,-,,,,,,NCT02517645,0
1374,NCT03858140,-,,,,,,NCT02506400,0
1373,NCT03862300,-,,,,,,NCT02495116,0
1372,NCT03864081,-,,,,,,NCT02480829,0
1371,NCT03864848,-,,,,,,NCT02474784,0
1370,NCT03871179,-,,,,,,NCT02474771,0
1369,NCT03872466,-,,,,,,NCT02474758,0
1368,NCT03872609,-,,,,,,NCT02458378,0
1367,NCT03888352,-,,,,,,NCT02455063,0
1366,NCT03895034,-,,,,,,NCT02441634,0
1365,NCT03897712,-,,,,,,NCT02436005,0
1364,NCT03897751,-,,,,,,NCT02430441,0
1363,NCT03898778,-,,,,,,NCT02405871,0
1415,NCT03641937,-,,,,,,NCT02403167,0
1362,NCT03911700,-,,,,,,NCT02396914,0
1361,NCT03912584,-,,,,,,NCT02388425,0
1414,NCT03642431,-,,,,,,NCT02383082,0
1454,NCT03441477,-,,,,,,NCT02380716,0
1416,NCT03631550,-,,,,,,NCT02380014,0
1481,NCT03268356,-,,,,,,NCT02365545,0
1491,NCT03233945,-,,,,,,NCT02365467,0
1490,NCT03235791,-,,,,,,NCT02364375,0
1489,NCT03236519,-,,,,,,NCT02353377,0
1488,NCT03239574,-,,,,,,NCT02343068,0
1487,NCT03242148,-,,,,,,NCT02340832,0
1486,NCT03246503,-,,,,,,NCT02327598,0
1485,NCT03251079,-,,,,,,NCT02325609,0
1484,NCT03257410,-,,,,,,NCT02322840,0
1483,NCT03267134,-,,,,,,NCT02312141,0
1482,NCT03268265,-,,,,,,NCT02300974,0
1480,NCT03269097,-,,,,,,NCT02289534,0
1493,NCT03230747,-,,,,,,NCT02284321,0
1479,NCT03272308,-,,,,,,NCT02283125,0
1478,NCT03275532,-,,,,,,NCT02280577,0
1477,NCT03299933,-,,,,,,NCT02275624,0
1476,NCT03315117,-,,,,,,NCT02272114,0
1475,NCT03323515,-,,,,,,NCT02271087,0
1474,NCT03329794,-,,,,,,NCT02268227,0
1473,NCT03336944,-,,,,,,NCT02255539,0
1472,NCT03339388,-,,,,,,NCT02239263,0
1471,NCT03345017,-,,,,,,NCT02231034,0
1470,NCT03345121,-,,,,,,NCT02223663,0
1492,NCT03230877,-,,,,,,NCT02218450,0
1494,NCT03219567,-,,,,,,NCT02195362,0
1468,NCT03366194,-,,,,,,NCT02195128,0
1507,NCT03138369,-,,,,,,NCT02191800,0
1517,NCT03127527,-,,,,,,NCT02187458,0
1516,NCT03127540,-,,,,,,NCT02167880,0
1515,NCT03127566,-,,,,,,NCT02166073,0
1514,NCT03128632,-,,,,,,NCT02142465,0
1513,NCT03128840,-,,,,,,NCT02142374,0
1512,NCT03129152,-,,,,,,NCT02142023,0
1511,NCT03132350,-,,,,,,NCT02141334,0
1510,NCT03132363,-,,,,,,NCT02134236,0
1509,NCT03134989,-,,,,,,NCT02124538,0
1508,NCT03138343,-,,,,,,NCT02108275,0
1506,NCT03142581,-,,,,,,NCT02089646,0
1495,NCT03198988,-,,,,,,NCT02086812,0
1505,NCT03142594,-,,,,,,NCT02085174,0
1504,NCT03143127,-,,,,,,NCT02082847,0
1503,NCT03147417,-,,,,,,NCT02070601,0
1502,NCT03147482,-,,,,,,NCT02036385,0
1501,NCT03147820,-,,,,,,NCT02020447,0
1500,NCT03148613,-,,,,,,NCT02006251,0
1499,NCT03150407,-,,,,,,NCT02004249,0
1498,NCT03172949,-,,,,,,NCT02003105,0
1497,NCT03182660,-,,,,,,NCT01989390,0
1496,NCT03190564,-,,,,,,NCT01989377,0
1469,NCT03351192,-,,,,,,NCT01988727,0
1467,NCT03371160,-,,,,,,NCT01988025,0
1417,NCT03628898,-,,,,,,NCT01984151,0
1429,NCT03586167,-,,,,,,NCT01973621,0
1439,NCT03508778,-,,,,,,NCT01966211,0
1438,NCT03523208,-,,,,,,NCT01957982,0
1437,NCT03525704,-,,,,,,NCT01951131,0
1436,NCT03538561,-,,,,,,NCT01950767,0
1435,NCT03540576,-,,,,,,NCT01940458,0
1434,NCT03550807,-,,,,,,NCT01940211,0
1433,NCT03560141,-,,,,,,NCT01937000,0
1432,NCT03564366,-,,,,,,NCT01936987,0
1431,NCT03574259,-,,,,,,NCT01916083,0
1430,NCT03578302,-,,,,,,NCT01906736,0
1428,NCT03589911,-,,,,,,NCT01905241,0
1441,NCT03500341,-,,,,,,NCT01896141,0
1427,NCT03599271,-,,,,,,NCT01894698,0
1426,NCT03600194,-,,,,,,NCT01883557,0
1425,NCT03601182,-,,,,,,NCT01882309,0
1424,NCT03604432,-,,,,,,NCT01877369,0
1423,NCT03604562,-,,,,,,NCT01874925,0
1422,NCT03604900,-,,,,,,NCT01867008,0
1421,NCT03611101,-,,,,,,NCT01859975,0
1420,NCT03613363,-,,,,,,NCT01854879,0
1419,NCT03614130,-,,,,,,NCT01847846,0
1418,NCT03617822,-,,,,,,NCT01835769,0
1440,NCT03502200,-,,,,,,NCT01835366,0
1442,NCT03497910,-,,,,,,NCT01827488,0
1466,NCT03372343,-,,,,,,NCT01820741,0
1455,NCT03439189,-,,,,,,NCT01801995,0
1465,NCT03372434,-,,,,,,NCT01801241,0
1464,NCT03384381,-,,,,,,NCT01795807,0
1463,NCT03388138,-,,,,,,NCT01795118,0
1462,NCT03408444,-,,,,,,NCT01792869,0
1461,NCT03418545,-,,,,,,NCT01790867,0
1460,NCT03421145,-,,,,,,NCT01787981,0
1459,NCT03423251,-,,,,,,NCT01777880,0
1458,NCT03431883,-,,,,,,NCT01773941,0
1457,NCT03435211,-,,,,,,NCT01773265,0
1456,NCT03435224,-,,,,,,NCT01747265,0
1334,NCT04011826,-,,,,,,NCT01738230,0
1443,NCT03488849,-,,,,,,NCT01738165,0
1453,NCT03441880,-,,,,,,NCT01733264,0
1452,NCT03441971,-,,,,,,NCT01733251,0
1451,NCT03442842,-,,,,,,NCT01724541,0
1450,NCT03451786,-,,,,,,NCT01721122,0
1449,NCT03462576,-,,,,,,NCT01715454,0
