NCTId,Attribute,Value
NCT01403233,0-50,1
NCT04576507,0-50,1
NCT01446224,0-50,1
NCT04134273,1001-10000,1
NCT04596644,0-50,1
NCT01158950,101-200,1
NCT03798184,201-500,1
NCT02848469,101-200,1
NCT00341003,1001-10000,1
NCT01326481,0-50,1
NCT01533155,201-500,1
NCT01381406,1001-10000,1
NCT04531579,0-50,1
NCT03992183,501-1000,1
NCT03547869,101-200,1
NCT02383472,51-100,1
NCT01692067,501-1000,1
NCT01480804,0-50,1
NCT01171638,101-200,1
NCT00984698,101-200,1
NCT00795678,0-50,1
NCT00623090,1001-10000,1
NCT00290186,0-50,1
NCT00202449,51-100,1
NCT04045938,0-50,1
NCT01543997,51-100,1
NCT02832401,0-50,1
NCT02144441,0-50,1
NCT03598816,0-50,1
NCT02693444,0-50,1
NCT04130984,1001-10000,1
NCT03250156,101-200,1
NCT04044326,0-50,1
NCT02036931,201-500,1
NCT01509573,51-100,1
NCT00342355,1001-10000,1
NCT04026802,101-200,1
NCT04261738,0-50,1
NCT02132793,51-100,1
NCT03221530,0-50,1
NCT01662973,51-100,1
NCT00710502,0-50,1
NCT03167658,10000plus,1
NCT04549532,201-500,1
NCT04168450,51-100,1
NCT03033602,101-200,1
NCT02831257,0-50,1
NCT02387320,51-100,1
NCT01630980,0-50,1
NCT03551483,101-200,1
NCT02963987,0-50,1
NCT01286142,501-1000,1
NCT00254072,201-500,1
NCT00151359,0-50,1
NCT01535326,201-500,1
NCT03869671,0-50,1
NCT02382822,1001-10000,1
NCT03885700,101-200,1
NCT00342992,10000plus,1
NCT01739803,101-200,1
NCT02187224,0-50,1
NCT00884988,51-100,1
NCT01032044,101-200,1
NCT01969864,1001-10000,1
NCT01265381,501-1000,1
NCT03593187,0-50,1
NCT01706211,51-100,1
NCT04169529,51-100,1
NCT03378167,0-50,1
NCT04197011,0-50,1
NCT01876771,201-500,1
NCT00164671,1001-10000,1
NCT02418962,0-50,1
NCT01574300,101-200,1
NCT03887247,1001-10000,1
NCT02403232,0-50,1
NCT00107991,0-50,1
NCT03394703,1001-10000,1
NCT04380038,51-100,1
NCT03090815,51-100,1
NCT02360020,101-200,1
NCT01861951,101-200,1
NCT02792699,201-500,1
NCT01768546,201-500,1
NCT00341887,1001-10000,1
NCT00430313,51-100,1
NCT04466423,101-200,1
NCT00411671,101-200,1
NCT02258386,101-200,1
NCT02435459,501-1000,1
NCT00708890,101-200,1
NCT04265690,0-50,1
NCT01911390,0-50,1
NCT01104805,501-1000,1
NCT04171960,1001-10000,1
NCT00837239,51-100,1
NCT03043326,501-1000,1
NCT03765567,101-200,1
NCT02987543,201-500,1
NCT03619369,101-200,1
NCT03504085,0-50,1
NCT00000700,201-500,1
NCT03312621,201-500,1
NCT04212650,51-100,1
NCT04210986,51-100,1
NCT04205656,51-100,1
NCT03880487,51-100,1
NCT03867357,51-100,1
NCT03833674,51-100,1
NCT03529487,0-50,1
NCT03433300,0-50,1
NCT03339258,51-100,1
NCT03305055,0-50,1
NCT03202303,51-100,1
NCT02816346,51-100,1
NCT02796716,1001-10000,1
NCT02322047,0-50,1
NCT02302430,201-500,1
NCT02286843,0-50,1
NCT02226367,201-500,1
NCT02187211,51-100,1
NCT02157051,0-50,1
NCT01959022,0-50,1
NCT01716338,0-50,1
NCT01672658,0-50,1
NCT01632709,0-50,1
NCT01425476,0-50,1
NCT01410721,201-500,1
NCT01402817,0-50,1
NCT01391832,101-200,1
NCT01186315,0-50,1
NCT01184547,51-100,1
NCT01168687,0-50,1
NCT01158001,201-500,1
NCT01087736,0-50,1
NCT01020318,0-50,1
NCT00640445,1001-10000,1
NCT00556764,51-100,1
NCT00464724,51-100,1
NCT00410189,51-100,1
NCT00402896,0-50,1
NCT00387075,1001-10000,1
NCT00315250,201-500,1
NCT00310791,51-100,1
NCT00273351,51-100,1
NCT01043718,101-200,1
NCT01182883,0-50,1
NCT02046109,0-50,1
NCT00234806,1001-10000,1
NCT03211819,0-50,1
NCT04074486,1001-10000,1
NCT02205385,0-50,1
NCT01048112,0-50,1
NCT01942811,101-200,1
NCT03302299,201-500,1
NCT03680456,201-500,1
NCT04421235,201-500,1
NCT03415412,0-50,1
NCT03221777,201-500,1
NCT02991690,101-200,1
NCT01233609,51-100,1
NCT01449825,0-50,1
NCT03953911,0-50,1
NCT04311320,0-50,1
NCT01844102,201-500,1
NCT01711411,201-500,1
NCT03156088,51-100,1
NCT03762291,0-50,1
NCT03085953,501-1000,1
NCT03883009,10000plus,1
NCT03038828,0-50,1
NCT03029507,101-200,1
NCT00074633,51-100,1
NCT01385046,201-500,1
NCT01667276,201-500,1
NCT01452503,101-200,1
NCT04124523,101-200,1
NCT04601532,101-200,1
NCT04598386,0-50,1
NCT04416412,101-200,1
NCT04387227,0-50,1
NCT04329065,0-50,1
NCT04255498,0-50,1
NCT03996876,0-50,1
NCT03678766,101-200,1
NCT03564795,0-50,1
NCT03564782,0-50,1
NCT03440554,101-200,1
NCT03409133,0-50,1
NCT03342482,0-50,1
NCT03040687,51-100,1
NCT02718469,0-50,1
NCT02377089,51-100,1
NCT02334384,0-50,1
NCT02295410,51-100,1
NCT02204098,51-100,1
NCT02115646,0-50,1
NCT01614444,51-100,1
NCT01611935,101-200,1
NCT01505478,0-50,1
NCT01273922,0-50,1
NCT01132898,501-1000,1
NCT00932061,101-200,1
NCT00563784,51-100,1
NCT00476346,1001-10000,1
NCT00255060,51-100,1
NCT02205450,0-50,1
NCT00178698,0-50,1
NCT02628483,51-100,1
NCT02855294,51-100,1
NCT02238483,201-500,1
NCT02445196,101-200,1
NCT02428920,201-500,1
NCT03030703,0-50,1
NCT03063385,501-1000,1
NCT02228668,1001-10000,1
NCT02046590,101-200,1
NCT01128023,1001-10000,1
NCT02039895,0-50,1
NCT02113228,0-50,1
NCT00681616,51-100,1
NCT04029298,101-200,1
NCT01665781,0-50,1
NCT02129114,101-200,1
NCT03973606,51-100,1
NCT02851030,201-500,1
NCT04386317,0-50,1
NCT04595344,201-500,1
NCT03366532,10000plus,1
NCT03939507,501-1000,1
NCT01770210,501-1000,1
NCT00341523,1001-10000,1
NCT01190033,0-50,1
NCT04176328,0-50,1
NCT01005836,101-200,1
NCT04215445,51-100,1
NCT02222532,201-500,1
NCT03459846,101-200,1
NCT03052452,51-100,1
NCT02206542,0-50,1
NCT02076308,51-100,1
NCT00394264,51-100,1
NCT01903330,51-100,1
NCT01496014,501-1000,1
NCT00751244,101-200,1
NCT00570206,201-500,1
NCT03889028,501-1000,1
NCT01426919,1001-10000,1
NCT02477943,501-1000,1
NCT03417388,1001-10000,1
NCT02957461,201-500,1
NCT02541123,101-200,1
NCT01494519,201-500,1
NCT02224365,0-50,1
NCT03384914,101-200,1
NCT01260727,51-100,1
NCT04534959,1001-10000,1
NCT03264235,0-50,1
NCT00711087,0-50,1
NCT00693563,101-200,1
NCT00119106,1001-10000,1
NCT00718393,0-50,1
NCT03947216,101-200,1
NCT02784587,0-50,1
NCT02863809,51-100,1
NCT02286921,201-500,1
NCT01007890,101-200,1
NCT00859781,101-200,1
NCT00007748,1001-10000,1
NCT04100564,1001-10000,1
NCT02878850,101-200,1
NCT01353209,0-50,1
NCT03772730,201-500,1
NCT03663452,51-100,1
NCT01526291,501-1000,1
NCT02792114,0-50,1
NCT03682263,1001-10000,1
NCT01977846,201-500,1
NCT00760851,101-200,1
NCT01126697,51-100,1
NCT03660696,201-500,1
NCT03760497,201-500,1
NCT03852628,51-100,1
NCT02725970,501-1000,1
NCT01183520,0-50,1
NCT00730587,0-50,1
NCT03649191,501-1000,1
NCT02679937,101-200,1
NCT00632944,201-500,1
NCT02796339,51-100,1
NCT00523224,0-50,1
NCT01698879,0-50,1
NCT02760537,201-500,1
NCT01209910,0-50,1
NCT03582176,501-1000,1
NCT01498458,0-50,1
NCT04360044,101-200,1
NCT01019798,0-50,1
NCT03137953,0-50,1
NCT03039465,0-50,1
NCT02985255,0-50,1
NCT03038594,51-100,1
NCT02228265,0-50,1
NCT00253643,51-100,1
NCT00693121,51-100,1
NCT03200886,51-100,1
NCT04523259,101-200,1
NCT01825226,1001-10000,1
NCT01178840,501-1000,1
NCT02118454,201-500,1
NCT01257581,51-100,1
NCT03736395,10000plus,1
NCT00999453,0-50,1
NCT03545217,51-100,1
NCT00155649,201-500,1
NCT04336397,1001-10000,1
NCT02263001,0-50,1
NCT02847117,0-50,1
NCT01039363,0-50,1
NCT02011789,0-50,1
NCT01751230,0-50,1
NCT01004094,501-1000,1
NCT00782392,0-50,1
NCT04589676,201-500,1
NCT04442620,101-200,1
NCT01229748,101-200,1
NCT00909857,501-1000,1
NCT03952949,0-50,1
NCT03248583,51-100,1
NCT04606342,101-200,1
NCT03820947,501-1000,1
NCT02301702,201-500,1
NCT00342199,501-1000,1
NCT02079116,0-50,1
NCT02072694,0-50,1
NCT04537689,0-50,1
NCT02312349,101-200,1
NCT01829620,501-1000,1
NCT03370991,51-100,1
NCT02129361,101-200,1
NCT03762772,0-50,1
NCT01510327,0-50,1
NCT03936582,201-500,1
NCT04120363,0-50,1
NCT02075801,0-50,1
NCT03073798,0-50,1
NCT03890666,201-500,1
NCT03767699,51-100,1
NCT01955382,51-100,1
NCT01574495,0-50,1
NCT04522973,51-100,1
NCT03826303,51-100,1
NCT03488875,101-200,1
NCT03339648,201-500,1
NCT02080923,201-500,1
NCT01747824,1001-10000,1
NCT01707030,101-200,1
NCT01491763,51-100,1
NCT04251091,0-50,1
NCT03521856,0-50,1
NCT03433599,101-200,1
NCT03298724,0-50,1
NCT03262766,51-100,1
NCT02340026,0-50,1
NCT02223728,51-100,1
NCT02150668,201-500,1
NCT02128152,51-100,1
NCT02104622,0-50,1
NCT01920243,51-100,1
NCT01894464,0-50,1
NCT01815554,0-50,1
NCT01806987,201-500,1
NCT01795079,0-50,1
NCT01699035,501-1000,1
NCT01599767,0-50,1
NCT01593189,201-500,1
NCT01548781,0-50,1
NCT01429077,0-50,1
NCT01394874,51-100,1
NCT01387100,201-500,1
NCT01207375,101-200,1
NCT01119001,0-50,1
NCT01115998,0-50,1
NCT01056146,0-50,1
NCT00989430,101-200,1
NCT00988104,51-100,1
NCT00924976,201-500,1
NCT00735670,0-50,1
NCT00692575,101-200,1
NCT00621751,51-100,1
NCT00618566,51-100,1
NCT00488969,0-50,1
NCT00485914,51-100,1
NCT00448045,101-200,1
NCT00285636,501-1000,1
NCT00283855,101-200,1
NCT00265447,51-100,1
NCT00233129,51-100,1
NCT00233103,51-100,1
NCT00233090,0-50,1
NCT00211835,51-100,1
NCT00205569,101-200,1
NCT00205530,101-200,1
NCT00205491,51-100,1
NCT00167271,51-100,1
NCT00062972,0-50,1
NCT01594008,0-50,1
NCT04122326,0-50,1
NCT04043715,0-50,1
NCT02866422,0-50,1
NCT02807506,101-200,1
NCT01652352,0-50,1
NCT00272259,0-50,1
NCT03165968,101-200,1
NCT02155829,51-100,1
NCT01907906,0-50,1
NCT01625962,101-200,1
NCT02186093,1001-10000,1
NCT03398395,101-200,1
NCT01220713,51-100,1
NCT03532139,0-50,1
NCT02369861,0-50,1
NCT03321292,201-500,1
NCT00387296,0-50,1
NCT03403166,201-500,1
NCT01894230,101-200,1
NCT01464307,201-500,1
NCT03712098,51-100,1
NCT04581317,101-200,1
NCT03462758,201-500,1
NCT00942890,0-50,1
NCT03607331,101-200,1
NCT01738360,0-50,1
NCT01992263,101-200,1
NCT02041819,0-50,1
NCT02033538,0-50,1
NCT03483649,201-500,1
NCT00647569,51-100,1
NCT01942564,0-50,1
NCT02089594,51-100,1
NCT02558829,101-200,1
NCT03237013,201-500,1
NCT01500434,101-200,1
NCT00010309,0-50,1
NCT03199222,51-100,1
NCT02374918,51-100,1
NCT02370173,51-100,1
NCT01747811,0-50,1
NCT00282516,101-200,1
NCT00867425,0-50,1
NCT00409786,0-50,1
NCT01454999,201-500,1
NCT03080246,101-200,1
NCT01591707,501-1000,1
NCT00483522,201-500,1
NCT01884545,201-500,1
NCT01294150,201-500,1
NCT04504630,0-50,1
NCT03309046,101-200,1
NCT02817984,0-50,1
NCT02234778,0-50,1
NCT02115607,0-50,1
NCT01962038,51-100,1
NCT01901887,101-200,1
NCT01663792,0-50,1
NCT01650220,0-50,1
NCT01626131,0-50,1
NCT01517711,0-50,1
NCT01507129,0-50,1
NCT01419223,0-50,1
NCT01418976,0-50,1
NCT01291758,0-50,1
NCT01243060,201-500,1
NCT01227005,101-200,1
NCT01128140,201-500,1
NCT01121250,201-500,1
NCT01005615,0-50,1
NCT00862095,51-100,1
NCT00810225,501-1000,1
NCT00742755,101-200,1
NCT00691067,51-100,1
NCT00633009,0-50,1
NCT00572884,0-50,1
NCT00473096,51-100,1
NCT00393874,0-50,1
NCT00196781,101-200,1
NCT01912287,201-500,1
NCT01199380,101-200,1
NCT01096251,51-100,1
NCT03866837,201-500,1
NCT02733614,51-100,1
NCT00635960,0-50,1
NCT04241133,51-100,1
NCT03833219,1001-10000,1
NCT00955201,0-50,1
NCT01505764,0-50,1
NCT00367770,0-50,1
NCT02904369,51-100,1
NCT00109551,10000plus,1
NCT00688714,0-50,1
NCT02176928,101-200,1
NCT03354351,1001-10000,1
NCT02911675,0-50,1
NCT03279120,51-100,1
NCT00109616,10000plus,1
NCT01679938,501-1000,1
NCT04531592,0-50,1
NCT04476901,101-200,1
NCT01474057,101-200,1
NCT04023084,0-50,1
NCT03077126,0-50,1
NCT01079247,201-500,1
NCT00156663,201-500,1
NCT03127293,51-100,1
NCT01937338,51-100,1
NCT02069613,0-50,1
NCT02544061,0-50,1
NCT02447848,51-100,1
NCT01062022,0-50,1
NCT01007006,0-50,1
NCT00202046,101-200,1
NCT02439762,201-500,1
NCT00134784,101-200,1
NCT03834714,51-100,1
NCT00349622,501-1000,1
NCT04545606,101-200,1
NCT00336622,51-100,1
NCT00113737,0-50,1
NCT04603651,0-50,1
NCT02905981,0-50,1
NCT00111163,1001-10000,1
NCT02430506,0-50,1
NCT02305524,101-200,1
NCT02295618,101-200,1
NCT02293226,101-200,1
NCT02291640,101-200,1
NCT02368808,501-1000,1
NCT04586049,51-100,1
NCT04575402,0-50,1
NCT04534972,1001-10000,1
NCT04481048,51-100,1
NCT04387812,201-500,1
NCT04287478,101-200,1
NCT03692273,101-200,1
NCT03143179,0-50,1
NCT02719860,101-200,1
NCT02330081,0-50,1
NCT02022904,0-50,1
NCT01484184,0-50,1
NCT01405001,201-500,1
NCT00615979,101-200,1
NCT00504335,0-50,1
NCT00257647,0-50,1
NCT00249080,101-200,1
NCT00188682,201-500,1
NCT00138918,0-50,1
NCT00123968,201-500,1
NCT01046825,101-200,1
NCT01538407,0-50,1
NCT03992274,1001-10000,1
NCT02457663,0-50,1
NCT03830840,1001-10000,1
NCT01038557,201-500,1
NCT03857360,101-200,1
NCT01818869,0-50,1
NCT02295670,101-200,1
NCT02294916,101-200,1
NCT02286323,101-200,1
NCT02286297,51-100,1
NCT02291653,51-100,1
NCT02289664,51-100,1
NCT02289651,51-100,1
NCT02289638,51-100,1
NCT02277405,101-200,1
NCT03668678,501-1000,1
NCT02638051,201-500,1
NCT03075475,51-100,1
NCT04568330,101-200,1
NCT00643188,201-500,1
NCT03499951,0-50,1
NCT01807728,201-500,1
NCT03865680,101-200,1
NCT02153346,101-200,1
NCT02667353,101-200,1
NCT01559103,0-50,1
NCT01508130,501-1000,1
NCT02195427,101-200,1
NCT03433183,0-50,1
NCT02765672,501-1000,1
NCT02877732,0-50,1
NCT02764983,51-100,1
NCT01780701,51-100,1
NCT00990106,51-100,1
NCT00651872,501-1000,1
NCT00162461,1001-10000,1
NCT02386878,1001-10000,1
NCT01280162,201-500,1
NCT02845349,0-50,1
NCT01443078,0-50,1
NCT02329639,101-200,1
NCT02073240,0-50,1
NCT04370977,501-1000,1
NCT04286243,1001-10000,1
NCT04234815,1001-10000,1
NCT04185597,1001-10000,1
NCT04166370,1001-10000,1
NCT04135625,201-500,1
NCT03973593,1001-10000,1
NCT03885973,51-100,1
NCT03829358,51-100,1
NCT03824756,1001-10000,1
NCT03745495,501-1000,1
NCT03555669,1001-10000,1
NCT03254628,1001-10000,1
NCT03074799,1001-10000,1
NCT03058302,201-500,1
NCT02929134,201-500,1
NCT02929121,201-500,1
NCT02927496,201-500,1
NCT02908399,201-500,1
NCT02577380,201-500,1
NCT02395328,201-500,1
NCT02121821,10000plus,1
NCT01985269,501-1000,1
NCT01930084,1001-10000,1
NCT01873196,1001-10000,1
NCT01872390,201-500,1
NCT01756469,501-1000,1
NCT01129089,101-200,1
NCT00505609,201-500,1
NCT00407394,1001-10000,1
NCT00396500,1001-10000,1
NCT00355043,201-500,1
NCT00351702,501-1000,1
NCT00270764,1001-10000,1
NCT00270725,0-50,1
NCT00244777,10000plus,1
NCT00222547,10000plus,1
NCT00216333,1001-10000,1
NCT00213096,0-50,1
NCT00198835,10000plus,1
NCT00140361,201-500,1
NCT00860951,0-50,1
NCT01147900,101-200,1
NCT04330326,0-50,1
NCT02405026,51-100,1
NCT02272257,101-200,1
NCT03288233,0-50,1
NCT01524133,201-500,1
NCT01387490,201-500,1
NCT01140269,201-500,1
NCT02971072,101-200,1
NCT01434173,10000plus,1
NCT01398319,10000plus,1
NCT04453943,0-50,1
NCT02191267,0-50,1
NCT01024569,501-1000,1
NCT04561765,101-200,1
NCT03358563,0-50,1
NCT03211884,101-200,1
NCT02773446,0-50,1
NCT01750268,0-50,1
NCT01749215,101-200,1
NCT01549899,101-200,1
NCT01232881,0-50,1
NCT01194661,101-200,1
NCT00885131,51-100,1
NCT00754169,201-500,1
NCT00744146,0-50,1
NCT00466934,0-50,1
NCT00314769,101-200,1
NCT00248300,101-200,1
NCT01031927,0-50,1
NCT02010684,101-200,1
NCT03992001,51-100,1
NCT01779427,0-50,1
NCT01761396,201-500,1
NCT01412866,101-200,1
NCT04589377,101-200,1
NCT02075307,0-50,1
NCT01888848,0-50,1
NCT01399138,0-50,1
NCT02938975,1001-10000,1
NCT02993458,51-100,1
NCT03052010,1001-10000,1
NCT03154307,51-100,1
NCT02465307,101-200,1
NCT01338701,0-50,1
NCT00992953,101-200,1
NCT01052103,201-500,1
NCT04071600,101-200,1
NCT03416348,0-50,1
NCT03236012,0-50,1
NCT02949037,201-500,1
NCT00658190,101-200,1
NCT02562872,0-50,1
NCT02025413,0-50,1
NCT01502449,51-100,1
NCT02722356,51-100,1
NCT01175993,0-50,1
NCT03227861,101-200,1
NCT01670227,1001-10000,1
NCT00619463,101-200,1
NCT00222690,0-50,1
NCT03449667,101-200,1
NCT03079999,201-500,1
NCT02825654,1001-10000,1
NCT01529034,101-200,1
NCT00599508,101-200,1
NCT00632060,51-100,1
NCT03905668,501-1000,1
NCT03767894,0-50,1
NCT02071446,0-50,1
NCT02946736,501-1000,1
NCT03920137,51-100,1
NCT02469324,51-100,1
NCT03623022,0-50,1
NCT02194582,1001-10000,1
NCT01964859,51-100,1
NCT00387855,1001-10000,1
NCT01670825,51-100,1
NCT01683409,101-200,1
NCT04574869,0-50,1
NCT02319447,201-500,1
NCT04474093,0-50,1
NCT04028180,0-50,1
NCT01441167,51-100,1
NCT04590963,501-1000,1
NCT00437021,201-500,1
NCT01307280,1001-10000,1
NCT03144427,201-500,1
NCT03762070,101-200,1
NCT00822692,101-200,1
NCT04233944,1001-10000,1
NCT03869060,0-50,1
NCT04298138,0-50,1
NCT01093053,101-200,1
NCT01208870,51-100,1
NCT03544632,0-50,1
NCT02666859,0-50,1
NCT01838863,101-200,1
NCT01556581,101-200,1
NCT01455324,0-50,1
NCT01309347,0-50,1
NCT01301053,0-50,1
NCT00204477,201-500,1
NCT04565366,501-1000,1
NCT02587351,501-1000,1
NCT01902810,0-50,1
NCT02734238,51-100,1
NCT02582957,501-1000,1
NCT01459107,0-50,1
NCT00947596,0-50,1
NCT03026556,10000plus,1
NCT02678247,0-50,1
NCT02668276,101-200,1
NCT01996826,51-100,1
NCT01866735,0-50,1
NCT01130987,51-100,1
NCT02243774,10000plus,1
NCT02518893,0-50,1
NCT03492021,0-50,1
NCT02877680,51-100,1
NCT02689713,0-50,1
NCT00639795,51-100,1
NCT00595491,201-500,1
NCT03138564,501-1000,1
NCT03065101,0-50,1
NCT03385304,1001-10000,1
NCT00788398,1001-10000,1
NCT03386539,201-500,1
NCT01670877,51-100,1
NCT00096720,101-200,1
NCT01996254,0-50,1
NCT02008877,0-50,1
NCT01132937,501-1000,1
NCT03962712,501-1000,1
NCT02237196,101-200,1
NCT03447860,101-200,1
NCT04063592,0-50,1
NCT02289287,51-100,1
NCT04602806,0-50,1
NCT01623492,101-200,1
NCT00042510,101-200,1
NCT01967680,501-1000,1
NCT02123251,201-500,1
NCT03882515,101-200,1
NCT03952182,101-200,1
NCT01170546,0-50,1
NCT04372797,201-500,1
NCT01049516,201-500,1
NCT00756600,501-1000,1
NCT02975596,1001-10000,1
NCT02907697,101-200,1
NCT02504931,0-50,1
NCT03521154,101-200,1
NCT00751946,51-100,1
NCT00970944,101-200,1
NCT01253915,0-50,1
NCT00865553,501-1000,1
NCT00048932,1001-10000,1
NCT02553148,10000plus,1
NCT01312922,501-1000,1
NCT01554891,201-500,1
NCT00130312,1001-10000,1
NCT00130208,1001-10000,1
NCT04094298,51-100,1
NCT01611350,1001-10000,1
NCT00737893,51-100,1
NCT01121406,101-200,1
NCT03758846,51-100,1
NCT01158976,51-100,1
NCT03567421,1001-10000,1
NCT01725152,51-100,1
NCT04020471,201-500,1
NCT03395028,0-50,1
NCT01670708,1001-10000,1
NCT00795821,201-500,1
NCT03379220,101-200,1
NCT01399099,51-100,1
NCT01194024,101-200,1
NCT01416948,0-50,1
NCT02439736,101-200,1
NCT03329404,0-50,1
NCT03168776,1001-10000,1
NCT02595034,501-1000,1
NCT04387019,51-100,1
NCT00615940,101-200,1
NCT04060017,51-100,1
NCT02374060,101-200,1
NCT00350714,51-100,1
NCT03503097,1001-10000,1
NCT01426555,51-100,1
NCT01123798,201-500,1
NCT03713970,0-50,1
NCT00201006,201-500,1
NCT01444612,1001-10000,1
NCT02629068,0-50,1
NCT03276572,0-50,1
NCT01768650,201-500,1
NCT01454154,51-100,1
NCT02467933,1001-10000,1
NCT02345434,1001-10000,1
NCT02216812,101-200,1
NCT03207152,0-50,1
NCT02630225,201-500,1
NCT02706873,1001-10000,1
NCT01750684,0-50,1
NCT01654094,51-100,1
NCT01628718,101-200,1
NCT02656017,51-100,1
NCT03177577,0-50,1
NCT00823212,1001-10000,1
NCT04043182,0-50,1
NCT04302649,0-50,1
NCT02215200,51-100,1
NCT02832778,0-50,1
NCT02236078,0-50,1
NCT00675714,1001-10000,1
NCT02045511,0-50,1
NCT04533464,101-200,1
NCT02269423,0-50,1
NCT01434771,0-50,1
NCT01653535,501-1000,1
NCT02878382,0-50,1
NCT01487434,1001-10000,1
NCT03334396,501-1000,1
NCT03334422,501-1000,1
NCT01826760,501-1000,1
NCT03733301,201-500,1
NCT03282110,51-100,1
NCT04360681,101-200,1
NCT02791945,0-50,1
NCT01672710,0-50,1
NCT00007722,101-200,1
NCT01363245,1001-10000,1
NCT01583127,10000plus,1
NCT00878150,51-100,1
NCT02320903,51-100,1
NCT01976780,101-200,1
NCT01212029,201-500,1
NCT00657787,1001-10000,1
NCT04116463,201-500,1
NCT03964792,0-50,1
NCT02380313,0-50,1
NCT00902798,51-100,1
NCT00783770,0-50,1
NCT03412136,0-50,1
NCT00446979,51-100,1
NCT01175707,51-100,1
NCT01304407,0-50,1
NCT03432325,0-50,1
NCT02368106,0-50,1
NCT00722280,0-50,1
NCT02169882,51-100,1
NCT02591420,0-50,1
NCT03822611,1001-10000,1
NCT03585361,501-1000,1
NCT03571932,0-50,1
NCT03429257,201-500,1
NCT03397420,501-1000,1
NCT03366454,101-200,1
NCT02903602,501-1000,1
NCT02894294,1001-10000,1
NCT02725255,201-500,1
NCT01235247,0-50,1
NCT01052584,201-500,1
NCT00310726,1001-10000,1
NCT00213083,1001-10000,1
NCT00153777,1001-10000,1
NCT03605888,101-200,1
NCT00615641,51-100,1
NCT04471974,51-100,1
NCT01033513,201-500,1
NCT02548208,0-50,1
NCT01023477,0-50,1
NCT04050449,1001-10000,1
NCT02515149,501-1000,1
NCT01637324,201-500,1
NCT00272220,201-500,1
NCT00337428,501-1000,1
NCT04579328,1001-10000,1
NCT04096521,201-500,1
NCT04092257,501-1000,1
NCT03510286,1001-10000,1
NCT03431558,201-500,1
NCT03127397,501-1000,1
NCT02271737,1001-10000,1
NCT01924546,201-500,1
NCT01572532,1001-10000,1
NCT01428830,501-1000,1
NCT01386294,1001-10000,1
NCT00880204,0-50,1
NCT00532181,0-50,1
NCT00513500,1001-10000,1
NCT00396526,1001-10000,1
NCT00379158,201-500,1
NCT00336245,501-1000,1
NCT00164281,1001-10000,1
NCT00130078,1001-10000,1
NCT00129532,1001-10000,1
NCT01299116,501-1000,1
NCT02983864,51-100,1
NCT04250688,0-50,1
NCT03338530,101-200,1
NCT02949063,201-500,1
NCT02787759,51-100,1
NCT02026167,101-200,1
NCT00702637,51-100,1
NCT00675974,0-50,1
NCT00627250,51-100,1
NCT00368095,1001-10000,1
NCT02709317,101-200,1
NCT03950986,10000plus,1
NCT04031326,0-50,1
NCT01143207,0-50,1
NCT01396187,0-50,1
NCT00473928,0-50,1
NCT02443727,51-100,1
NCT01626599,101-200,1
NCT03343197,0-50,1
NCT02268877,201-500,1
NCT04602416,51-100,1
NCT01125124,51-100,1
NCT02820038,201-500,1
NCT01510834,51-100,1
NCT04525651,51-100,1
NCT03439319,51-100,1
NCT03752619,101-200,1
NCT03937856,201-500,1
NCT00165204,0-50,1
NCT03965676,0-50,1
NCT02643576,201-500,1
NCT03207750,1001-10000,1
NCT01605903,501-1000,1
NCT00974402,0-50,1
NCT03005054,0-50,1
NCT00711373,0-50,1
NCT01775670,0-50,1
NCT02753842,501-1000,1
NCT02246413,201-500,1
NCT04072211,501-1000,1
NCT03870204,201-500,1
NCT02758236,201-500,1
NCT04322357,51-100,1
NCT04238910,0-50,1
NCT03060109,201-500,1
NCT01988909,0-50,1
NCT01824589,0-50,1
NCT00110526,0-50,1
NCT04398784,0-50,1
NCT04045132,51-100,1
NCT00431847,201-500,1
NCT01959321,501-1000,1
NCT03842111,1001-10000,1
NCT03834584,0-50,1
NCT03705377,1001-10000,1
NCT03932929,0-50,1
NCT00235235,51-100,1
NCT04046965,1001-10000,1
NCT04035382,51-100,1
NCT03077919,101-200,1
NCT02755636,501-1000,1
NCT01673178,101-200,1
NCT03967912,0-50,1
NCT03839719,0-50,1
NCT03844061,0-50,1
NCT04146168,101-200,1
NCT01582711,1001-10000,1
NCT03936738,101-200,1
NCT04545424,201-500,1
NCT01661283,0-50,1
NCT01984801,51-100,1
NCT01925963,51-100,1
NCT04320576,0-50,1
NCT04271150,0-50,1
NCT02420353,0-50,1
NCT04011176,101-200,1
NCT01287104,0-50,1
NCT03357224,0-50,1
NCT04037852,101-200,1
NCT04049305,501-1000,1
NCT02435264,201-500,1
NCT00263341,1001-10000,1
NCT03894241,0-50,1
NCT02032277,501-1000,1
NCT04599296,51-100,1
NCT04366284,0-50,1
NCT03464409,51-100,1
NCT01851629,0-50,1
NCT01360736,101-200,1
NCT04075513,201-500,1
NCT00140140,0-50,1
NCT03005418,0-50,1
NCT01339689,101-200,1
NCT02990793,101-200,1
NCT02114229,101-200,1
NCT02202031,101-200,1
NCT01903889,1001-10000,1
NCT02756689,101-200,1
NCT02171312,101-200,1
NCT03446131,51-100,1
NCT04242160,0-50,1
NCT03527641,0-50,1
NCT03193398,101-200,1
NCT03432715,1001-10000,1
NCT00622401,0-50,1
NCT03156010,201-500,1
NCT03580538,0-50,1
NCT00198796,0-50,1
NCT02096653,101-200,1
